Channel:,Lum, Red, Green, Blue
Means:,2.9249291, 2.6330156, 2.2098925, 4.9316645
Note: Peaks measured from 20% upward
Peaks:,249, 681, 1593, 2628
PeaksLevels:,255, 255, 255, 255
0, 35109, 481150, 675129, 213379
1, 759306, 1432718, 2205254, 322193
2, 2691521, 2527066, 2962434, 707176
3, 3028575, 2158160, 1553341, 1264529
4, 1333813, 1022499, 537188, 1569120
5, 321474, 394715, 193046, 1506828
6, 64971, 147180, 85563, 1121666
7, 18189, 58973, 31708, 721152
8, 8094, 26438, 14367, 379485
9, 4760, 11519, 6597, 202541
10, 3175, 6338, 4005, 116265
11, 2205, 3796, 2468, 62323
12, 1638, 2718, 1820, 31562
13, 1260, 2131, 1470, 18979
14, 1076, 1580, 1149, 11688
15, 923, 1286, 985, 8033
16, 727, 1148, 880, 4942
17, 622, 957, 776, 3552
18, 527, 814, 666, 2755
19, 470, 682, 633, 1948
20, 485, 630, 521, 1706
21, 388, 591, 481, 1345
22, 340, 497, 441, 1219
23, 352, 452, 401, 973
24, 347, 351, 368, 822
25, 306, 376, 342, 728
26, 273, 323, 350, 715
27, 285, 325, 293, 556
28, 248, 273, 282, 530
29, 244, 240, 277, 515
30, 231, 250, 219, 411
31, 191, 236, 241, 402
32, 226, 192, 209, 357
33, 192, 207, 220, 329
34, 178, 215, 220, 327
35, 188, 176, 207, 307
36, 169, 176, 208, 311
37, 168, 168, 192, 295
38, 146, 143, 153, 233
39, 141, 156, 146, 218
40, 142, 143, 153, 201
41, 136, 153, 153, 229
42, 145, 151, 141, 196
43, 135, 127, 132, 195
44, 140, 115, 115, 171
45, 136, 94, 127, 204
46, 119, 121, 121, 161
47, 113, 100, 123, 150
48, 113, 92, 83, 148
49, 112, 88, 111, 158
50, 109, 110, 123, 127
51, 101, 101, 103, 155
52, 118, 75, 125, 135
53, 113, 96, 117, 135
54, 83, 88, 108, 117
55, 121, 87, 84, 117
56, 103, 87, 90, 142
57, 95, 82, 99, 121
58, 81, 69, 96, 99
59, 86, 75, 102, 112
60, 93, 74, 80, 130
61, 64, 63, 85, 97
62, 83, 66, 92, 112
63, 104, 49, 76, 110
64, 74, 50, 88, 98
65, 83, 76, 79, 98
