Channel:,Lum, Red, Green, Blue
Means:,4.7592807, 4.2111764, 3.50618, 7.561028
Note: Peaks measured from 20% upward
Peaks:,318, 1909, 2447, 2558
PeaksLevels:,255, 255, 255, 255
0, 6368, 396675, 541020, 223063
1, 125498, 575752, 805987, 161094
2, 619595, 1096314, 1576145, 265308
3, 1437737, 1526126, 2037770, 441499
4, 2058935, 1572143, 1490325, 661186
5, 1910740, 1253894, 892557, 856710
6, 1191856, 816899, 411322, 938102
7, 553936, 469319, 235070, 1017390
8, 216768, 252779, 114103, 942703
9, 79770, 133322, 74214, 789109
10, 31222, 77520, 36880, 606583
11, 14523, 38778, 23632, 437144
12, 8108, 22795, 12015, 280956
13, 5359, 13768, 7561, 210219
14, 3726, 8812, 5256, 140037
15, 2807, 6060, 3124, 83983
16, 2212, 4364, 2571, 64836
17, 1761, 3167, 1704, 44139
18, 1426, 2370, 1551, 30064
19, 1206, 1925, 1091, 17970
20, 1046, 1525, 1080, 15617
21, 868, 1327, 834, 11331
22, 695, 1198, 772, 8145
23, 639, 998, 659, 5990
24, 571, 843, 662, 4488
25, 501, 840, 498, 3011
26, 444, 648, 576, 2884
27, 434, 675, 483, 2249
28, 351, 585, 436, 1809
29, 363, 523, 339, 1385
30, 326, 438, 362, 1421
31, 309, 413, 318, 1213
32, 296, 383, 373, 1009
33, 276, 347, 299, 895
34, 204, 304, 276, 779
35, 204, 283, 247, 647
36, 214, 253, 251, 669
37, 197, 255, 241, 584
38, 179, 199, 257, 545
39, 194, 210, 231, 504
40, 161, 199, 197, 499
41, 147, 183, 212, 485
42, 165, 163, 215, 450
43, 153, 174, 179, 382
44, 152, 172, 164, 335
45, 153, 159, 183, 396
46, 133, 146, 167, 320
47, 130, 134, 154, 304
48, 123, 134, 150, 264
49, 134, 105, 144, 283
50, 122, 138, 151, 271
51, 101, 118, 137, 257
52, 124, 111, 116, 268
53, 107, 119, 113, 250
54, 103, 106, 110, 191
55, 105, 102, 96, 214
56, 80, 106, 106, 226
57, 91, 97, 86, 203
58, 80, 78, 111, 153
59, 78, 97, 94, 183
60, 87, 100, 98, 182
61, 89, 85, 91, 150
62, 109, 70, 85, 149
63, 71, 85, 74, 161
64, 88, 86, 77, 138
65, 74, 84, 96, 131
66, 76, 81, 71, 149
67, 60, 56, 68, 151
68, 71, 68, 80, 120
69, 64, 67, 58, 140
70, 67, 75, 68, 121
71, 78, 76, 73, 114
72, 64, 68, 71, 127
73, 63, 60, 67, 113
74, 82, 47, 68, 107
75, 80, 59, 77, 117
76, 74, 66, 74, 98
77, 62, 60, 56, 104
78, 66, 57, 59, 119
79, 79, 47, 58, 123
80, 54, 56, 46, 105
81, 61, 50, 62, 102
82, 59, 55, 52, 96
83, 72, 51, 45, 98
84, 60, 43, 63, 99
85, 61, 58, 68, 89
86, 49, 50, 49, 109
87, 60, 43, 55, 86
88, 65, 37, 53, 84
89, 77, 41, 64, 77
90, 63, 37, 43, 80
91, 59, 48, 52, 75
92, 67, 38, 40, 85
93, 56, 33, 47, 84
94, 65, 35, 50, 89
95, 85, 33, 39, 82
96, 72, 25, 38, 77
97, 96, 32, 44, 68
98, 87, 27, 44, 70
99, 94, 23, 32, 80
100, 78, 38, 49, 62
101, 105, 37, 42, 60
102, 121, 35, 29, 77
103, 96, 34, 30, 59
104, 97, 20, 30, 52
105, 92, 29, 43, 73
106, 108, 26, 44, 60
107, 114, 23, 32, 64
108, 130, 23, 46, 52
109, 114, 24, 41, 50
110, 102, 15, 33, 44
111, 96, 21, 35, 58
112, 99, 27, 43, 52
113, 84, 30, 32, 48
114, 89, 21, 30, 49
115, 63, 21, 41, 42
116, 67, 17, 34, 35
117, 73, 23, 31, 47
118, 64, 22, 40, 59
119, 62, 24, 43, 37
120, 48, 23, 39, 39
121, 47, 19, 37, 36
122, 59, 20, 49, 42
123, 43, 14, 34, 52
