Channel:,Lum, Red, Green, Blue
Means:,1.9355669, 1.9368839, 1.4940517, 3.3742237
Note: Peaks measured from 20% upward
Peaks:,174, 361, 1024, 2352
PeaksLevels:,255, 255, 255, 255
0, 180885, 564389, 1114095, 288922
1, 2714568, 2578880, 4109602, 767518
2, 4151188, 3322613, 2304476, 1770178
3, 1083345, 1360034, 557039, 2293239
4, 108453, 330490, 134181, 1706969
5, 18814, 78486, 33895, 848606
6, 7702, 23388, 10639, 348116
7, 4326, 8988, 4873, 136583
8, 2784, 4591, 3028, 56695
9, 1989, 2954, 2062, 25426
10, 1365, 2242, 1644, 13480
11, 1075, 1623, 1266, 6919
12, 884, 1265, 1056, 4240
13, 749, 1140, 934, 3000
14, 643, 908, 758, 2139
15, 530, 785, 664, 1623
16, 494, 655, 600, 1324
17, 448, 589, 512, 1092
18, 418, 545, 472, 964
19, 369, 464, 464, 790
20, 345, 469, 355, 763
21, 327, 346, 386, 671
22, 284, 329, 318, 589
23, 269, 325, 315, 510
24, 260, 290, 270, 427
25, 240, 272, 237, 422
26, 248, 268, 215, 367
27, 221, 221, 201, 316
28, 222, 215, 220, 282
29, 211, 196, 209, 265
30, 203, 174, 198, 270
31, 177, 187, 192, 240
32, 171, 192, 193, 206
33, 158, 160, 179, 218
34, 154, 154, 154, 229
35, 158, 162, 152, 211
36, 164, 132, 147, 207
37, 157, 153, 145, 180
38, 138, 136, 133, 174
39, 163, 98, 131, 177
40, 142, 114, 141, 152
41, 128, 91, 134, 177
42, 138, 107, 137, 145
43, 117, 103, 148, 125
44, 116, 98, 108, 120
45, 124, 103, 129, 117
46, 101, 102, 109, 145
47, 117, 99, 109, 116
48, 105, 92, 121, 121
49, 83, 94, 113, 129
50, 96, 89, 102, 104
51, 87, 74, 114, 107
52, 99, 78, 93, 86
53, 76, 97, 102, 94
54, 105, 91, 110, 101
55, 99, 63, 93, 81
56, 93, 71, 95, 99
57, 71, 70, 77, 103
58, 106, 62, 94, 60
59, 66, 64, 99, 91
60, 83, 71, 101, 82
61, 70, 42, 83, 79
62, 65, 58, 83, 70
63, 72, 62, 78, 76
64, 71, 57, 63, 65
65, 63, 44, 73, 69
66, 82, 47, 88, 79
67, 58, 40, 64, 62
68, 66, 45, 74, 52
69, 76, 26, 69, 62
70, 57, 45, 71, 67
71, 51, 34, 62, 63
72, 72, 34, 70, 79
73, 57, 39, 69, 66
74, 71, 28, 63, 64
75, 61, 21, 73, 56
76, 63, 26, 51, 59
77, 71, 40, 53, 67
78, 60, 35, 56, 57
79, 60, 28, 59, 51
80, 54, 26, 52, 43
81, 64, 29, 48, 50
82, 66, 23, 40, 48
83, 66, 32, 50, 57
84, 49, 21, 44, 54
85, 67, 30, 60, 55
86, 45, 26, 49, 35
87, 59, 21, 44, 49
88, 64, 18, 56, 34
89, 61, 16, 45, 48
90, 59, 14, 43, 47
91, 63, 18, 28, 29
92, 43, 13, 44, 41
93, 57, 20, 43, 50
94, 59, 18, 35, 47
95, 60, 14, 39, 48
96, 62, 17, 35, 38
97, 53, 21, 29, 30
98, 78, 20, 32, 39
99, 76, 28, 34, 28
100, 87, 21, 36, 28
101, 97, 21, 27, 25
102, 76, 18, 25, 39
103, 84, 10, 29, 33
104, 95, 18, 30, 32
105, 74, 15, 26, 38
106, 93, 20, 27, 34
107, 84, 12, 21, 19
108, 72, 20, 22, 37
