Channel:,Lum, Red, Green, Blue
Means:,1.2644987, 1.4012904, 1.1062983, 2.22229
Note: Peaks measured from 20% upward
Peaks:,3854, 6762, 7370, 7043
PeaksLevels:,255, 255, 255, 255
0, 2281402, 1725647, 3594910, 384492
1, 5633021, 5548949, 4167480, 3247733
2, 253597, 828826, 399176, 3500037
3, 33429, 86134, 42791, 866754
4, 16352, 25645, 16053, 162730
5, 8998, 13728, 9826, 40911
6, 5767, 8351, 6467, 16013
7, 4431, 5298, 4691, 9071
8, 3742, 3820, 3668, 6052
9, 3328, 2967, 2931, 4596
10, 2968, 2367, 2476, 3573
11, 2485, 2002, 2118, 2758
12, 2320, 1698, 1963, 2346
13, 1914, 1575, 1776, 2051
14, 1538, 1321, 1564, 1724
15, 1343, 1221, 1337, 1497
16, 1216, 1032, 1159, 1521
17, 1122, 934, 1080, 1309
18, 925, 871, 991, 1265
19, 835, 797, 895, 1129
20, 760, 705, 829, 1061
21, 708, 626, 777, 996
22, 620, 622, 674, 924
23, 625, 608, 656, 877
24, 597, 515, 615, 784
25, 510, 568, 526, 740
26, 536, 514, 556, 662
27, 464, 475, 483, 583
28, 474, 430, 440, 572
29, 436, 449, 389, 529
30, 416, 408, 420, 501
31, 409, 422, 397, 474
32, 362, 344, 378, 402
33, 366, 352, 361, 377
34, 358, 326, 380, 353
35, 322, 296, 355, 355
36, 319, 333, 334, 358
37, 323, 307, 338, 329
38, 280, 272, 317, 275
39, 265, 258, 293, 308
40, 270, 270, 274, 272
41, 283, 270, 265, 291
42, 264, 278, 291, 298
43, 237, 270, 252, 272
44, 219, 258, 241, 223
45, 239, 235, 239, 246
46, 215, 236, 237, 236
47, 223, 245, 203, 253
48, 198, 258, 202, 231
49, 209, 239, 199, 195
50, 201, 223, 192, 210
51, 240, 208, 174, 221
52, 194, 193, 187, 220
53, 192, 179, 219, 202
54, 193, 182, 186, 193
55, 204, 193, 169, 177
56, 174, 207, 172, 203
57, 203, 189, 175, 176
58, 170, 178, 192, 199
59, 161, 147, 170, 181
60, 185, 180, 173, 148
61, 178, 150, 151, 165
62, 168, 184, 170, 174
63, 168, 160, 171, 161
64, 146, 158, 150, 170
65, 147, 152, 138, 145
66, 137, 157, 124, 174
67, 155, 134, 125, 137
68, 155, 122, 126, 149
69, 156, 137, 107, 140
70, 117, 126, 116, 122
71, 122, 133, 111, 147
72, 143, 134, 121, 107
73, 159, 144, 113, 152
74, 143, 110, 103, 141
75, 142, 119, 98, 124
76, 147, 129, 104, 136
77, 131, 118, 106, 141
78, 107, 104, 113, 126
79, 121, 102, 96, 116
80, 125, 125, 95, 127
81, 112, 119, 93, 138
82, 121, 115, 88, 122
83, 134, 140, 91, 123
84, 125, 106, 92, 112
85, 105, 97, 101, 108
86, 126, 101, 86, 122
87, 95, 86, 88, 120
88, 123, 78, 71, 109
89, 119, 91, 77, 93
90, 129, 81, 79, 106
91, 114, 69, 91, 107
92, 128, 88, 88, 108
93, 103, 82, 93, 98
94, 111, 81, 71, 96
95, 125, 82, 82, 92
96, 123, 64, 78, 88
97, 112, 88, 64, 87
98, 145, 73, 72, 87
99, 133, 73, 79, 119
100, 131, 67, 71, 84
101, 130, 66, 48, 89
102, 136, 69, 60, 89
103, 142, 65, 63, 91
104, 116, 62, 63, 85
105, 112, 49, 72, 109
106, 117, 67, 79, 83
107, 92, 73, 73, 83
108, 110, 70, 62, 78
109, 84, 59, 73, 84
110, 82, 71, 69, 81
111, 84, 47, 64, 77
112, 89, 54, 82, 85
113, 89, 58, 58, 85
114, 76, 63, 65, 62
115, 77, 68, 55, 70
116, 77, 61, 57, 82
117, 85, 58, 59, 56
118, 102, 56, 45, 72
119, 98, 52, 49, 76
120, 83, 62, 42, 67
121, 60, 45, 44, 68
122, 78, 54, 57, 67
123, 78, 55, 39, 65
124, 59, 46, 48, 72
125, 78, 52, 34, 78
126, 82, 63, 42, 73
127, 72, 43, 46, 70
128, 78, 39, 48, 77
129, 59, 55, 42, 59
130, 58, 71, 48, 71
131, 56, 61, 49, 72
132, 65, 52, 34, 72
133, 70, 53, 36, 67
134, 62, 38, 39, 64
135, 74, 39, 34, 74
136, 77, 44, 31, 56
137, 86, 62, 48, 67
138, 60, 44, 45, 60
139, 63, 55, 49, 67
140, 71, 50, 26, 58
141, 64, 43, 35, 56
142, 54, 36, 23, 67
143, 55, 46, 31, 56
144, 57, 53, 44, 56
145, 70, 67, 36, 77
146, 60, 41, 27, 51
147, 47, 44, 25, 59
148, 66, 45, 39, 45
149, 65, 42, 33, 59
150, 57, 45, 42, 51
151, 53, 40, 29, 54
152, 52, 41, 46, 58
153, 65, 57, 34, 61
154, 68, 39, 30, 49
155, 50, 43, 33, 49
156, 58, 45, 32, 38
157, 77, 52, 25, 55
158, 61, 29, 34, 60
159, 54, 36, 35, 37
160, 56, 44, 33, 42
161, 64, 45, 28, 50
162, 55, 46, 27, 61
163, 52, 34, 35, 36
164, 54, 51, 31, 48
165, 58, 42, 20, 51
166, 66, 37, 27, 44
167, 53, 28, 31, 47
168, 48, 35, 30, 40
169, 49, 25, 23, 55
170, 52, 31, 27, 52
171, 56, 32, 24, 49
172, 50, 30, 29, 31
173, 51, 44, 36, 54
174, 38, 22, 33, 40
175, 58, 42, 21, 35
176, 74, 33, 29, 38
177, 89, 35, 28, 35
178, 79, 28, 32, 39
179, 85, 35, 24, 47
180, 99, 27, 29, 46
181, 87, 36, 27, 33
182, 101, 30, 35, 34
