Channel:,Lum, Red, Green, Blue
Means:,1.0233669, 1.0770866, 0.8694206, 2.054257
Note: Peaks measured from 20% upward
Peaks:,512, 557, 834, 3096
PeaksLevels:,255, 255, 255, 255
0, 1851243, 1522731, 3242139, 324459
1, 6078489, 5705948, 4521930, 2948417
2, 302608, 947111, 450167, 3719970
3, 14863, 71802, 32367, 1019854
4, 6013, 11259, 7170, 184160
5, 3765, 4873, 4100, 38820
6, 2669, 3146, 2983, 11719
7, 1892, 2325, 2381, 5585
8, 1397, 2041, 1789, 3531
9, 1216, 1652, 1570, 2763
10, 995, 1455, 1203, 2170
11, 918, 1209, 1134, 1697
12, 813, 1039, 1009, 1443
13, 771, 860, 988, 1276
14, 651, 693, 924, 1174
15, 658, 650, 829, 1017
16, 569, 567, 742, 976
17, 584, 569, 686, 875
18, 534, 491, 660, 830
19, 488, 447, 615, 792
20, 494, 447, 511, 711
21, 429, 458, 499, 699
22, 417, 410, 464, 623
23, 418, 421, 449, 633
24, 407, 360, 501, 554
25, 399, 382, 436, 519
26, 364, 360, 418, 448
27, 353, 337, 448, 360
28, 418, 322, 465, 382
29, 369, 271, 440, 406
30, 383, 252, 399, 376
31, 380, 266, 387, 320
32, 358, 280, 385, 285
33, 361, 231, 394, 301
34, 397, 222, 364, 296
35, 331, 210, 323, 250
36, 374, 210, 319, 246
37, 364, 167, 268, 228
38, 383, 156, 288, 238
39, 355, 148, 282, 211
40, 322, 139, 236, 221
41, 337, 156, 215, 200
42, 345, 133, 208, 186
43, 320, 135, 195, 163
44, 354, 124, 171, 161
45, 348, 135, 223, 181
46, 312, 120, 174, 167
47, 305, 134, 174, 148
48, 299, 117, 180, 161
49, 272, 119, 171, 121
50, 293, 112, 159, 132
51, 267, 116, 157, 136
52, 234, 109, 145, 144
53, 261, 104, 157, 114
54, 236, 100, 127, 93
55, 230, 103, 140, 119
56, 209, 116, 130, 136
57, 210, 101, 145, 95
58, 234, 118, 127, 100
59, 227, 101, 112, 111
60, 209, 97, 127, 101
61, 183, 107, 105, 111
62, 175, 95, 111, 99
63, 195, 102, 111, 101
64, 201, 116, 85, 88
65, 198, 95, 85, 86
66, 164, 89, 115, 86
67, 153, 99, 92, 78
68, 159, 77, 86, 89
69, 152, 84, 101, 90
70, 126, 86, 73, 92
71, 155, 81, 76, 77
72, 159, 60, 72, 102
73, 129, 59, 63, 93
74, 153, 64, 73, 102
75, 104, 62, 69, 62
76, 147, 83, 58, 79
77, 97, 78, 64, 72
78, 137, 68, 78, 77
79, 144, 64, 57, 91
80, 127, 58, 82, 80
81, 115, 69, 65, 79
82, 138, 63, 66, 80
83, 111, 60, 46, 77
84, 112, 65, 55, 91
85, 98, 69, 54, 80
86, 115, 64, 66, 72
87, 102, 64, 56, 75
88, 107, 65, 56, 58
89, 99, 62, 60, 79
90, 96, 53, 74, 61
91, 90, 56, 56, 77
92, 86, 49, 52, 75
93, 87, 52, 48, 46
94, 84, 69, 53, 58
95, 111, 71, 43, 63
96, 102, 43, 48, 67
97, 125, 53, 63, 54
98, 131, 67, 38, 53
99, 135, 55, 52, 68
100, 136, 56, 48, 46
101, 143, 48, 48, 66
102, 144, 47, 53, 60
103, 142, 50, 43, 60
104, 149, 54, 48, 43
105, 134, 46, 46, 74
106, 144, 56, 48, 55
107, 139, 54, 53, 53
108, 141, 49, 46, 62
109, 126, 57, 55, 64
110, 115, 54, 45, 43
111, 118, 38, 36, 62
112, 103, 36, 47, 58
113, 65, 44, 55, 54
114, 85, 49, 48, 51
115, 74, 48, 33, 48
116, 68, 42, 35, 61
117, 64, 50, 40, 60
118, 58, 46, 45, 54
119, 69, 35, 52, 62
120, 48, 29, 54, 59
121, 56, 38, 34, 56
122, 53, 26, 49, 42
123, 57, 37, 36, 40
124, 45, 16, 35, 54
125, 30, 25, 38, 48
126, 32, 28, 29, 55
127, 25, 27, 35, 48
128, 36, 30, 28, 51
129, 34, 21, 37, 39
130, 25, 26, 36, 46
131, 29, 28, 39, 39
132, 20, 25, 24, 59
133, 24, 18, 29, 48
134, 24, 29, 30, 38
135, 34, 19, 31, 49
136, 28, 17, 28, 44
137, 28, 19, 31, 47
138, 16, 18, 32, 45
139, 28, 14, 37, 41
140, 19, 15, 37, 40
141, 15, 28, 28, 42
142, 23, 16, 32, 50
143, 23, 13, 40, 54
144, 27, 16, 36, 44
145, 21, 9, 20, 40
146, 22, 6, 27, 41
147, 22, 4, 21, 47
148, 23, 10, 33, 36
149, 17, 9, 20, 36
150, 18, 11, 22, 36
151, 24, 7, 23, 42
152, 25, 1, 24, 41
153, 21, 6, 27, 29
154, 24, 2, 28, 43
155, 17, 2, 28, 43
156, 30, 3, 30, 37
157, 16, 2, 26, 54
158, 21, 3, 20, 49
159, 23, 2, 27, 39
160, 22, 2, 25, 37
161, 23, 1, 25, 31
162, 12, 0, 27, 45
163, 20, 1, 24, 30
164, 23, 1, 23, 41
165, 22, 0, 29, 36
166, 25, 2, 28, 31
167, 18, 4, 22, 32
168, 21, 2, 26, 21
169, 22, 0, 18, 33
170, 28, 4, 26, 27
171, 23, 1, 18, 20
172, 25, 3, 20, 32
173, 32, 2, 17, 35
174, 48, 1, 27, 34
175, 80, 1, 26, 30
176, 64, 2, 17, 34
177, 22, 0, 19, 20
178, 4, 1, 12, 29
179, 3, 1, 21, 31
180, 1, 1, 12, 23
181, 3, 3, 16, 28
182, 2, 4, 24, 27
183, 2, 1, 17, 33
184, 4, 1, 31, 38
185, 1, 3, 23, 28
186, 2, 1, 22, 22
187, 0, 1, 28, 26
188, 3, 1, 23, 25
189, 2, 0, 13, 27
190, 0, 4, 23, 25
191, 1, 2, 23, 30
192, 1, 3, 16, 20
193, 2, 3, 21, 29
194, 0, 1, 31, 31
195, 3, 2, 11, 21
196, 1, 1, 25, 33
197, 3, 2, 21, 21
198, 2, 3, 24, 31
199, 1, 2, 19, 25
200, 1, 2, 22, 15
201, 4, 2, 25, 25
202, 4, 2, 13, 23
203, 2, 3, 20, 25
204, 0, 3, 14, 23
205, 2, 1, 16, 18
206, 4, 5, 19, 21
207, 6, 0, 9, 25
208, 2, 2, 16, 18
209, 1, 2, 17, 26
210, 1, 0, 12, 19
211, 2, 3, 15, 23
212, 0, 4, 18, 21
213, 2, 2, 22, 19
214, 3, 1, 20, 24
215, 2, 3, 13, 27
216, 2, 0, 24, 22
217, 2, 1, 20, 23
218, 2, 3, 22, 23
219, 2, 4, 20, 32
220, 1, 1, 13, 27
221, 0, 0, 14, 25
222, 4, 4, 14, 21
223, 2, 1, 15, 28
224, 1, 0, 18, 24
225, 6, 3, 17, 21
226, 0, 3, 20, 24
227, 2, 1, 20, 29
228, 1, 1, 21, 21
229, 1, 1, 14, 33
230, 3, 2, 16, 31
231, 1, 2, 22, 33
232, 3, 3, 18, 26
233, 5, 0, 9, 26
234, 1, 2, 21, 27
235, 3, 1, 13, 26
236, 1, 1, 14, 21
237, 3, 2, 14, 37
238, 3, 4, 16, 24
239, 4, 0, 20, 33
240, 4, 1, 13, 21
241, 3, 1, 12, 33
242, 3, 2, 10, 34
243, 8, 5, 11, 37
244, 6, 3, 23, 32
245, 8, 2, 16, 36
246, 10, 6, 9, 29
247, 1, 1, 15, 29
248, 5, 3, 19, 32
249, 3, 6, 17, 40
250, 8, 5, 15, 49
251, 3, 2, 19, 38
252, 5, 2, 19, 43
253, 15, 1, 19, 42
254, 10, 3, 19, 49
255, 512, 557, 834, 3096
