Channel:,Lum, Red, Green, Blue
Means:,0.8179997, 0.97985077, 0.71330404, 1.7573566
Note: Peaks measured from 20% upward
Peaks:,890, 1114, 923, 1241
PeaksLevels:,255, 255, 255, 255
0, 3786229, 2678138, 4656518, 279901
1, 4387906, 5285919, 3460497, 4254020
2, 49279, 252215, 107647, 3256737
3, 11298, 19607, 12747, 386145
4, 5615, 8370, 6892, 45150
5, 3794, 5646, 4540, 12572
6, 3039, 4062, 3380, 6663
7, 2603, 3072, 2543, 4297
8, 2239, 2348, 2024, 3235
9, 1956, 1876, 1806, 2686
10, 1510, 1544, 1476, 2272
11, 1271, 1341, 1340, 2065
12, 1084, 1150, 1237, 1751
13, 991, 1010, 1081, 1625
14, 1022, 924, 938, 1376
15, 910, 841, 865, 1310
16, 814, 771, 819, 1227
17, 787, 707, 740, 1141
18, 760, 658, 696, 1031
19, 695, 613, 692, 912
20, 664, 629, 674, 894
21, 630, 546, 584, 783
22, 656, 508, 565, 732
23, 617, 457, 555, 697
24, 608, 469, 517, 672
25, 596, 447, 486, 614
26, 603, 421, 463, 585
27, 565, 436, 468, 578
28, 535, 412, 384, 555
29, 536, 419, 401, 533
30, 504, 447, 393, 539
31, 515, 404, 378, 552
32, 492, 372, 421, 465
33, 451, 345, 373, 500
34, 475, 315, 388, 465
35, 450, 280, 313, 482
36, 428, 278, 323, 430
37, 431, 259, 353, 399
38, 477, 241, 331, 408
39, 416, 222, 301, 416
40, 393, 257, 301, 389
41, 424, 236, 281, 365
42, 462, 233, 335, 441
43, 400, 227, 305, 378
44, 394, 193, 304, 380
45, 353, 180, 289, 363
46, 366, 210, 279, 339
47, 335, 180, 256, 330
48, 372, 166, 254, 359
49, 336, 184, 285, 294
50, 334, 175, 284, 318
51, 282, 182, 278, 287
52, 299, 165, 264, 290
53, 294, 148, 272, 300
54, 304, 157, 258, 263
55, 268, 155, 281, 272
56, 269, 154, 262, 260
57, 246, 153, 265, 250
58, 254, 148, 298, 264
59, 244, 152, 258, 257
60, 254, 160, 291, 244
61, 239, 135, 240, 218
62, 229, 140, 237, 202
63, 253, 154, 217, 166
64, 225, 140, 233, 152
65, 272, 139, 220, 161
66, 243, 126, 212, 167
67, 240, 133, 196, 178
68, 214, 129, 224, 148
