Channel:,Lum, Red, Green, Blue
Means:,0.27296367, 0.48248154, 0.35676253, 1.2302113
Note: Peaks measured from 20% upward
Peaks:,218, 638, 1385, 2414
PeaksLevels:,255, 255, 255, 255
0, 7410078, 5307439, 6657607, 998396
1, 823679, 2919679, 1574018, 6271053
2, 16390, 30512, 21202, 930951
3, 7700, 7635, 7808, 42157
4, 5466, 4263, 4643, 10447
5, 3703, 2730, 3221, 5759
6, 2339, 1892, 2488, 3675
7, 1649, 1516, 1991, 2934
8, 1341, 1229, 1513, 2358
9, 1087, 1068, 1115, 2060
10, 953, 967, 917, 1798
11, 829, 850, 839, 1503
12, 749, 698, 705, 1108
13, 656, 644, 652, 906
14, 567, 574, 607, 769
15, 495, 507, 556, 623
16, 526, 483, 431, 583
17, 463, 433, 489, 505
18, 410, 408, 456, 451
19, 416, 337, 408, 407
20, 367, 370, 364, 362
21, 349, 282, 366, 378
22, 336, 342, 347, 329
23, 314, 260, 314, 294
24, 281, 266, 287, 287
25, 245, 259, 295, 249
26, 266, 240, 246, 244
27, 211, 233, 221, 246
28, 261, 232, 252, 249
29, 209, 217, 226, 215
30, 194, 210, 196, 218
31, 210, 171, 169, 219
32, 187, 153, 183, 206
33, 171, 170, 199, 198
34, 193, 166, 158, 212
35, 160, 139, 164, 182
36, 180, 138, 143, 188
37, 170, 150, 128, 167
38, 184, 150, 145, 157
39, 160, 139, 160, 166
40, 153, 108, 150, 164
41, 136, 96, 135, 171
42, 140, 108, 132, 165
43, 145, 96, 115, 135
44, 128, 93, 119, 139
45, 139, 103, 92, 138
46, 130, 100, 105, 132
47, 115, 102, 110, 112
48, 120, 100, 102, 115
49, 125, 74, 91, 117
50, 115, 86, 111, 123
51, 101, 81, 80, 117
52, 111, 67, 85, 124
53, 116, 87, 79, 104
54, 109, 71, 95, 113
55, 87, 77, 98, 117
56, 106, 69, 78, 118
57, 102, 70, 87, 96
58, 82, 79, 88, 108
59, 84, 61, 79, 111
60, 80, 63, 71, 110
61, 98, 57, 75, 105
62, 95, 65, 69, 94
63, 84, 69, 56, 104
64, 97, 53, 62, 103
65, 92, 64, 58, 114
66, 71, 69, 69, 89
67, 83, 60, 71, 88
68, 55, 45, 69, 96
69, 89, 63, 54, 83
70, 66, 46, 74, 75
71, 71, 61, 58, 86
72, 75, 64, 48, 81
73, 72, 59, 62, 88
74, 73, 54, 54, 68
75, 69, 52, 63, 72
76, 78, 37, 66, 66
77, 76, 55, 70, 49
78, 66, 41, 47, 54
79, 55, 48, 65, 57
80, 76, 46, 51, 55
81, 70, 53, 61, 70
82, 53, 48, 57, 58
83, 56, 46, 62, 44
84, 60, 34, 50, 54
85, 60, 47, 52, 57
86, 75, 32, 48, 55
87, 57, 21, 51, 41
88, 61, 32, 54, 43
89, 61, 36, 47, 54
90, 61, 42, 60, 52
91, 69, 35, 58, 50
92, 63, 31, 46, 44
93, 61, 36, 58, 42
94, 57, 32, 50, 52
95, 68, 33, 54, 49
96, 81, 29, 54, 40
97, 74, 32, 39, 35
98, 92, 23, 58, 34
99, 93, 26, 28, 28
100, 78, 36, 37, 40
101, 71, 22, 46, 45
102, 92, 29, 36, 38
103, 73, 33, 35, 34
104, 82, 26, 37, 40
105, 96, 18, 29, 49
106, 97, 25, 34, 44
107, 61, 30, 33, 32
108, 72, 19, 34, 33
109, 72, 13, 45, 43
110, 64, 23, 28, 45
111, 71, 21, 42, 34
112, 72, 16, 23, 31
113, 73, 21, 24, 40
114, 65, 13, 40, 41
115, 51, 13, 27, 30
116, 63, 14, 28, 40
117, 64, 21, 31, 41
118, 53, 24, 24, 39
119, 49, 17, 27, 32
120, 59, 16, 33, 28
121, 63, 27, 28, 26
122, 68, 16, 33, 33
123, 61, 24, 22, 30
124, 60, 18, 30, 37
125, 43, 15, 27, 36
126, 59, 14, 25, 34
127, 45, 16, 21, 27
128, 61, 19, 22, 24
129, 66, 19, 17, 30
130, 63, 17, 13, 27
131, 53, 12, 24, 34
132, 82, 17, 15, 17
133, 49, 11, 21, 20
134, 39, 15, 16, 24
135, 51, 14, 15, 24
136, 63, 9, 21, 14
137, 63, 13, 10, 24
138, 57, 15, 17, 24
139, 53, 11, 17, 24
140, 45, 17, 19, 30
141, 52, 13, 19, 27
142, 71, 11, 18, 28
143, 28, 17, 17, 25
144, 40, 16, 14, 31
145, 45, 16, 14, 23
146, 39, 21, 15, 22
147, 22, 19, 17, 24
148, 41, 9, 17, 27
149, 40, 10, 21, 24
150, 37, 14, 15, 20
151, 44, 10, 9, 22
152, 42, 12, 12, 15
153, 29, 11, 16, 25
154, 34, 15, 15, 15
155, 34, 10, 18, 24
156, 49, 10, 10, 16
157, 40, 15, 12, 24
158, 31, 11, 16, 22
159, 29, 25, 18, 20
160, 31, 11, 13, 23
161, 31, 10, 5, 21
162, 25, 13, 8, 18
163, 24, 8, 12, 17
164, 26, 13, 13, 17
165, 26, 13, 9, 18
166, 22, 12, 14, 14
167, 29, 10, 7, 23
168, 29, 16, 8, 12
169, 24, 8, 11, 27
170, 20, 9, 15, 15
171, 26, 11, 6, 21
172, 20, 11, 7, 16
173, 29, 16, 5, 13
174, 23, 7, 9, 22
175, 16, 6, 6, 13
176, 33, 11, 7, 21
177, 33, 12, 13, 20
178, 61, 9, 7, 14
179, 75, 7, 7, 18
180, 59, 6, 10, 18
181, 64, 9, 7, 15
182, 63, 9, 11, 18
183, 52, 9, 9, 11
184, 38, 13, 11, 20
185, 39, 7, 9, 20
186, 28, 13, 14, 20
187, 33, 12, 16, 28
188, 26, 11, 10, 12
189, 24, 10, 11, 21
190, 18, 13, 17, 19
191, 27, 11, 16, 16
192, 10, 17, 13, 21
193, 13, 10, 17, 14
194, 14, 12, 14, 20
195, 18, 12, 14, 22
196, 12, 9, 6, 19
197, 10, 11, 9, 16
198, 17, 12, 19, 19
199, 9, 8, 14, 11
200, 17, 8, 15, 23
201, 18, 13, 10, 19
202, 8, 11, 15, 17
203, 23, 9, 16, 22
204, 20, 7, 15, 15
205, 10, 8, 15, 20
206, 13, 14, 15, 13
207, 10, 14, 15, 21
208, 14, 5, 11, 20
209, 7, 9, 14, 16
210, 5, 11, 11, 14
211, 4, 12, 15, 21
212, 4, 10, 12, 26
213, 1, 9, 9, 23
214, 3, 11, 15, 17
215, 2, 14, 4, 13
216, 5, 12, 16, 15
217, 1, 3, 13, 22
218, 2, 8, 6, 11
219, 4, 8, 13, 13
220, 2, 10, 15, 12
221, 1, 13, 13, 21
222, 1, 8, 17, 15
223, 1, 16, 11, 24
224, 1, 14, 15, 31
225, 0, 10, 12, 24
226, 1, 16, 13, 20
227, 3, 12, 12, 23
228, 2, 14, 15, 18
229, 3, 7, 7, 21
230, 1, 10, 7, 20
231, 0, 14, 9, 31
232, 2, 14, 6, 28
233, 2, 11, 5, 24
234, 2, 15, 12, 25
235, 2, 19, 6, 13
236, 1, 10, 9, 21
237, 3, 7, 15, 12
238, 1, 8, 7, 23
239, 0, 14, 9, 31
240, 3, 8, 7, 27
241, 2, 10, 7, 18
242, 2, 5, 5, 25
243, 1, 7, 13, 35
244, 4, 11, 7, 20
245, 1, 10, 15, 11
246, 1, 9, 12, 19
247, 2, 10, 9, 28
248, 4, 8, 8, 18
249, 2, 10, 11, 25
250, 6, 11, 12, 9
251, 5, 12, 12, 21
252, 9, 7, 16, 15
253, 5, 14, 14, 27
254, 8, 13, 10, 28
255, 218, 638, 1385, 2414
