Channel:,Lum, Red, Green, Blue
Means:,0.16105878, 0.407616, 0.24752098, 1.0305697
Note: Peaks measured from 20% upward
Peaks:,196, 317, 219, 300
PeaksLevels:,255, 255, 255, 255
0, 7758240, 5748502, 7030124, 1303909
1, 493115, 2495802, 1219427, 6259696
2, 11941, 20444, 15364, 672365
3, 5031, 6344, 6444, 23431
4, 3301, 3612, 3206, 7148
5, 2437, 2287, 2201, 3986
6, 1806, 1648, 1527, 2608
7, 1456, 1242, 1223, 1945
8, 1138, 950, 967, 1523
9, 886, 809, 842, 1302
10, 767, 648, 692, 1141
11, 668, 587, 583, 875
12, 605, 496, 490, 801
13, 574, 475, 433, 648
14, 480, 394, 442, 569
15, 463, 376, 370, 561
16, 395, 369, 327, 475
17, 362, 311, 308, 456
18, 309, 293, 303, 405
19, 306, 254, 267, 361
20, 290, 235, 263, 381
21, 270, 214, 239, 329
22, 270, 221, 212, 303
23, 259, 207, 207, 284
24, 224, 203, 207, 264
25, 216, 193, 202, 230
26, 203, 162, 189, 231
27, 207, 155, 164, 208
28, 210, 159, 153, 200
29, 183, 160, 137, 204
30, 180, 165, 147, 216
31, 169, 154, 120, 197
32, 162, 163, 146, 192
33, 149, 135, 130, 160
34, 140, 142, 144, 189
35, 129, 134, 107, 162
36, 124, 107, 109, 171
37, 118, 118, 127, 184
38, 138, 102, 111, 168
39, 128, 112, 98, 157
40, 98, 98, 100, 140
41, 117, 92, 108, 167
42, 122, 110, 90, 159
43, 100, 78, 108, 125
44, 105, 73, 88, 133
45, 104, 59, 79, 111
46, 90, 69, 97, 121
47, 113, 62, 91, 146
48, 80, 62, 97, 120
49, 95, 58, 82, 125
50, 88, 71, 59, 107
51, 88, 62, 94, 113
52, 99, 64, 73, 101
53, 100, 53, 83, 95
54, 91, 43, 78, 91
55, 85, 60, 82, 90
56, 103, 39, 79, 108
57, 71, 47, 60, 96
58, 86, 54, 63, 90
59, 76, 50, 67, 101
60, 63, 40, 63, 87
61, 75, 55, 69, 88
62, 83, 47, 59, 82
63, 96, 58, 71, 77
64, 70, 44, 74, 72
65, 67, 43, 47, 62
66, 75, 39, 55, 63
67, 66, 37, 65, 77
68, 68, 47, 48, 47
69, 68, 44, 57, 57
70, 79, 43, 61, 49
71, 74, 38, 54, 38
72, 63, 42, 61, 65
73, 60, 29, 57, 36
74, 61, 41, 62, 38
75, 70, 37, 54, 40
76, 74, 35, 65, 38
77, 46, 39, 50, 22
78, 63, 40, 69, 29
79, 43, 31, 51, 29
80, 50, 33, 59, 34
81, 50, 36, 47, 33
82, 63, 41, 48, 33
83, 66, 32, 50, 28
84, 69, 39, 32, 27
85, 48, 34, 33, 28
86, 53, 29, 40, 29
87, 44, 35, 35, 23
88, 58, 26, 20, 27
89, 44, 31, 27, 19
90, 52, 46, 38, 26
91, 41, 32, 33, 34
92, 62, 26, 23, 32
93, 57, 23, 34, 24
94, 63, 33, 30, 20
95, 66, 32, 16, 28
96, 69, 24, 29, 20
97, 45, 27, 21, 25
98, 64, 28, 20, 12
99, 50, 33, 34, 18
100, 51, 21, 25, 6
101, 68, 20, 23, 16
102, 55, 35, 18, 17
103, 44, 32, 23, 20
104, 53, 22, 24, 13
105, 50, 31, 20, 21
106, 49, 28, 10, 19
107, 41, 24, 14, 15
108, 35, 36, 20, 13
