Channel:,Lum, Red, Green, Blue
Means:,0.6205284, 0.88229686, 0.5928554, 1.4937383
Note: Peaks measured from 20% upward
Peaks:,302, 713, 1741, 2860
PeaksLevels:,255, 255, 255, 255
0, 4745350, 2383002, 5022813, 206222
1, 3473625, 5741336, 3169456, 5818477
2, 25278, 123094, 53838, 2076438
3, 10162, 10497, 9996, 129665
4, 5490, 5043, 5830, 16939
5, 3427, 3274, 3886, 7396
6, 2575, 2409, 2502, 5169
7, 1998, 1757, 1700, 3779
8, 1536, 1488, 1419, 2804
9, 1262, 1293, 1178, 2053
10, 1080, 1159, 1000, 1693
11, 953, 972, 855, 1395
12, 841, 870, 775, 1113
13, 739, 794, 704, 974
14, 610, 693, 637, 773
15, 604, 571, 561, 717
16, 551, 563, 569, 668
17, 505, 571, 438, 586
18, 488, 518, 435, 486
19, 456, 507, 407, 464
20, 385, 473, 384, 384
21, 359, 394, 319, 410
22, 367, 402, 310, 344
23, 319, 426, 319, 326
24, 291, 336, 306, 317
25, 282, 324, 269, 300
26, 276, 317, 268, 283
27, 250, 303, 234, 293
28, 237, 287, 241, 269
29, 214, 237, 224, 238
30, 223, 257, 242, 217
31, 210, 233, 232, 263
32, 209, 215, 182, 221
33, 205, 205, 165, 191
34, 190, 207, 185, 208
35, 203, 181, 189, 209
36, 183, 209, 174, 194
37, 167, 203, 181, 189
38, 149, 160, 151, 209
39, 172, 155, 182, 181
40, 141, 151, 164, 167
41, 158, 166, 165, 169
42, 140, 180, 177, 174
43, 127, 154, 162, 166
44, 149, 140, 163, 173
45, 111, 150, 156, 180
46, 137, 162, 136, 178
47, 128, 136, 140, 172
48, 124, 142, 148, 175
49, 119, 131, 125, 161
50, 134, 151, 145, 168
51, 139, 122, 152, 157
52, 119, 130, 137, 159
53, 95, 140, 148, 173
54, 112, 130, 128, 158
55, 106, 141, 123, 155
56, 112, 105, 144, 132
57, 103, 120, 135, 131
58, 96, 109, 111, 117
59, 109, 102, 124, 135
60, 111, 102, 100, 110
61, 96, 82, 130, 94
62, 97, 84, 146, 98
63, 90, 75, 117, 101
64, 75, 79, 140, 88
65, 98, 72, 135, 78
66, 92, 67, 153, 59
67, 95, 59, 146, 67
68, 112, 82, 170, 74
69, 88, 56, 133, 65
70, 81, 44, 108, 60
71, 75, 76, 101, 57
72, 74, 57, 133, 65
73, 98, 51, 102, 60
74, 76, 49, 95, 58
75, 78, 42, 93, 63
76, 81, 58, 86, 55
77, 63, 54, 60, 51
78, 96, 34, 73, 42
79, 83, 48, 57, 53
80, 80, 49, 55, 53
81, 84, 40, 75, 47
82, 93, 42, 78, 53
83, 93, 64, 81, 50
84, 83, 45, 66, 55
85, 76, 35, 58, 45
86, 81, 37, 50, 60
87, 94, 46, 52, 54
88, 79, 39, 47, 57
89, 62, 39, 42, 46
90, 75, 43, 46, 47
91, 60, 28, 30, 54
92, 70, 43, 42, 55
93, 62, 38, 32, 41
94, 64, 40, 35, 49
95, 69, 27, 41, 44
96, 67, 34, 31, 37
97, 66, 49, 22, 31
98, 79, 27, 36, 33
99, 58, 31, 32, 33
100, 94, 33, 29, 32
101, 84, 44, 24, 36
102, 119, 46, 32, 22
103, 100, 43, 31, 29
104, 117, 44, 36, 40
105, 112, 35, 25, 25
106, 104, 32, 25, 42
107, 114, 37, 40, 32
108, 128, 28, 30, 26
109, 123, 28, 36, 35
110, 134, 32, 36, 28
111, 122, 37, 17, 39
112, 127, 28, 30, 34
113, 134, 24, 26, 16
114, 116, 36, 25, 20
115, 120, 34, 24, 30
116, 103, 21, 18, 30
117, 106, 41, 20, 34
118, 91, 29, 26, 29
119, 85, 35, 21, 27
120, 68, 29, 27, 27
121, 81, 27, 22, 24
122, 83, 20, 17, 30
123, 73, 35, 18, 29
124, 65, 28, 21, 27
125, 71, 29, 18, 34
126, 69, 23, 19, 13
127, 78, 18, 20, 16
128, 86, 35, 25, 27
129, 60, 18, 22, 17
130, 80, 22, 18, 22
131, 78, 14, 18, 15
132, 73, 17, 20, 24
133, 75, 20, 18, 20
134, 71, 19, 28, 22
135, 63, 25, 13, 14
136, 80, 19, 19, 18
137, 84, 15, 16, 27
138, 67, 15, 24, 21
139, 65, 20, 18, 19
140, 44, 16, 24, 21
141, 42, 31, 23, 18
142, 43, 16, 23, 21
143, 49, 11, 22, 15
144, 39, 12, 13, 28
145, 53, 12, 18, 24
146, 35, 10, 16, 19
147, 49, 19, 16, 20
148, 39, 12, 12, 14
149, 32, 10, 21, 15
150, 39, 16, 15, 9
151, 30, 15, 20, 24
152, 37, 15, 14, 20
153, 33, 14, 15, 19
154, 35, 19, 13, 30
155, 41, 21, 10, 12
156, 39, 15, 17, 23
157, 27, 16, 22, 19
158, 36, 19, 20, 14
159, 34, 15, 13, 18
160, 31, 10, 12, 14
161, 35, 14, 15, 14
162, 30, 16, 19, 15
163, 44, 16, 15, 17
164, 34, 23, 12, 11
165, 40, 24, 18, 17
166, 35, 17, 16, 20
167, 33, 21, 20, 23
168, 31, 24, 18, 18
169, 31, 15, 10, 14
170, 40, 19, 17, 7
171, 32, 16, 20, 21
172, 31, 17, 13, 8
173, 27, 8, 18, 17
174, 31, 13, 18, 16
175, 66, 14, 21, 13
176, 138, 16, 8, 17
177, 156, 8, 18, 14
178, 129, 9, 20, 16
179, 81, 17, 14, 14
180, 53, 15, 15, 13
181, 54, 13, 10, 14
182, 30, 20, 7, 11
183, 28, 13, 11, 13
184, 20, 17, 18, 16
185, 22, 15, 11, 19
186, 10, 8, 13, 13
187, 9, 13, 10, 13
188, 8, 8, 16, 11
189, 3, 14, 14, 10
190, 4, 22, 11, 12
191, 3, 14, 19, 9
192, 2, 9, 18, 19
193, 3, 15, 3, 19
194, 5, 14, 20, 15
195, 2, 16, 17, 20
196, 1, 16, 15, 12
197, 2, 14, 17, 10
198, 2, 17, 13, 14
199, 1, 20, 20, 10
200, 0, 18, 17, 14
201, 1, 12, 15, 12
202, 3, 12, 17, 9
203, 2, 11, 12, 15
204, 3, 15, 11, 34
205, 0, 10, 15, 24
206, 2, 13, 21, 18
207, 2, 13, 11, 13
208, 2, 8, 13, 18
209, 3, 23, 19, 15
210, 2, 20, 15, 12
211, 1, 17, 21, 17
212, 2, 16, 21, 11
213, 3, 15, 21, 18
214, 2, 13, 13, 17
215, 3, 15, 23, 12
216, 3, 11, 14, 11
217, 2, 12, 19, 19
218, 0, 14, 14, 8
219, 0, 13, 12, 16
220, 1, 12, 19, 24
221, 2, 12, 21, 12
222, 3, 11, 19, 12
223, 1, 11, 14, 12
224, 1, 14, 11, 22
225, 2, 16, 17, 14
226, 2, 16, 27, 17
227, 5, 18, 14, 16
228, 0, 17, 23, 18
229, 0, 26, 13, 25
230, 2, 17, 19, 26
231, 3, 7, 19, 21
232, 0, 15, 25, 15
233, 3, 21, 20, 16
234, 2, 16, 19, 15
235, 8, 19, 9, 16
236, 0, 16, 15, 19
237, 4, 13, 8, 24
238, 1, 10, 9, 15
239, 1, 18, 14, 14
240, 4, 18, 11, 19
241, 7, 22, 6, 20
242, 2, 22, 17, 20
243, 1, 7, 13, 20
244, 2, 21, 11, 15
245, 1, 24, 8, 18
246, 4, 10, 15, 12
247, 6, 10, 15, 19
248, 7, 22, 13, 21
249, 4, 12, 25, 16
250, 2, 20, 21, 18
251, 7, 19, 26, 13
252, 7, 22, 9, 14
253, 8, 24, 25, 10
254, 9, 25, 18, 26
255, 302, 713, 1741, 2860
