Channel:,Lum, Red, Green, Blue
Means:,0.8285614, 1.0131199, 0.760412, 1.6696063
Note: Peaks measured from 20% upward
Peaks:,371, 1309, 2407, 3560
PeaksLevels:,255, 255, 255, 255
0, 3466317, 1801735, 4136823, 145257
1, 4724615, 6186627, 3969723, 5103007
2, 42079, 248107, 127366, 2723094
3, 11900, 15178, 13462, 237353
4, 7252, 6167, 6787, 28459
5, 5186, 3919, 4700, 9724
6, 3434, 2838, 3562, 5425
7, 2424, 2143, 2665, 3945
8, 1873, 1754, 2075, 3175
9, 1557, 1354, 1683, 2687
10, 1362, 1260, 1249, 2284
11, 1111, 1062, 1045, 1929
12, 907, 957, 914, 1656
13, 814, 808, 791, 1386
14, 698, 743, 720, 1141
15, 705, 676, 586, 967
16, 642, 627, 564, 814
17, 606, 567, 561, 749
18, 513, 535, 493, 650
19, 498, 489, 384, 579
20, 455, 460, 441, 548
21, 362, 473, 419, 539
22, 405, 421, 393, 436
23, 370, 393, 388, 438
24, 347, 370, 314, 375
25, 291, 366, 299, 390
26, 301, 346, 316, 318
27, 317, 323, 298, 311
28, 263, 295, 295, 282
29, 276, 282, 263, 288
30, 274, 303, 259, 263
31, 215, 273, 204, 229
32, 244, 260, 244, 258
33, 223, 239, 216, 260
34, 216, 266, 217, 252
35, 208, 238, 189, 199
36, 213, 207, 202, 188
37, 183, 213, 181, 205
38, 190, 212, 185, 219
39, 172, 195, 187, 224
40, 167, 198, 173, 200
41, 162, 204, 163, 184
42, 153, 164, 174, 181
43, 150, 170, 160, 166
44, 149, 167, 152, 171
45, 164, 165, 170, 184
46, 142, 145, 159, 165
47, 140, 127, 147, 145
48, 143, 129, 134, 154
49, 114, 158, 117, 168
50, 123, 124, 159, 129
51, 143, 132, 118, 145
52, 124, 123, 131, 144
53, 143, 130, 109, 131
54, 127, 116, 117, 125
55, 127, 117, 116, 109
56, 117, 103, 135, 125
57, 101, 88, 119, 126
58, 111, 123, 111, 124
59, 99, 95, 109, 119
60, 113, 112, 126, 117
61, 121, 93, 106, 122
62, 102, 87, 106, 111
63, 120, 96, 97, 103
64, 113, 87, 118, 92
65, 94, 108, 112, 96
66, 97, 96, 112, 90
67, 118, 104, 96, 90
68, 90, 95, 95, 103
69, 100, 87, 98, 122
70, 92, 86, 75, 77
71, 105, 78, 75, 90
72, 86, 82, 96, 100
73, 90, 80, 77, 78
74, 79, 95, 76, 82
75, 73, 64, 76, 73
76, 89, 80, 88, 91
77, 80, 71, 96, 94
78, 74, 71, 82, 90
79, 89, 69, 79, 90
80, 78, 67, 79, 85
81, 90, 58, 82, 81
82, 95, 77, 75, 86
83, 90, 80, 88, 82
84, 93, 79, 71, 94
85, 91, 86, 72, 79
86, 85, 82, 58, 83
87, 84, 73, 66, 63
88, 75, 73, 64, 90
89, 92, 56, 69, 90
90, 67, 80, 54, 67
91, 85, 70, 71, 59
92, 92, 55, 70, 73
