Channel:,Lum, Red, Green, Blue
Means:,4.4915237, 4.273971, 3.3277774, 6.8727794
Note: Peaks measured from 20% upward
Peaks:,251, 1218, 2417, 3765
PeaksLevels:,255, 255, 255, 255
0, 9196, 356153, 596295, 301247
1, 178398, 526581, 922491, 225866
2, 814158, 1038679, 1733287, 371678
3, 1688089, 1506462, 2067486, 587512
4, 2155911, 1613575, 1384438, 822968
5, 1773412, 1314814, 787954, 988165
6, 982490, 863328, 352649, 998375
7, 412225, 491611, 200212, 993469
8, 149891, 258530, 94588, 849214
9, 53829, 133577, 58626, 659922
10, 22057, 75314, 28800, 478655
11, 11014, 36564, 18076, 329897
12, 6683, 20901, 9279, 202631
13, 4615, 12835, 6079, 150551
14, 3302, 7998, 4325, 98863
15, 2515, 5385, 2775, 58158
16, 2036, 3699, 2261, 45350
17, 1640, 2798, 1643, 30882
18, 1272, 2090, 1461, 21322
19, 1060, 1699, 1056, 12868
20, 994, 1394, 1059, 11190
21, 768, 1246, 816, 7986
22, 708, 1148, 797, 5867
23, 654, 921, 633, 4600
24, 492, 881, 637, 3492
25, 458, 737, 484, 2370
26, 399, 601, 538, 2291
27, 367, 660, 450, 1935
28, 355, 576, 428, 1545
29, 342, 505, 374, 1213
30, 306, 465, 364, 1144
31, 292, 431, 339, 1011
32, 261, 386, 319, 873
33, 243, 351, 273, 775
34, 233, 293, 296, 672
35, 181, 322, 247, 643
36, 193, 267, 252, 621
37, 188, 253, 229, 551
38, 173, 286, 230, 488
39, 197, 255, 222, 437
40, 178, 227, 187, 410
41, 154, 206, 177, 451
42, 145, 224, 189, 403
43, 158, 206, 151, 394
44, 152, 171, 169, 297
45, 128, 179, 139, 323
46, 115, 176, 140, 314
47, 124, 171, 148, 265
48, 113, 130, 151, 257
49, 127, 161, 120, 233
50, 123, 151, 124, 243
51, 102, 152, 117, 234
52, 117, 119, 154, 225
53, 103, 126, 109, 218
54, 95, 121, 101, 150
55, 114, 120, 120, 189
56, 104, 118, 102, 179
57, 103, 129, 114, 172
58, 89, 115, 86, 145
59, 95, 103, 103, 152
60, 101, 88, 91, 142
61, 88, 87, 90, 147
62, 100, 98, 78, 129
63, 87, 84, 94, 146
64, 84, 95, 84, 123
65, 78, 94, 83, 135
66, 79, 86, 83, 132
67, 76, 87, 81, 115
68, 82, 78, 66, 97
69, 67, 86, 76, 128
70, 71, 81, 76, 99
71, 77, 71, 56, 101
72, 69, 64, 74, 101
