Channel:,Lum, Red, Green, Blue
Means:,0.21187018, 0.33074012, 0.29239547, 0.99838036
Note: Peaks measured from 20% upward
Peaks:,261, 667, 1564, 2845
PeaksLevels:,255, 255, 255, 255
0, 7986294, 6590499, 7288253, 2587441
1, 255093, 1648010, 952098, 5090285
2, 11917, 21483, 15272, 537295
3, 6204, 6356, 6428, 31562
4, 4608, 3750, 3978, 8705
5, 3150, 2353, 2742, 4724
6, 2138, 1740, 2122, 3187
7, 1525, 1411, 1713, 2612
8, 1197, 1099, 1486, 2165
9, 1000, 1017, 1018, 1868
10, 910, 879, 900, 1655
11, 808, 800, 685, 1357
12, 691, 665, 643, 1097
13, 563, 580, 605, 899
14, 524, 553, 600, 724
15, 466, 508, 476, 615
16, 481, 436, 482, 543
17, 407, 399, 454, 528
18, 402, 414, 406, 430
19, 370, 379, 408, 413
20, 368, 324, 347, 361
21, 346, 301, 343, 331
22, 332, 331, 297, 294
23, 262, 301, 314, 288
24, 272, 286, 280, 275
25, 297, 247, 258, 262
26, 248, 253, 256, 248
27, 241, 229, 220, 226
28, 228, 236, 221, 221
29, 230, 214, 203, 220
30, 203, 192, 204, 227
31, 207, 195, 220, 197
32, 179, 183, 200, 204
33, 197, 183, 152, 200
34, 178, 154, 148, 203
35, 173, 165, 167, 188
36, 182, 160, 162, 154
37, 163, 150, 140, 188
38, 152, 123, 159, 169
39, 161, 116, 145, 175
40, 156, 139, 136, 165
41, 144, 111, 147, 137
42, 125, 115, 143, 163
43, 148, 113, 155, 151
44, 121, 114, 116, 133
45, 130, 100, 115, 143
46, 120, 99, 114, 137
47, 127, 108, 103, 139
48, 112, 102, 110, 140
49, 144, 95, 116, 127
50, 129, 99, 105, 142
51, 113, 100, 111, 125
52, 105, 81, 100, 154
53, 103, 95, 107, 122
54, 103, 96, 96, 131
55, 101, 83, 92, 128
56, 88, 75, 99, 127
57, 101, 77, 80, 135
58, 91, 82, 92, 113
59, 103, 72, 84, 124
60, 93, 65, 106, 102
61, 86, 67, 79, 111
62, 98, 79, 82, 102
63, 90, 74, 98, 126
64, 84, 70, 74, 102
65, 95, 78, 93, 92
66, 79, 74, 73, 97
67, 84, 90, 83, 92
68, 85, 82, 76, 76
69, 84, 59, 78, 68
70, 78, 64, 68, 52
71, 82, 60, 82, 67
72, 85, 57, 66, 54
73, 68, 67, 78, 58
74, 74, 58, 78, 54
75, 73, 58, 95, 59
76, 48, 41, 82, 66
77, 77, 42, 79, 65
78, 63, 37, 81, 61
79, 70, 52, 81, 64
80, 73, 54, 79, 69
81, 71, 40, 64, 47
82, 82, 39, 66, 54
83, 59, 50, 58, 48
84, 60, 33, 80, 44
85, 62, 44, 68, 50
86, 64, 20, 64, 47
87, 78, 44, 68, 42
88, 60, 27, 58, 50
89, 63, 39, 62, 46
90, 72, 27, 58, 45
91, 74, 29, 47, 56
92, 71, 37, 43, 50
93, 76, 38, 49, 40
94, 67, 22, 40, 48
95, 78, 30, 45, 40
96, 93, 26, 38, 40
97, 96, 39, 38, 45
98, 92, 15, 38, 57
99, 91, 20, 38, 34
100, 92, 32, 31, 43
101, 81, 24, 47, 45
102, 83, 31, 44, 45
103, 86, 28, 35, 42
104, 79, 17, 43, 56
105, 86, 25, 51, 44
106, 80, 22, 34, 41
107, 83, 14, 48, 39
108, 92, 27, 39, 30
109, 71, 26, 38, 23
110, 74, 22, 28, 45
111, 79, 23, 37, 39
