Channel:,Lum, Red, Green, Blue
Means:,1.9834025, 1.8149298, 1.5848225, 3.5509186
Note: Peaks measured from 20% upward
Peaks:,452, 2259, 3367, 4588
PeaksLevels:,255, 255, 255, 255
0, 1081125, 2287378, 2805878, 1228405
1, 2921802, 2326255, 2636245, 1117646
2, 2498041, 1820298, 1565041, 1390232
3, 1184569, 959314, 666351, 1329560
4, 389626, 468305, 290928, 1091932
5, 111264, 200547, 152263, 751876
6, 35967, 98774, 68937, 516307
7, 15310, 44390, 34698, 321356
8, 8728, 25611, 18002, 182369
9, 6052, 13001, 10021, 121773
10, 4396, 8730, 6424, 74258
11, 3363, 5205, 3957, 46183
12, 2693, 4052, 2855, 26617
13, 2069, 2778, 2308, 19871
14, 1643, 2315, 1821, 12111
15, 1397, 2006, 1610, 9676
16, 1188, 1594, 1289, 6730
17, 1028, 1470, 1133, 4396
18, 791, 1189, 1014, 3809
19, 718, 1118, 939, 3048
20, 639, 923, 865, 2151
21, 554, 808, 763, 2039
22, 490, 691, 651, 1671
23, 462, 694, 601, 1315
24, 400, 578, 555, 1328
25, 385, 580, 526, 1116
26, 370, 495, 452, 949
27, 322, 465, 434, 888
28, 340, 443, 416, 760
29, 310, 433, 361, 789
30, 309, 368, 385, 707
31, 274, 369, 351, 636
32, 254, 329, 310, 522
33, 269, 280, 329, 547
34, 228, 284, 297, 542
35, 204, 262, 271, 448
36, 214, 263, 282, 437
37, 210, 253, 238, 349
38, 190, 217, 244, 411
39, 200, 226, 214, 333
40, 190, 196, 190, 320
41, 163, 191, 181, 292
42, 169, 170, 178, 283
43, 158, 195, 175, 277
44, 156, 183, 193, 241
45, 153, 186, 163, 274
46, 152, 145, 156, 209
47, 144, 154, 146, 226
48, 165, 126, 150, 209
49, 124, 157, 165, 213
50, 151, 127, 147, 217
51, 134, 135, 132, 186
52, 124, 115, 132, 176
53, 119, 118, 138, 175
54, 127, 98, 131, 171
55, 134, 109, 116, 140
56, 108, 113, 104, 138
57, 120, 78, 111, 137
58, 113, 103, 126, 130
59, 95, 113, 120, 137
60, 104, 91, 92, 125
61, 102, 91, 117, 151
62, 124, 79, 116, 113
63, 100, 81, 106, 126
64, 107, 98, 98, 130
65, 86, 88, 101, 120
66, 106, 78, 112, 135
67, 89, 79, 80, 129
68, 89, 77, 86, 127
69, 93, 90, 79, 105
70, 71, 68, 82, 107
71, 74, 69, 68, 103
72, 88, 81, 66, 109
73, 80, 74, 78, 116
74, 97, 63, 77, 116
75, 89, 63, 88, 102
76, 80, 68, 69, 96
77, 93, 50, 64, 106
78, 100, 67, 84, 89
79, 69, 64, 73, 82
80, 100, 64, 59, 96
81, 75, 48, 60, 85
82, 87, 54, 76, 80
83, 90, 61, 58, 76
84, 90, 55, 56, 76
85, 90, 58, 70, 85
86, 79, 54, 65, 98
87, 82, 62, 63, 76
88, 73, 51, 74, 68
89, 82, 49, 76, 73
90, 80, 40, 60, 75
91, 74, 37, 63, 94
92, 77, 42, 63, 68
93, 52, 54, 71, 62
94, 99, 45, 57, 65
95, 94, 50, 52, 76
96, 107, 36, 50, 67
97, 108, 43, 52, 72
98, 107, 60, 78, 73
99, 109, 49, 51, 58
100, 115, 46, 50, 60
101, 107, 36, 57, 57
102, 79, 36, 48, 70
103, 101, 32, 46, 70
104, 132, 35, 52, 71
105, 115, 33, 48, 53
106, 117, 39, 39, 81
107, 94, 44, 54, 61
108, 88, 37, 65, 43
109, 102, 36, 38, 78
110, 91, 34, 50, 56
111, 113, 42, 48, 49
112, 92, 34, 55, 52
113, 111, 38, 57, 45
114, 93, 27, 39, 44
115, 87, 32, 40, 47
116, 87, 21, 59, 60
117, 76, 38, 51, 46
118, 96, 34, 40, 47
119, 99, 30, 39, 50
120, 82, 43, 46, 56
121, 82, 32, 42, 49
122, 68, 38, 46, 53
123, 83, 36, 46, 55
124, 73, 27, 44, 59
125, 82, 32, 46, 55
126, 73, 35, 33, 53
127, 75, 36, 31, 61
128, 76, 41, 48, 42
129, 76, 30, 48, 50
130, 75, 34, 46, 55
131, 73, 25, 38, 53
132, 74, 41, 47, 49
133, 74, 29, 39, 44
134, 71, 36, 47, 68
135, 70, 26, 37, 44
136, 72, 28, 34, 41
137, 85, 26, 45, 39
138, 70, 31, 33, 42
139, 73, 29, 33, 58
140, 76, 27, 38, 39
141, 89, 34, 26, 44
142, 80, 26, 37, 40
143, 71, 26, 42, 53
144, 79, 32, 47, 53
145, 67, 26, 26, 41
146, 56, 28, 33, 41
147, 73, 22, 28, 41
148, 70, 22, 35, 43
149, 62, 31, 31, 39
150, 67, 29, 29, 39
151, 71, 16, 37, 34
152, 68, 26, 36, 41
153, 69, 27, 35, 31
154, 58, 24, 31, 36
155, 59, 18, 32, 45
156, 68, 21, 27, 24
157, 63, 17, 32, 47
158, 52, 21, 30, 33
159, 49, 21, 22, 38
160, 58, 22, 17, 37
161, 42, 15, 27, 38
162, 54, 20, 26, 32
163, 62, 17, 29, 32
164, 50, 24, 32, 31
