Channel:,Lum, Red, Green, Blue
Means:,1.8937743, 2.024457, 1.5493147, 3.108424
Note: Peaks measured from 20% upward
Peaks:,708, 3614, 3664, 1866
PeaksLevels:,255, 255, 255, 255
0, 1266904, 2058667, 2949332, 1564025
1, 3087194, 2253974, 2622634, 1310660
2, 2364304, 1895674, 1491713, 1469319
3, 1041525, 1050043, 629144, 1272180
4, 331570, 527787, 278372, 961194
5, 96123, 229591, 147467, 622332
6, 33069, 114978, 66837, 412656
7, 15564, 53278, 34453, 249338
8, 9089, 30487, 17981, 139409
9, 5906, 16094, 10172, 94111
10, 4262, 10612, 6723, 57489
11, 3119, 6657, 4007, 36525
12, 2440, 5073, 2879, 20900
13, 1856, 3658, 2272, 16037
14, 1607, 2956, 1803, 9453
15, 1346, 2502, 1597, 7886
16, 1172, 2052, 1260, 5644
17, 991, 1771, 1065, 3748
18, 802, 1437, 973, 3223
19, 807, 1320, 799, 2529
20, 757, 1086, 789, 2015
21, 638, 1007, 700, 1805
22, 605, 903, 696, 1559
23, 562, 881, 618, 1295
24, 554, 680, 539, 1238
25, 471, 695, 536, 1135
26, 466, 603, 500, 919
27, 468, 534, 461, 837
28, 431, 518, 439, 750
29, 421, 446, 386, 716
30, 359, 444, 391, 712
31, 396, 419, 311, 668
32, 350, 404, 322, 582
33, 317, 364, 306, 582
34, 313, 324, 293, 559
35, 294, 313, 267, 444
36, 303, 258, 282, 482
37, 275, 304, 237, 432
38, 270, 254, 224, 453
39, 263, 260, 224, 421
40, 258, 259, 206, 370
41, 260, 251, 217, 407
42, 217, 232, 201, 335
43, 227, 212, 189, 307
44, 210, 185, 177, 325
45, 194, 199, 176, 305
46, 173, 180, 161, 330
47, 187, 163, 185, 259
48, 208, 176, 167, 277
49, 168, 160, 190, 261
50, 162, 164, 143, 249
51, 141, 180, 133, 239
52, 154, 132, 152, 217
53, 151, 154, 137, 230
54, 135, 132, 144, 240
55, 135, 126, 101, 189
56, 132, 127, 113, 206
57, 132, 143, 133, 190
58, 125, 114, 118, 189
59, 125, 135, 113, 196
60, 118, 121, 135, 171
61, 114, 117, 89, 176
62, 128, 105, 120, 143
63, 114, 101, 107, 171
64, 121, 109, 94, 156
65, 121, 87, 86, 166
66, 100, 99, 88, 151
67, 112, 99, 103, 132
68, 103, 97, 90, 126
69, 105, 114, 93, 136
70, 104, 79, 92, 133
71, 124, 85, 84, 125
72, 92, 85, 90, 128
73, 100, 105, 91, 127
74, 101, 94, 88, 124
75, 105, 100, 61, 106
76, 101, 81, 73, 94
77, 79, 91, 72, 104
78, 97, 82, 64, 109
79, 86, 73, 87, 112
80, 95, 95, 56, 108
81, 91, 89, 70, 92
82, 90, 75, 76, 101
83, 109, 77, 78, 101
84, 91, 77, 53, 107
85, 98, 102, 46, 76
86, 86, 83, 53, 95
87, 86, 110, 58, 98
88, 85, 88, 57, 90
89, 76, 77, 57, 90
90, 87, 81, 48, 75
91, 95, 60, 61, 89
92, 77, 82, 47, 73
93, 85, 81, 58, 83
94, 73, 73, 60, 67
95, 70, 82, 48, 91
96, 91, 71, 52, 82
97, 82, 46, 48, 73
98, 76, 62, 58, 66
99, 88, 51, 47, 73
100, 64, 59, 43, 80
101, 72, 51, 44, 68
102, 80, 63, 41, 74
103, 61, 77, 48, 77
104, 63, 73, 43, 58
105, 58, 61, 52, 71
106, 70, 48, 41, 87
107, 78, 52, 47, 64
108, 59, 54, 42, 67
109, 59, 66, 43, 68
110, 47, 39, 39, 72
111, 48, 56, 33, 69
112, 41, 55, 40, 53
113, 55, 52, 47, 63
114, 62, 44, 48, 59
115, 44, 38, 36, 60
116, 40, 45, 39, 49
117, 55, 40, 45, 70
118, 47, 62, 52, 64
119, 55, 35, 35, 55
120, 50, 52, 47, 58
121, 57, 31, 39, 52
122, 47, 49, 38, 44
123, 43, 29, 35, 42
124, 60, 34, 49, 46
125, 47, 29, 33, 76
126, 47, 29, 30, 51
127, 57, 42, 38, 56
128, 54, 25, 41, 44
129, 65, 32, 40, 56
130, 49, 41, 34, 51
131, 49, 33, 36, 47
132, 51, 25, 40, 44
133, 52, 35, 37, 34
134, 57, 33, 26, 40
135, 54, 44, 39, 37
136, 56, 29, 36, 43
137, 47, 26, 30, 40
138, 56, 32, 27, 43
139, 59, 25, 43, 43
140, 59, 34, 29, 35
141, 50, 21, 31, 48
142, 48, 35, 35, 38
143, 49, 28, 39, 40
144, 56, 29, 28, 45
145, 53, 27, 32, 35
146, 50, 26, 30, 38
147, 70, 26, 22, 41
148, 55, 27, 27, 32
149, 46, 20, 32, 40
150, 76, 21, 38, 29
151, 60, 24, 22, 37
152, 67, 32, 34, 37
153, 59, 32, 25, 40
154, 68, 31, 25, 48
155, 52, 29, 32, 38
156, 60, 35, 31, 56
157, 68, 24, 35, 37
158, 69, 18, 34, 33
159, 62, 35, 22, 53
160, 56, 31, 29, 53
161, 66, 25, 24, 41
162, 64, 26, 33, 36
163, 61, 20, 19, 48
164, 79, 26, 28, 52
165, 63, 17, 25, 31
166, 63, 22, 21, 31
167, 64, 25, 21, 24
168, 74, 26, 24, 43
169, 75, 17, 22, 37
170, 76, 22, 29, 52
171, 69, 22, 25, 28
172, 101, 21, 27, 38
173, 104, 23, 25, 42
174, 98, 18, 20, 40
175, 104, 21, 31, 38
176, 113, 23, 31, 26
177, 73, 27, 27, 47
178, 79, 27, 26, 46
179, 81, 22, 20, 39
180, 65, 19, 19, 58
181, 63, 16, 34, 43
182, 73, 22, 28, 47
183, 72, 20, 18, 36
184, 61, 19, 21, 48
185, 45, 37, 17, 35
186, 49, 24, 21, 38
187, 31, 21, 24, 52
188, 51, 26, 22, 39
189, 55, 15, 21, 51
190, 46, 24, 26, 43
191, 43, 24, 20, 33
192, 46, 23, 29, 33
193, 46, 16, 16, 47
194, 47, 23, 26, 37
195, 36, 19, 23, 38
196, 38, 24, 20, 39
197, 30, 24, 26, 49
198, 38, 21, 23, 39
199, 36, 18, 30, 22
200, 31, 24, 15, 47
201, 38, 36, 31, 49
202, 35, 22, 25, 36
203, 25, 23, 17, 40
204, 26, 28, 26, 42
205, 23, 21, 23, 48
206, 47, 23, 17, 34
207, 29, 26, 26, 48
208, 34, 19, 25, 32
209, 41, 27, 19, 45
210, 39, 25, 28, 41
211, 44, 17, 21, 44
212, 37, 21, 21, 32
213, 47, 23, 28, 27
214, 43, 28, 27, 54
215, 30, 20, 22, 15
216, 29, 12, 34, 30
217, 34, 22, 27, 35
218, 45, 32, 34, 38
219, 47, 18, 26, 43
220, 39, 26, 26, 34
221, 46, 31, 23, 44
222, 38, 26, 27, 44
223, 44, 25, 30, 41
224, 44, 24, 28, 35
225, 25, 21, 26, 40
226, 47, 23, 18, 31
227, 35, 22, 31, 24
228, 33, 24, 28, 20
229, 44, 30, 27, 26
230, 56, 25, 14, 28
231, 38, 24, 28, 39
232, 42, 31, 22, 36
233, 41, 25, 32, 34
234, 49, 26, 22, 22
235, 52, 14, 24, 17
236, 42, 25, 23, 30
237, 57, 33, 23, 25
238, 57, 30, 25, 37
239, 55, 33, 29, 48
240, 59, 21, 27, 40
241, 36, 33, 21, 15
242, 41, 23, 22, 27
243, 57, 29, 24, 33
244, 61, 32, 34, 25
245, 43, 23, 44, 23
246, 36, 36, 34, 26
247, 48, 25, 30, 41
248, 32, 21, 38, 26
249, 51, 29, 31, 23
250, 35, 23, 35, 25
251, 44, 19, 23, 24
252, 45, 22, 35, 20
253, 30, 18, 38, 19
254, 27, 34, 34, 35
255, 708, 3614, 3664, 1866
