Channel:,Lum, Red, Green, Blue
Means:,4.801565, 4.2996063, 3.5568275, 7.5483475
Note: Peaks measured from 20% upward
Peaks:,2392, 4638, 5580, 5849
PeaksLevels:,255, 255, 255, 255
0, 7499, 410738, 566356, 232687
1, 149584, 605923, 870789, 169386
2, 700776, 1149924, 1693546, 280947
3, 1569674, 1577381, 2086574, 467476
4, 2145599, 1590601, 1422852, 697594
5, 1863819, 1224976, 812278, 896048
6, 1070681, 771020, 363615, 972796
7, 453118, 428599, 204305, 1038209
8, 162859, 223748, 94791, 942532
9, 58767, 115288, 58301, 770716
10, 24921, 65505, 28726, 575755
11, 13462, 32498, 18746, 403425
12, 8661, 19375, 10130, 252876
13, 6281, 12393, 6856, 185575
14, 4862, 8223, 5418, 120710
15, 4013, 5886, 3565, 70171
16, 3362, 4333, 3342, 54020
17, 2923, 3494, 2462, 35897
18, 2404, 2721, 2271, 24659
19, 2106, 2340, 1883, 14683
20, 1922, 2031, 1813, 12751
21, 1743, 1851, 1492, 9408
22, 1493, 1709, 1513, 7029
23, 1305, 1440, 1240, 5444
24, 1159, 1305, 1255, 4178
25, 1014, 1148, 997, 2918
26, 1000, 991, 1010, 2889
27, 866, 975, 868, 2489
28, 768, 917, 833, 1967
29, 746, 838, 775, 1637
30, 681, 776, 772, 1574
31, 629, 691, 651, 1403
32, 569, 657, 680, 1221
33, 549, 595, 587, 1089
34, 534, 550, 629, 1099
35, 447, 529, 545, 910
36, 432, 502, 490, 906
37, 448, 496, 456, 819
38, 413, 491, 469, 782
39, 354, 442, 388, 643
40, 415, 451, 419, 656
41, 374, 400, 372, 656
42, 327, 367, 386, 594
43, 339, 364, 356, 556
44, 299, 326, 319, 499
45, 268, 313, 264, 537
46, 295, 330, 329, 487
47, 268, 294, 298, 457
48, 268, 281, 273, 391
49, 247, 258, 253, 404
50, 230, 265, 244, 382
51, 232, 293, 238, 380
52, 236, 251, 240, 305
53, 210, 252, 225, 293
54, 209, 214, 216, 280
55, 210, 225, 186, 292
56, 212, 218, 185, 289
57, 169, 199, 223, 288
58, 169, 188, 167, 232
59, 170, 196, 185, 257
60, 173, 173, 163, 258
61, 155, 187, 172, 244
62, 174, 157, 151, 207
