Channel:,Lum, Red, Green, Blue
Means:,0.9171018, 0.9472725, 0.76325506, 1.9733446
Note: Peaks measured from 20% upward
Peaks:,216, 860, 2035, 3362
PeaksLevels:,255, 255, 255, 255
0, 2527329, 2296213, 3936660, 299833
1, 5549878, 5372846, 4010453, 3071242
2, 156895, 547104, 284909, 3801445
3, 16838, 37626, 20711, 895774
4, 7638, 8986, 7296, 141799
5, 4494, 4547, 4492, 30001
6, 3061, 2950, 3179, 11094
7, 2501, 2024, 2347, 6359
8, 1784, 1539, 1866, 4102
9, 1301, 1278, 1355, 3019
10, 1070, 1096, 1195, 2390
11, 890, 879, 927, 1902
12, 745, 835, 792, 1629
13, 685, 688, 649, 1319
14, 568, 591, 609, 1151
15, 572, 527, 571, 1011
16, 462, 489, 510, 873
17, 437, 447, 466, 739
18, 411, 449, 441, 643
19, 387, 390, 416, 597
20, 368, 354, 410, 517
21, 347, 353, 331, 430
22, 343, 337, 320, 406
23, 317, 322, 294, 367
24, 291, 297, 325, 334
25, 291, 269, 271, 279
26, 273, 250, 264, 293
27, 264, 270, 253, 271
28, 229, 240, 239, 253
29, 218, 252, 228, 207
30, 227, 200, 213, 217
31, 181, 218, 202, 192
32, 173, 219, 195, 226
33, 177, 185, 179, 191
34, 188, 215, 197, 155
35, 175, 186, 201, 191
36, 165, 166, 163, 155
37, 153, 182, 170, 149
38, 166, 168, 151, 164
39, 166, 149, 137, 146
40, 146, 159, 133, 153
41, 140, 162, 118, 152
42, 128, 121, 124, 136
43, 120, 144, 124, 148
44, 130, 107, 123, 152
45, 105, 113, 100, 137
46, 135, 107, 106, 117
47, 114, 115, 111, 114
48, 120, 115, 111, 125
49, 124, 91, 112, 130
50, 110, 117, 78, 127
51, 111, 100, 111, 132
52, 102, 92, 103, 128
53, 117, 90, 106, 90
54, 98, 110, 96, 121
55, 98, 96, 77, 107
56, 76, 97, 96, 105
57, 94, 75, 89, 96
58, 94, 61, 106, 101
59, 97, 89, 75, 94
60, 92, 78, 81, 91
61, 92, 71, 69, 95
62, 78, 65, 75, 102
63, 96, 63, 73, 91
64, 79, 65, 62, 83
65, 84, 68, 85, 83
66, 83, 66, 69, 105
67, 80, 66, 66, 83
68, 80, 62, 78, 87
69, 75, 66, 64, 85
70, 81, 66, 57, 83
71, 81, 72, 64, 97
72, 81, 50, 56, 87
73, 68, 73, 58, 86
