Channel:,Lum, Red, Green, Blue
Means:,0.8709616, 1.0047431, 0.7140151, 1.8268615
Note: Peaks measured from 20% upward
Peaks:,515, 1849, 916, 685
PeaksLevels:,255, 255, 255, 255
0, 2766393, 2301843, 4102346, 291992
1, 5354813, 5406049, 3908112, 3341830
2, 111619, 498641, 223192, 3762905
3, 15527, 36687, 17313, 729329
4, 7154, 10480, 7237, 97890
5, 4294, 5532, 4546, 20958
6, 3018, 3767, 3137, 8722
7, 2362, 2678, 2296, 5222
8, 1797, 1985, 1846, 3522
9, 1512, 1539, 1455, 2684
10, 1334, 1293, 1312, 2205
11, 1145, 1200, 1173, 1747
12, 1014, 1003, 952, 1384
13, 894, 891, 808, 1224
14, 858, 789, 751, 1011
15, 784, 786, 664, 887
16, 672, 632, 631, 818
17, 663, 628, 594, 713
18, 619, 554, 545, 651
19, 547, 569, 503, 594
20, 552, 524, 461, 572
21, 470, 490, 426, 552
22, 428, 433, 439, 500
23, 424, 416, 405, 495
24, 377, 391, 368, 460
25, 384, 337, 337, 414
26, 401, 318, 331, 368
27, 377, 335, 337, 352
28, 339, 303, 286, 379
29, 305, 342, 239, 351
30, 289, 293, 261, 325
31, 256, 268, 234, 333
32, 269, 247, 236, 288
33, 270, 254, 234, 289
34, 282, 233, 194, 277
35, 249, 233, 214, 283
36, 262, 205, 175, 251
37, 256, 235, 176, 236
38, 248, 199, 179, 242
39, 232, 187, 153, 220
40, 208, 146, 149, 219
41, 197, 181, 148, 196
42, 197, 160, 163, 199
43, 189, 158, 148, 200
44, 165, 144, 164, 226
45, 164, 180, 146, 169
46, 163, 139, 133, 196
47, 151, 132, 134, 209
48, 145, 133, 129, 172
49, 153, 132, 141, 164
50, 152, 117, 146, 159
51, 155, 112, 131, 159
52, 128, 131, 111, 170
53, 138, 126, 101, 156
54, 107, 123, 107, 152
55, 127, 106, 95, 145
56, 128, 114, 93, 138
57, 105, 106, 98, 149
58, 105, 114, 104, 133
59, 135, 104, 75, 110
60, 112, 91, 83, 121
61, 118, 96, 87, 120
62, 108, 85, 74, 114
63, 122, 91, 84, 130
64, 102, 83, 56, 124
65, 95, 94, 75, 96
66, 90, 81, 74, 162
67, 92, 81, 68, 113
68, 93, 92, 74, 116
69, 82, 78, 61, 86
70, 83, 76, 69, 90
71, 90, 74, 62, 95
72, 81, 74, 61, 103
73, 92, 79, 58, 94
74, 80, 70, 46, 101
75, 82, 72, 62, 70
76, 71, 74, 51, 70
77, 70, 73, 44, 87
78, 70, 70, 51, 73
79, 64, 69, 59, 79
80, 61, 51, 59, 89
81, 55, 62, 63, 72
82, 47, 64, 53, 89
83, 67, 51, 49, 69
84, 55, 61, 51, 85
85, 59, 69, 54, 56
86, 67, 42, 43, 65
87, 48, 49, 41, 69
88, 59, 54, 52, 75
89, 52, 53, 54, 72
90, 47, 44, 52, 75
91, 49, 49, 42, 82
92, 71, 46, 38, 78
93, 46, 53, 45, 77
94, 58, 48, 33, 77
95, 53, 44, 50, 66
96, 47, 55, 49, 67
97, 43, 29, 52, 72
98, 42, 48, 50, 58
99, 53, 52, 35, 62
100, 46, 40, 30, 62
101, 52, 33, 31, 48
102, 49, 31, 38, 46
103, 53, 48, 34, 49
104, 55, 30, 36, 43
105, 50, 41, 32, 63
106, 50, 35, 31, 51
107, 49, 38, 36, 52
108, 43, 34, 28, 53
109, 51, 38, 23, 43
110, 43, 33, 33, 44
111, 53, 45, 33, 40
112, 36, 29, 31, 49
113, 41, 31, 32, 48
114, 44, 36, 36, 36
115, 44, 36, 23, 43
116, 37, 34, 25, 59
117, 38, 26, 34, 31
118, 43, 22, 37, 32
119, 37, 25, 30, 46
120, 38, 28, 31, 41
