Channel:,Lum, Red, Green, Blue
Means:,0.41656297, 0.6708888, 0.49804276, 1.2860619
Note: Peaks measured from 20% upward
Peaks:,721, 3028, 3602, 3599
PeaksLevels:,255, 255, 255, 255
0, 7481734, 5121060, 6756238, 1452997
1, 710293, 3053604, 1433554, 6039568
2, 29686, 49566, 33760, 685373
3, 11971, 15424, 13512, 39816
4, 6982, 7882, 7034, 14149
5, 5087, 5243, 4856, 7659
6, 4323, 3806, 3761, 5024
7, 3492, 3036, 3125, 3791
8, 2849, 2451, 2703, 3048
9, 2418, 1926, 2422, 2527
10, 1846, 1633, 1944, 2130
11, 1450, 1389, 1726, 1862
12, 1263, 1217, 1493, 1624
13, 1137, 1107, 1402, 1527
14, 1057, 1018, 1282, 1377
15, 926, 893, 1064, 1308
16, 868, 818, 977, 1165
17, 823, 797, 895, 1095
18, 727, 722, 700, 943
19, 657, 666, 641, 874
20, 678, 622, 546, 772
21, 617, 565, 526, 685
22, 586, 551, 461, 624
23, 528, 512, 447, 582
24, 488, 435, 397, 580
25, 484, 474, 396, 478
26, 490, 363, 362, 490
27, 426, 343, 378, 439
28, 366, 331, 345, 406
29, 341, 303, 344, 436
30, 360, 311, 318, 374
31, 347, 281, 305, 368
32, 284, 255, 282, 386
33, 270, 246, 245, 328
34, 300, 238, 262, 304
35, 248, 237, 243, 343
36, 266, 220, 267, 301
37, 276, 236, 236, 282
38, 235, 187, 211, 265
39, 239, 175, 246, 284
40, 252, 192, 213, 275
41, 199, 204, 190, 273
42, 190, 168, 162, 260
43, 233, 172, 172, 212
44, 217, 143, 167, 215
45, 199, 152, 175, 201
46, 200, 154, 171, 210
47, 190, 142, 154, 196
48, 186, 152, 156, 186
49, 179, 136, 152, 192
50, 197, 131, 125, 187
51, 177, 146, 137, 160
52, 165, 121, 124, 173
53, 174, 148, 143, 178
54, 161, 113, 138, 150
55, 169, 121, 146, 169
56, 148, 102, 118, 169
57, 109, 117, 111, 141
58, 144, 116, 138, 157
59, 124, 111, 104, 135
60, 131, 113, 111, 127
61, 134, 93, 109, 154
62, 121, 98, 108, 148
63, 119, 99, 108, 146
64, 115, 88, 128, 139
65, 130, 85, 100, 130
66, 98, 92, 113, 122
67, 118, 83, 99, 144
68, 92, 82, 98, 131
69, 104, 86, 112, 111
70, 102, 82, 102, 111
71, 100, 66, 100, 133
72, 104, 79, 85, 113
73, 95, 80, 67, 119
74, 93, 92, 92, 92
75, 91, 56, 85, 90
76, 86, 59, 95, 97
77, 92, 84, 97, 81
78, 89, 56, 89, 107
79, 94, 67, 72, 88
80, 83, 78, 88, 108
81, 97, 62, 74, 91
82, 88, 67, 64, 72
83, 91, 62, 86, 84
84, 74, 70, 70, 89
85, 97, 56, 59, 75
86, 89, 58, 71, 83
87, 92, 63, 76, 72
88, 88, 57, 55, 83
89, 83, 59, 61, 91
90, 69, 44, 59, 67
91, 79, 63, 64, 66
92, 77, 55, 67, 90
93, 88, 45, 48, 70
94, 82, 59, 70, 62
95, 88, 53, 68, 62
96, 97, 46, 45, 68
97, 93, 59, 53, 55
98, 109, 50, 63, 54
99, 113, 55, 53, 62
100, 115, 43, 52, 71
101, 105, 61, 35, 58
102, 97, 43, 52, 76
103, 95, 41, 53, 57
104, 110, 52, 56, 72
105, 111, 34, 45, 67
106, 96, 55, 45, 72
107, 93, 29, 45, 60
108, 86, 48, 55, 57
109, 102, 51, 36, 49
110, 110, 44, 51, 60
111, 78, 31, 42, 49
112, 94, 46, 52, 67
113, 74, 45, 53, 61
114, 90, 50, 29, 43
115, 83, 52, 35, 60
116, 94, 32, 44, 50
117, 77, 34, 40, 48
118, 70, 38, 38, 53
119, 78, 38, 47, 42
120, 84, 37, 53, 64
121, 88, 36, 44, 55
122, 85, 54, 30, 43
123, 72, 35, 32, 44
124, 78, 34, 35, 57
125, 52, 39, 32, 52
126, 59, 38, 35, 55
127, 65, 46, 50, 56
128, 48, 38, 40, 46
129, 71, 29, 32, 60
130, 45, 35, 32, 52
131, 49, 28, 46, 47
132, 56, 34, 43, 50
133, 49, 35, 37, 40
134, 50, 41, 22, 51
135, 47, 16, 37, 45
136, 53, 33, 29, 37
137, 51, 41, 47, 48
138, 50, 26, 45, 45
139, 47, 36, 34, 47
140, 48, 44, 21, 43
141, 58, 28, 29, 46
142, 37, 32, 26, 44
143, 46, 37, 36, 40
144, 48, 43, 29, 41
145, 57, 37, 38, 41
146, 46, 39, 33, 44
147, 45, 28, 29, 38
148, 38, 33, 35, 48
149, 52, 24, 29, 32
150, 48, 27, 13, 30
151, 36, 29, 29, 48
152, 45, 30, 36, 44
153, 50, 36, 27, 40
154, 46, 22, 37, 39
155, 35, 25, 26, 37
156, 54, 28, 26, 32
157, 34, 29, 27, 47
158, 54, 27, 27, 44
