Channel:,Lum, Red, Green, Blue
Means:,0.7016782, 0.86063755, 0.5614546, 1.6370517
Note: Peaks measured from 20% upward
Peaks:,118, 153, 152, 287
PeaksLevels:,255, 255, 255, 255
0, 3195808, 2139166, 4400943, 467851
1, 4987613, 5587671, 3686783, 3821411
2, 76258, 513008, 169955, 3307662
3, 9224, 26311, 10705, 579381
4, 3849, 6877, 4372, 73053
5, 2116, 3661, 2688, 14972
6, 1429, 2523, 1971, 5991
7, 1181, 1815, 1480, 3543
8, 994, 1344, 1180, 2557
9, 805, 1018, 997, 1845
10, 731, 897, 834, 1573
11, 701, 787, 704, 1249
12, 662, 681, 672, 918
13, 568, 645, 707, 827
14, 554, 585, 627, 644
15, 521, 587, 525, 543
16, 458, 454, 450, 425
17, 431, 413, 392, 381
18, 431, 343, 385, 355
19, 365, 317, 357, 337
20, 379, 272, 325, 289
21, 322, 262, 289, 247
22, 290, 233, 269, 231
23, 262, 201, 285, 235
24, 251, 212, 236, 178
25, 240, 188, 220, 152
26, 265, 146, 209, 175
27, 261, 159, 177, 142
28, 216, 133, 160, 147
29, 198, 147, 166, 126
30, 194, 131, 146, 137
31, 238, 106, 135, 105
32, 183, 118, 140, 129
33, 195, 103, 124, 117
34, 215, 112, 112, 97
35, 210, 98, 99, 93
36, 157, 108, 98, 81
37, 191, 97, 97, 90
38, 214, 86, 100, 90
39, 161, 86, 89, 95
40, 144, 65, 92, 74
41, 139, 82, 70, 79
42, 147, 76, 62, 90
43, 153, 61, 65, 81
44, 147, 68, 85, 63
45, 116, 64, 79, 59
46, 111, 61, 68, 64
47, 110, 74, 81, 60
48, 79, 78, 60, 54
49, 94, 72, 73, 59
50, 86, 35, 70, 57
51, 96, 63, 75, 66
52, 87, 42, 77, 52
53, 79, 49, 60, 53
54, 69, 52, 61, 53
55, 75, 63, 54, 41
56, 73, 51, 55, 48
57, 69, 52, 59, 40
58, 70, 43, 54, 47
59, 57, 53, 62, 47
60, 65, 43, 54, 38
61, 75, 50, 48, 53
62, 65, 51, 49, 40
63, 65, 37, 52, 56
64, 69, 36, 43, 47
65, 73, 32, 47, 44
66, 54, 37, 51, 35
67, 59, 38, 51, 41
68, 62, 41, 62, 35
69, 52, 48, 36, 44
70, 60, 25, 54, 41
71, 69, 23, 46, 40
72, 78, 32, 48, 35
73, 77, 21, 48, 39
74, 83, 20, 69, 36
75, 78, 21, 52, 39
76, 97, 12, 61, 22
77, 78, 8, 52, 30
78, 86, 13, 62, 34
79, 89, 5, 56, 27
80, 91, 13, 45, 23
81, 95, 9, 55, 38
82, 71, 6, 33, 29
83, 78, 7, 40, 28
84, 65, 2, 38, 41
85, 63, 3, 55, 35
86, 50, 3, 54, 25
87, 62, 2, 36, 31
88, 66, 7, 53, 22
89, 62, 7, 48, 31
90, 54, 4, 45, 32
91, 57, 1, 52, 25
92, 50, 5, 44, 31
93, 54, 2, 62, 31
94, 50, 1, 52, 24
95, 61, 1, 55, 29
96, 44, 4, 32, 30
97, 27, 2, 43, 31
98, 18, 3, 47, 33
99, 31, 0, 40, 21
100, 22, 0, 30, 25
101, 10, 2, 39, 37
102, 14, 4, 50, 29
103, 6, 1, 30, 30
104, 9, 5, 34, 29
105, 8, 5, 27, 31
106, 9, 1, 23, 27
107, 6, 1, 34, 30
108, 4, 2, 25, 22
109, 5, 0, 23, 28
110, 4, 3, 24, 27
111, 5, 2, 19, 25
112, 1, 3, 20, 23
113, 3, 1, 14, 25
114, 0, 1, 12, 21
115, 4, 1, 16, 25
116, 4, 3, 16, 21
117, 2, 1, 8, 20
118, 0, 3, 14, 36
119, 2, 1, 13, 29
120, 3, 0, 8, 23
121, 3, 2, 6, 21
122, 2, 5, 8, 28
123, 0, 1, 8, 27
124, 2, 2, 6, 20
125, 1, 1, 6, 20
126, 2, 1, 3, 22
127, 1, 1, 3, 21
128, 1, 1, 8, 22
129, 2, 3, 4, 12
130, 2, 0, 6, 22
131, 1, 1, 2, 20
132, 4, 3, 2, 24
133, 3, 0, 3, 17
134, 1, 1, 1, 26
135, 0, 2, 2, 20
136, 4, 1, 4, 20
137, 1, 2, 0, 21
138, 1, 1, 4, 23
139, 1, 4, 0, 17
140, 2, 2, 2, 21
141, 1, 3, 1, 21
142, 1, 2, 3, 23
143, 0, 1, 2, 26
144, 1, 0, 2, 31
145, 3, 1, 1, 18
146, 1, 0, 3, 20
147, 3, 1, 0, 22
148, 4, 1, 1, 28
149, 2, 2, 1, 18
150, 1, 2, 0, 17
151, 0, 1, 0, 26
152, 2, 3, 1, 13
153, 2, 2, 1, 13
154, 1, 1, 1, 21
155, 0, 1, 2, 17
156, 0, 4, 3, 20
157, 2, 1, 1, 19
158, 1, 3, 0, 19
159, 2, 1, 1, 10
160, 1, 3, 1, 9
161, 0, 1, 3, 16
162, 1, 0, 0, 17
163, 0, 0, 1, 13
164, 2, 0, 2, 19
165, 2, 1, 1, 18
166, 0, 7, 1, 20
167, 0, 2, 2, 15
168, 1, 2, 0, 26
169, 3, 3, 1, 13
170, 1, 2, 0, 12
171, 2, 1, 2, 20
172, 1, 0, 3, 15
173, 1, 2, 0, 16
174, 1, 1, 0, 22
175, 1, 1, 1, 11
176, 2, 2, 2, 14
177, 0, 2, 0, 25
178, 2, 2, 1, 11
179, 1, 1, 0, 19
180, 0, 1, 1, 22
181, 4, 1, 4, 18
182, 1, 1, 1, 23
183, 0, 0, 0, 11
184, 1, 1, 3, 25
185, 2, 1, 1, 22
186, 0, 3, 2, 20
187, 1, 1, 3, 22
188, 2, 0, 0, 19
189, 1, 4, 0, 25
190, 0, 0, 1, 22
191, 1, 0, 0, 31
192, 4, 1, 1, 17
193, 0, 2, 0, 17
194, 1, 2, 4, 24
195, 0, 0, 0, 25
196, 3, 1, 0, 19
197, 0, 2, 1, 22
198, 1, 4, 1, 22
199, 0, 1, 1, 26
200, 2, 1, 1, 22
201, 0, 1, 0, 17
202, 1, 2, 0, 14
203, 2, 3, 0, 20
204, 1, 1, 1, 18
205, 4, 1, 2, 22
206, 1, 1, 1, 21
207, 1, 2, 4, 27
208, 3, 0, 3, 24
209, 2, 0, 2, 18
210, 0, 0, 0, 13
211, 0, 2, 2, 23
212, 0, 2, 3, 20
213, 3, 1, 0, 17
214, 2, 0, 0, 26
215, 3, 2, 0, 14
216, 2, 2, 2, 21
217, 1, 4, 2, 25
218, 1, 2, 2, 16
219, 4, 2, 0, 20
220, 0, 4, 1, 19
221, 1, 0, 1, 23
222, 0, 1, 1, 21
223, 2, 1, 1, 11
224, 1, 3, 4, 20
225, 0, 2, 0, 14
226, 3, 2, 0, 15
227, 1, 3, 1, 21
228, 1, 1, 1, 11
229, 1, 6, 0, 7
230, 5, 0, 0, 24
231, 0, 3, 1, 20
232, 1, 0, 1, 18
233, 6, 0, 2, 14
234, 4, 1, 1, 21
235, 2, 3, 5, 21
236, 3, 7, 2, 12
237, 3, 3, 3, 16
238, 1, 3, 1, 24
239, 3, 2, 1, 20
240, 1, 2, 1, 24
241, 1, 1, 2, 16
242, 5, 2, 2, 13
243, 1, 1, 3, 18
244, 6, 0, 2, 12
245, 7, 2, 2, 12
246, 3, 7, 2, 15
247, 2, 3, 0, 16
248, 8, 0, 2, 9
249, 6, 0, 2, 10
250, 3, 4, 6, 10
251, 7, 2, 4, 10
252, 2, 1, 3, 9
253, 5, 3, 0, 15
254, 3, 2, 4, 15
255, 118, 153, 152, 287
