Channel:,Lum, Red, Green, Blue
Means:,1.7037036, 1.6084136, 1.4034705, 3.1094136
Note: Peaks measured from 20% upward
Peaks:,708, 2534, 4152, 6254
PeaksLevels:,255, 255, 255, 255
0, 449935, 1001813, 1709428, 230361
1, 4917944, 4317438, 4945517, 1059523
2, 2662665, 2406453, 1321031, 2682358
3, 177189, 427450, 216975, 2591095
4, 21913, 71588, 36482, 1145242
5, 8972, 17360, 10231, 356662
6, 5305, 7219, 5332, 109184
7, 3827, 4492, 3608, 38198
8, 2952, 3210, 2739, 15799
9, 2258, 2452, 2264, 8190
10, 1660, 1910, 1860, 5263
11, 1308, 1629, 1625, 3581
12, 1037, 1513, 1450, 2920
13, 929, 1300, 1300, 2315
14, 838, 1179, 1215, 1950
15, 730, 1021, 1050, 1671
16, 665, 986, 874, 1412
17, 625, 858, 839, 1208
18, 618, 854, 713, 1089
19, 543, 686, 701, 992
20, 526, 665, 634, 816
21, 500, 641, 624, 843
22, 441, 540, 550, 725
23, 429, 559, 530, 633
24, 443, 508, 509, 582
25, 456, 439, 487, 619
26, 414, 399, 473, 532
27, 388, 401, 467, 543
28, 385, 406, 443, 486
29, 354, 338, 396, 430
30, 353, 356, 418, 402
31, 348, 355, 347, 447
32, 319, 322, 345, 412
33, 315, 314, 356, 376
34, 336, 312, 332, 364
35, 321, 300, 296, 324
36, 309, 294, 310, 340
37, 279, 253, 306, 356
38, 307, 260, 270, 325
39, 257, 266, 277, 308
40, 259, 246, 267, 294
41, 238, 231, 255, 296
42, 230, 198, 225, 293
43, 240, 220, 254, 295
44, 237, 205, 222, 302
45, 220, 179, 219, 260
46, 219, 195, 257, 277
47, 223, 183, 221, 308
48, 215, 186, 233, 247
49, 205, 176, 223, 307
50, 216, 187, 230, 307
51, 220, 162, 234, 282
52, 196, 171, 210, 291
53, 196, 166, 192, 277
54, 195, 168, 194, 214
55, 208, 139, 185, 251
56, 189, 140, 209, 251
57, 201, 152, 180, 264
58, 170, 175, 205, 282
59, 208, 151, 195, 234
60, 171, 150, 187, 249
61, 162, 147, 193, 234
62, 156, 149, 183, 223
63, 187, 124, 192, 240
64, 179, 115, 181, 246
65, 158, 115, 189, 220
66, 145, 128, 179, 220
67, 197, 115, 185, 221
68, 151, 99, 175, 218
69, 166, 94, 159, 203
70, 141, 110, 198, 218
71, 144, 94, 172, 213
72, 154, 107, 185, 184
73, 158, 101, 180, 195
74, 164, 99, 159, 194
75, 154, 80, 167, 174
76, 138, 82, 147, 180
77, 150, 80, 157, 177
78, 165, 76, 165, 151
79, 146, 80, 163, 155
80, 148, 66, 186, 191
81, 161, 83, 148, 142
82, 117, 63, 147, 165
83, 163, 55, 157, 149
84, 124, 71, 155, 154
85, 153, 57, 147, 152
86, 142, 50, 159, 161
87, 137, 59, 177, 135
88, 142, 41, 124, 122
89, 140, 46, 151, 138
90, 145, 48, 142, 139
91, 151, 56, 116, 118
92, 128, 59, 146, 127
93, 147, 47, 134, 124
94, 177, 55, 114, 114
95, 195, 58, 121, 113
96, 207, 44, 137, 98
97, 223, 41, 114, 104
98, 232, 52, 108, 72
99, 219, 44, 131, 128
100, 247, 54, 95, 84
101, 223, 52, 116, 104
102, 259, 41, 86, 78
103, 243, 37, 113, 99
104, 236, 34, 93, 66
105, 228, 37, 98, 83
106, 221, 35, 91, 96
107, 204, 41, 91, 74
108, 197, 42, 104, 79
109, 231, 45, 70, 77
110, 227, 56, 69, 67
111, 213, 50, 86, 76
112, 227, 37, 80, 71
113, 220, 49, 76, 55
114, 246, 41, 63, 68
115, 229, 46, 56, 69
116, 196, 49, 76, 56
117, 239, 38, 65, 56
118, 207, 43, 83, 60
119, 180, 27, 60, 63
120, 184, 34, 62, 58
121, 198, 49, 63, 68
122, 183, 40, 49, 53
123, 153, 32, 76, 71
124, 175, 33, 48, 50
125, 152, 41, 55, 62
126, 163, 42, 49, 55
127, 133, 39, 37, 71
128, 157, 32, 38, 68
129, 135, 43, 51, 55
130, 128, 36, 46, 55
131, 164, 45, 65, 64
132, 158, 47, 45, 43
133, 148, 45, 35, 48
134, 173, 34, 52, 45
135, 206, 43, 32, 51
136, 209, 43, 44, 48
137, 199, 32, 40, 61
138, 208, 42, 38, 46
139, 226, 33, 43, 45
140, 212, 31, 45, 53
141, 178, 36, 31, 53
142, 162, 39, 35, 46
143, 181, 34, 28, 52
144, 124, 40, 37, 52
145, 147, 35, 27, 53
146, 146, 35, 26, 41
147, 134, 51, 27, 53
148, 103, 28, 36, 50
149, 98, 38, 36, 42
150, 127, 40, 39, 41
151, 81, 30, 27, 47
152, 81, 32, 38, 39
153, 73, 33, 31, 37
154, 85, 30, 43, 62
155, 67, 44, 45, 46
156, 92, 42, 35, 45
157, 69, 28, 34, 49
158, 65, 48, 30, 46
159, 69, 35, 29, 27
160, 65, 45, 22, 36
161, 51, 35, 36, 37
162, 56, 35, 25, 41
163, 67, 36, 26, 40
164, 68, 31, 30, 41
165, 64, 42, 23, 33
166, 63, 40, 28, 48
167, 63, 40, 33, 29
168, 67, 38, 27, 35
169, 84, 41, 27, 34
170, 64, 40, 31, 51
171, 76, 56, 18, 38
172, 57, 37, 22, 40
173, 54, 40, 33, 36
174, 89, 31, 27, 42
175, 123, 31, 29, 36
176, 172, 33, 29, 41
177, 222, 45, 42, 37
178, 251, 36, 30, 31
179, 219, 37, 30, 42
180, 184, 50, 22, 38
181, 156, 32, 22, 39
182, 98, 33, 24, 40
183, 125, 54, 23, 34
184, 82, 51, 17, 33
185, 74, 33, 22, 51
186, 58, 36, 26, 27
187, 44, 30, 28, 42
188, 45, 28, 28, 41
189, 38, 45, 40, 33
190, 33, 39, 28, 42
191, 24, 30, 21, 30
192, 34, 40, 28, 20
193, 20, 27, 27, 26
194, 21, 38, 37, 38
195, 21, 29, 24, 40
196, 19, 36, 21, 35
197, 12, 34, 32, 37
198, 18, 26, 22, 25
199, 14, 40, 20, 46
200, 19, 45, 20, 37
201, 14, 37, 28, 45
202, 11, 32, 20, 34
203, 8, 26, 22, 43
