Channel:,Lum, Red, Green, Blue
Means:,0.85067505, 0.98317516, 0.76538545, 1.7770948
Note: Peaks measured from 20% upward
Peaks:,600, 747, 1773, 4828
PeaksLevels:,255, 255, 255, 255
0, 3500360, 2198239, 4399031, 352435
1, 4665036, 5674155, 3671671, 4350400
2, 63256, 351860, 157755, 3058474
3, 15442, 21184, 15667, 409079
4, 6604, 7232, 7949, 54804
5, 3836, 4093, 4444, 14973
6, 2604, 2831, 2910, 7957
7, 2008, 2159, 1993, 5484
8, 1627, 1792, 1543, 3931
9, 1359, 1534, 1255, 2782
10, 1163, 1328, 1041, 2278
11, 959, 1228, 938, 1732
12, 881, 1139, 858, 1392
13, 758, 1006, 802, 1132
14, 681, 928, 726, 1010
15, 712, 886, 655, 877
16, 632, 784, 625, 773
17, 566, 639, 553, 650
18, 550, 595, 503, 657
19, 469, 570, 523, 652
20, 431, 510, 457, 592
21, 444, 483, 505, 618
22, 436, 531, 496, 513
23, 400, 474, 471, 516
24, 397, 459, 430, 498
25, 396, 432, 394, 467
26, 361, 407, 417, 480
27, 384, 384, 435, 413
28, 368, 392, 362, 440
29, 362, 382, 345, 460
30, 333, 348, 325, 418
31, 337, 352, 330, 418
32, 299, 384, 352, 383
33, 313, 329, 378, 386
34, 263, 324, 328, 347
35, 297, 369, 342, 386
36, 288, 355, 322, 363
37, 289, 333, 327, 332
38, 272, 315, 258, 295
39, 280, 345, 278, 272
40, 237, 327, 326, 267
41, 229, 293, 306, 239
42, 253, 312, 294, 203
43, 239, 259, 290, 190
44, 237, 263, 286, 191
45, 212, 245, 274, 180
46, 230, 238, 270, 157
47, 207, 222, 235, 138
48, 193, 205, 261, 130
49, 231, 196, 229, 132
50, 191, 178, 181, 120
51, 189, 164, 192, 120
52, 209, 161, 182, 142
53, 205, 161, 186, 146
54, 177, 164, 172, 119
55, 173, 179, 155, 112
56, 244, 146, 159, 123
57, 182, 117, 165, 121
58, 195, 163, 180, 124
59, 184, 141, 181, 102
60, 153, 144, 153, 104
61, 171, 142, 140, 98
62, 107, 129, 139, 117
63, 143, 135, 143, 125
64, 136, 121, 165, 96
65, 157, 121, 147, 89
66, 144, 122, 123, 89
67, 151, 112, 122, 102
68, 153, 116, 109, 109
69, 148, 114, 130, 77
70, 155, 116, 114, 88
71, 140, 100, 93, 93
72, 134, 90, 92, 55
73, 117, 103, 103, 83
74, 137, 88, 87, 53
75, 117, 90, 82, 60
76, 115, 79, 100, 64
77, 110, 79, 90, 61
78, 120, 79, 80, 62
79, 97, 78, 90, 67
80, 111, 89, 78, 79
81, 116, 68, 72, 68
82, 116, 77, 79, 54
83, 117, 68, 81, 66
84, 116, 82, 68, 60
85, 128, 85, 74, 53
86, 123, 73, 62, 69
87, 131, 71, 77, 55
88, 108, 64, 71, 49
89, 104, 75, 63, 46
90, 126, 57, 66, 50
91, 119, 63, 52, 45
92, 130, 48, 53, 61
93, 124, 57, 68, 41
94, 123, 69, 65, 46
95, 127, 47, 54, 48
96, 135, 56, 49, 33
97, 173, 51, 65, 33
98, 153, 57, 68, 34
99, 156, 58, 68, 47
100, 158, 68, 51, 35
101, 176, 53, 69, 44
102, 194, 51, 57, 47
103, 162, 45, 65, 43
104, 211, 42, 49, 47
105, 190, 49, 58, 41
106, 222, 47, 58, 45
107, 235, 40, 47, 41
108, 240, 42, 49, 33
109, 222, 40, 48, 28
110, 231, 34, 42, 21
111, 216, 48, 41, 39
112, 185, 58, 50, 35
113, 147, 45, 48, 40
114, 141, 55, 42, 28
115, 141, 42, 42, 44
116, 124, 49, 33, 34
117, 128, 32, 40, 32
118, 116, 43, 38, 26
119, 95, 42, 32, 25
120, 122, 45, 39, 32
121, 103, 36, 40, 27
122, 120, 35, 35, 36
123, 116, 39, 52, 31
124, 101, 46, 40, 32
125, 103, 40, 49, 37
126, 95, 45, 42, 24
127, 111, 53, 23, 30
128, 90, 39, 44, 35
129, 84, 42, 36, 37
130, 99, 53, 48, 25
131, 86, 39, 30, 28
132, 84, 27, 43, 33
133, 76, 45, 41, 28
134, 79, 54, 31, 25
135, 69, 44, 43, 25
136, 72, 46, 33, 30
137, 71, 43, 30, 19
138, 73, 32, 29, 20
139, 73, 48, 29, 27
140, 66, 33, 35, 31
141, 64, 40, 35, 27
142, 66, 29, 33, 28
143, 76, 41, 38, 21
144, 74, 34, 37, 25
145, 57, 25, 33, 15
146, 53, 39, 33, 22
147, 58, 28, 37, 19
148, 55, 30, 31, 25
149, 52, 28, 37, 24
150, 44, 28, 44, 25
151, 37, 39, 32, 21
152, 39, 34, 29, 18
153, 35, 22, 45, 23
154, 29, 30, 33, 23
155, 31, 34, 36, 17
156, 31, 20, 38, 19
157, 41, 43, 27, 26
158, 36, 31, 29, 18
159, 33, 25, 38, 19
160, 38, 40, 38, 31
161, 33, 29, 45, 22
162, 48, 28, 29, 21
163, 58, 31, 37, 25
164, 63, 24, 32, 22
165, 49, 39, 27, 18
166, 54, 33, 29, 11
167, 56, 32, 43, 21
168, 46, 32, 32, 19
169, 49, 27, 29, 18
170, 54, 32, 32, 23
171, 42, 32, 38, 21
172, 49, 28, 36, 13
173, 52, 40, 38, 22
174, 96, 41, 22, 20
175, 141, 32, 26, 19
176, 129, 25, 38, 24
177, 113, 28, 31, 26
178, 93, 25, 30, 13
179, 23, 27, 20, 17
180, 12, 25, 39, 16
181, 2, 24, 32, 19
182, 5, 25, 33, 13
183, 3, 22, 33, 20
184, 4, 16, 30, 12
185, 5, 32, 33, 17
186, 3, 20, 36, 22
187, 5, 19, 31, 18
188, 1, 32, 29, 20
189, 1, 21, 24, 9
190, 2, 17, 31, 21
191, 1, 23, 28, 13
192, 1, 13, 28, 17
193, 0, 18, 23, 14
194, 1, 15, 23, 28
195, 2, 23, 27, 15
196, 2, 23, 23, 20
197, 3, 24, 23, 14
198, 1, 18, 23, 24
199, 1, 20, 32, 17
200, 2, 14, 42, 14
201, 3, 25, 17, 16
202, 3, 22, 29, 16
203, 2, 16, 32, 25
204, 1, 14, 21, 15
205, 2, 23, 32, 25
206, 2, 20, 30, 20
207, 1, 10, 26, 13
208, 6, 19, 36, 20
