Channel:,Lum, Red, Green, Blue
Means:,3.1255631, 2.8914108, 2.402548, 4.9505644
Note: Peaks measured from 20% upward
Peaks:,554, 3028, 3268, 2358
PeaksLevels:,255, 255, 255, 255
0, 0, 942, 2187, 704
1, 1251, 20701, 281166, 653
2, 1440833, 3293966, 6667717, 7351
3, 6570523, 4584513, 1218940, 219138
4, 210360, 318285, 65779, 3374436
5, 17177, 27794, 11703, 3788780
6, 7758, 8953, 6448, 725780
7, 5174, 4952, 4463, 103440
8, 4069, 3211, 3183, 20834
9, 3234, 2368, 2547, 8074
10, 2407, 1903, 2022, 4929
11, 1817, 1511, 1833, 3352
12, 1379, 1262, 1481, 2611
13, 1250, 1096, 1287, 2159
14, 1075, 968, 1089, 1846
15, 984, 960, 884, 1523
16, 848, 797, 799, 1322
17, 795, 667, 762, 1268
18, 722, 672, 647, 999
19, 653, 603, 587, 896
20, 563, 520, 547, 759
21, 583, 503, 471, 717
22, 539, 447, 426, 605
23, 479, 429, 413, 539
24, 481, 383, 415, 542
25, 407, 388, 377, 465
26, 407, 345, 352, 453
27, 381, 316, 312, 386
28, 373, 318, 278, 387
29, 360, 297, 277, 377
30, 348, 285, 295, 371
31, 299, 286, 281, 361
32, 319, 243, 236, 308
33, 297, 250, 217, 315
34, 297, 216, 243, 307
35, 243, 222, 219, 249
36, 274, 207, 206, 280
37, 247, 203, 195, 281
38, 221, 186, 203, 265
39, 223, 183, 194, 248
40, 221, 193, 180, 241
41, 197, 161, 192, 248
42, 206, 144, 147, 222
43, 180, 152, 171, 229
44, 173, 149, 149, 229
45, 166, 131, 153, 218
46, 140, 137, 152, 215
47, 142, 150, 138, 181
48, 171, 116, 137, 181
49, 146, 112, 138, 186
50, 156, 112, 138, 188
51, 139, 120, 115, 188
52, 145, 107, 114, 179
53, 128, 103, 117, 161
54, 109, 113, 125, 166
55, 124, 107, 100, 144
56, 121, 99, 117, 137
57, 109, 104, 96, 150
58, 121, 102, 84, 149
59, 104, 90, 93, 115
60, 108, 86, 82, 144
61, 106, 84, 87, 144
62, 111, 89, 87, 127
63, 112, 92, 76, 138
64, 112, 86, 75, 123
65, 106, 70, 93, 117
66, 114, 67, 71, 112
67, 108, 87, 80, 114
68, 81, 86, 78, 117
69, 88, 73, 64, 122
70, 95, 82, 93, 102
71, 100, 65, 76, 106
72, 90, 75, 81, 109
73, 83, 59, 64, 111
74, 95, 71, 69, 84
75, 91, 76, 60, 87
76, 83, 75, 64, 90
77, 95, 59, 61, 98
78, 76, 57, 74, 84
79, 70, 72, 52, 78
80, 78, 45, 49, 89
81, 83, 61, 73, 82
82, 73, 59, 65, 76
83, 75, 52, 50, 91
84, 87, 54, 63, 79
85, 80, 46, 43, 94
86, 65, 57, 62, 82
87, 70, 53, 62, 76
88, 62, 47, 48, 83
89, 62, 45, 59, 71
90, 74, 49, 60, 90
91, 73, 53, 58, 67
92, 68, 50, 63, 70
93, 68, 48, 41, 61
94, 62, 52, 39, 85
95, 68, 46, 44, 66
96, 74, 45, 39, 69
97, 75, 40, 32, 56
98, 68, 37, 51, 62
99, 85, 42, 46, 78
100, 75, 44, 52, 71
101, 98, 41, 42, 73
102, 84, 37, 58, 61
103, 98, 37, 47, 66
104, 95, 42, 32, 59
105, 109, 35, 33, 62
106, 92, 36, 50, 48
107, 85, 39, 38, 52
108, 59, 39, 36, 57
109, 67, 37, 33, 60
110, 73, 42, 28, 61
111, 69, 32, 38, 42
112, 57, 48, 29, 57
113, 61, 37, 38, 51
114, 66, 37, 35, 52
115, 70, 41, 46, 56
116, 51, 33, 40, 59
117, 79, 39, 32, 50
118, 53, 34, 40, 40
119, 48, 38, 40, 54
120, 46, 44, 36, 43
121, 76, 29, 33, 60
122, 57, 35, 32, 53
123, 38, 40, 43, 41
124, 44, 41, 29, 44
125, 50, 39, 27, 50
126, 49, 44, 27, 43
127, 38, 27, 37, 42
128, 36, 28, 29, 55
129, 40, 25, 26, 40
130, 35, 27, 30, 34
131, 44, 36, 24, 49
132, 45, 41, 34, 43
133, 44, 31, 28, 48
134, 40, 37, 21, 46
135, 39, 31, 27, 52
136, 55, 30, 30, 40
137, 32, 33, 22, 39
138, 32, 34, 24, 43
139, 47, 34, 22, 44
140, 46, 32, 24, 36
141, 46, 46, 41, 35
142, 38, 34, 25, 44
143, 51, 27, 25, 38
144, 38, 28, 26, 51
145, 43, 28, 27, 45
146, 35, 32, 23, 33
147, 39, 33, 20, 57
148, 44, 26, 27, 39
149, 45, 24, 24, 39
150, 43, 34, 25, 54
151, 31, 23, 23, 39
152, 29, 26, 22, 45
153, 44, 31, 36, 47
154, 48, 26, 35, 38
155, 37, 28, 29, 59
156, 36, 26, 19, 35
157, 34, 23, 22, 36
158, 41, 23, 23, 48
159, 42, 30, 29, 38
160, 39, 22, 24, 45
161, 40, 20, 20, 42
162, 41, 18, 28, 57
163, 39, 20, 17, 26
164, 37, 15, 21, 34
165, 35, 18, 28, 44
166, 43, 26, 20, 35
167, 43, 29, 17, 51
168, 33, 24, 18, 49
169, 48, 15, 22, 40
170, 40, 20, 23, 39
171, 48, 11, 25, 37
172, 39, 17, 24, 40
173, 39, 17, 28, 32
174, 42, 22, 21, 38
175, 48, 19, 25, 37
176, 54, 22, 23, 35
177, 58, 16, 20, 32
178, 77, 18, 28, 22
179, 92, 17, 23, 57
180, 83, 17, 12, 40
