Channel:,Lum, Red, Green, Blue
Means:,4.245153, 3.9712791, 3.3131182, 6.45092
Note: Peaks measured from 20% upward
Peaks:,1345, 3558, 4621, 8470
PeaksLevels:,255, 255, 255, 255
0, 12816, 352013, 619011, 265153
1, 285436, 678570, 1141730, 276757
2, 1219643, 1429272, 2122326, 505857
3, 2246318, 1844085, 2021376, 767417
4, 2258839, 1684352, 1178378, 1052454
5, 1349606, 1067087, 586402, 1150556
6, 556663, 595171, 258621, 1148928
7, 189404, 281499, 140302, 963415
8, 63159, 148425, 76416, 688351
9, 24121, 70969, 41416, 501331
10, 12148, 40724, 24660, 327748
11, 7477, 20788, 12687, 208843
12, 5222, 13454, 7724, 123588
13, 3939, 7912, 5035, 87064
14, 3120, 5746, 3549, 51905
15, 2605, 4540, 2880, 39083
16, 2077, 3309, 2246, 26229
17, 1801, 2878, 1910, 15639
18, 1516, 2213, 1657, 12714
19, 1380, 2038, 1557, 9149
20, 1256, 1792, 1388, 5994
21, 1118, 1703, 1206, 5151
22, 1047, 1352, 1107, 4054
23, 955, 1335, 1049, 2907
24, 846, 1194, 911, 2685
25, 780, 1106, 937, 2237
26, 774, 982, 807, 1804
27, 730, 935, 748, 1708
28, 685, 855, 720, 1403
29, 654, 744, 639, 1309
30, 606, 737, 671, 1208
31, 606, 640, 618, 1048
32, 546, 643, 555, 956
33, 534, 631, 556, 946
34, 513, 549, 545, 895
35, 440, 619, 606, 779
36, 481, 534, 513, 755
37, 425, 507, 488, 731
38, 428, 496, 471, 711
39, 416, 516, 460, 712
40, 385, 448, 461, 547
41, 383, 419, 480, 582
42, 366, 408, 432, 579
43, 376, 413, 414, 536
44, 376, 371, 432, 451
45, 350, 398, 373, 499
46, 339, 359, 398, 438
47, 347, 364, 407, 418
48, 311, 327, 352, 432
49, 292, 308, 387, 360
50, 292, 297, 338, 403
51, 277, 302, 342, 435
52, 275, 313, 351, 389
53, 289, 284, 368, 339
54, 313, 265, 394, 364
55, 270, 272, 369, 316
56, 285, 263, 373, 342
57, 259, 240, 356, 292
58, 254, 251, 349, 306
59, 252, 204, 346, 301
60, 234, 220, 311, 256
61, 231, 203, 319, 277
62, 246, 208, 281, 329
63, 243, 182, 286, 305
64, 247, 190, 319, 288
65, 215, 176, 273, 268
66, 210, 159, 267, 246
67, 220, 144, 300, 271
68, 201, 143, 280, 227
69, 241, 155, 278, 231
70, 212, 164, 244, 268
71, 221, 131, 252, 255
72, 229, 125, 239, 255
73, 209, 129, 202, 216
74, 195, 102, 241, 229
75, 200, 145, 208, 242
76, 208, 112, 207, 211
77, 164, 127, 172, 206
78, 194, 95, 192, 178
79, 213, 117, 192, 200
80, 205, 124, 196, 213
81, 218, 98, 200, 181
82, 232, 90, 162, 177
83, 166, 109, 163, 183
84, 187, 86, 167, 193
85, 186, 77, 147, 202
86, 170, 97, 125, 165
87, 178, 103, 174, 157
88, 192, 71, 150, 178
89, 209, 86, 151, 157
90, 194, 65, 130, 167
91, 194, 72, 116, 159
92, 214, 75, 130, 150
93, 218, 70, 152, 128
94, 213, 71, 138, 147
95, 217, 88, 128, 123
96, 235, 82, 124, 119
97, 222, 70, 119, 150
98, 243, 83, 115, 151
99, 303, 70, 122, 123
100, 280, 70, 117, 139
101, 294, 79, 94, 128
102, 322, 71, 112, 123
103, 261, 72, 112, 112
104, 321, 69, 111, 120
105, 331, 52, 104, 117
106, 340, 58, 101, 130
107, 358, 65, 113, 95
108, 365, 86, 103, 85
109, 343, 63, 109, 114
110, 384, 50, 93, 99
111, 361, 63, 100, 99
112, 359, 65, 98, 103
113, 324, 63, 101, 98
114, 304, 63, 107, 113
115, 289, 69, 93, 84
116, 284, 52, 99, 87
117, 303, 50, 89, 87
118, 243, 69, 90, 94
119, 246, 58, 85, 76
120, 252, 51, 97, 72
121, 231, 47, 91, 99
122, 206, 57, 84, 69
123, 241, 59, 92, 94
124, 223, 53, 86, 78
125, 206, 59, 84, 79
126, 216, 47, 77, 76
127, 196, 60, 64, 80
128, 190, 54, 82, 62
129, 198, 58, 80, 78
130, 207, 57, 64, 75
131, 187, 63, 75, 51
132, 182, 61, 82, 72
133, 187, 61, 72, 73
134, 154, 47, 76, 72
135, 147, 44, 66, 66
136, 197, 40, 60, 62
137, 165, 54, 69, 80
138, 163, 52, 73, 69
139, 175, 42, 66, 63
140, 192, 54, 64, 47
141, 180, 47, 45, 64
142, 175, 59, 73, 49
143, 162, 45, 65, 49
144, 175, 60, 55, 62
145, 159, 37, 61, 57
146, 183, 41, 41, 46
147, 167, 49, 64, 62
148, 162, 44, 54, 52
149, 133, 37, 52, 48
150, 154, 38, 61, 60
151, 148, 38, 57, 56
152, 135, 44, 65, 60
153, 122, 32, 65, 48
154, 119, 42, 53, 45
155, 109, 45, 60, 49
156, 133, 44, 60, 43
157, 115, 34, 63, 51
158, 102, 33, 41, 64
159, 92, 40, 47, 44
160, 127, 46, 51, 52
161, 111, 39, 60, 53
162, 84, 42, 58, 39
163, 81, 41, 42, 42
164, 97, 37, 47, 48
165, 89, 36, 46, 45
166, 98, 35, 55, 60
167, 102, 30, 49, 53
168, 80, 44, 55, 50
169, 81, 38, 51, 48
170, 93, 32, 50, 44
171, 82, 25, 48, 41
172, 107, 34, 59, 52
173, 132, 34, 51, 63
174, 144, 31, 55, 44
175, 178, 40, 50, 55
176, 242, 37, 53, 42
177, 241, 36, 53, 50
178, 178, 42, 40, 49
179, 170, 46, 49, 56
180, 134, 31, 50, 35
181, 108, 20, 53, 43
182, 86, 35, 46, 49
183, 66, 29, 42, 48
184, 58, 36, 40, 48
185, 66, 30, 58, 37
186, 43, 43, 41, 43
187, 40, 35, 38, 41
188, 28, 32, 47, 33
189, 34, 27, 36, 43
190, 25, 31, 42, 37
191, 15, 38, 46, 46
192, 23, 45, 42, 38
193, 26, 30, 32, 55
194, 19, 26, 54, 38
195, 20, 30, 44, 38
196, 22, 29, 46, 43
197, 27, 34, 45, 45
198, 23, 32, 40, 44
199, 20, 34, 43, 33
200, 32, 41, 39, 38
201, 19, 21, 37, 31
202, 13, 19, 43, 48
203, 12, 36, 34, 50
204, 17, 34, 37, 38
205, 8, 35, 47, 34
206, 10, 35, 37, 38
207, 9, 38, 39, 39
208, 6, 41, 33, 36
209, 10, 40, 43, 45
210, 11, 31, 42, 43
211, 8, 37, 31, 36
212, 12, 29, 44, 42
213, 9, 33, 58, 47
214, 6, 36, 38, 52
215, 4, 24, 40, 39
216, 10, 30, 42, 45
217, 5, 25, 35, 51
218, 3, 42, 40, 42
219, 4, 45, 31, 52
220, 5, 36, 48, 37
221, 4, 40, 50, 45
222, 6, 37, 40, 40
223, 9, 41, 38, 47
224, 1, 29, 53, 52
225, 7, 30, 37, 48
226, 7, 36, 39, 46
227, 3, 29, 53, 36
228, 8, 26, 58, 58
229, 3, 31, 39, 46
230, 5, 30, 46, 35
231, 6, 36, 49, 43
232, 7, 44, 38, 44
233, 9, 36, 46, 48
234, 7, 40, 47, 69
235, 10, 38, 47, 50
236, 11, 42, 40, 57
237, 6, 44, 55, 51
238, 10, 46, 50, 42
239, 8, 41, 40, 52
240, 6, 45, 45, 73
241, 11, 38, 46, 58
242, 16, 29, 48, 50
243, 13, 42, 53, 71
244, 11, 45, 63, 57
245, 13, 55, 62, 61
246, 13, 46, 49, 58
247, 5, 44, 48, 64
248, 10, 42, 57, 77
249, 14, 47, 62, 70
250, 12, 60, 56, 58
251, 17, 43, 62, 71
252, 19, 55, 69, 64
253, 25, 52, 75, 70
254, 28, 52, 85, 100
255, 1345, 3558, 4621, 8470
