Channel:,Lum, Red, Green, Blue
Means:,4.801375, 4.588313, 3.6279075, 7.1876016
Note: Peaks measured from 20% upward
Peaks:,779, 4229, 4861, 3869
PeaksLevels:,255, 255, 255, 255
0, 7691, 337753, 566800, 289646
1, 150723, 492682, 849087, 212888
2, 719501, 978049, 1619254, 349286
3, 1554380, 1437555, 2020136, 553434
4, 2081530, 1578510, 1438824, 783935
5, 1821940, 1330687, 856135, 948785
6, 1085521, 903613, 393385, 972214
7, 493448, 534512, 228558, 984911
8, 193813, 292446, 112794, 859269
9, 73640, 156908, 73362, 683275
10, 30002, 91382, 37565, 505175
11, 15055, 46255, 24541, 356713
12, 9194, 27605, 12993, 224420
13, 6371, 16996, 8429, 168619
14, 4639, 11092, 6312, 112624
15, 3651, 7418, 4013, 67963
16, 2916, 5422, 3269, 53976
17, 2462, 4048, 2323, 37087
18, 2082, 3156, 2156, 26092
19, 1655, 2655, 1649, 15763
20, 1426, 2188, 1466, 13972
21, 1243, 1821, 1221, 10103
22, 1065, 1691, 1229, 7388
23, 936, 1455, 917, 5541
24, 901, 1213, 915, 4342
25, 746, 1146, 802, 3053
26, 654, 1036, 786, 2801
27, 602, 1005, 697, 2441
28, 567, 863, 663, 2040
29, 562, 778, 584, 1582
30, 496, 712, 554, 1542
31, 469, 648, 495, 1378
32, 427, 560, 508, 1187
33, 424, 517, 450, 1035
34, 436, 498, 486, 962
35, 385, 442, 398, 854
36, 350, 401, 403, 826
37, 336, 368, 378, 776
38, 336, 344, 327, 703
39, 335, 357, 328, 588
40, 309, 319, 344, 580
41, 291, 284, 298, 581
42, 301, 297, 319, 536
43, 259, 299, 266, 517
44, 253, 268, 274, 436
45, 261, 231, 244, 456
46, 221, 233, 237, 416
47, 256, 224, 212, 384
48, 249, 184, 236, 363
49, 191, 218, 189, 345
50, 196, 212, 198, 367
51, 204, 218, 193, 291
52, 199, 174, 185, 319
53, 191, 189, 183, 309
54, 186, 149, 163, 250
55, 169, 161, 186, 257
56, 185, 186, 160, 273
57, 197, 171, 182, 242
58, 180, 142, 130, 236
59, 162, 139, 156, 231
60, 153, 137, 136, 250
61, 159, 150, 148, 233
62, 149, 144, 133, 179
63, 141, 120, 132, 203
64, 145, 132, 125, 182
65, 142, 118, 119, 190
66, 138, 143, 126, 192
67, 162, 114, 99, 181
68, 142, 140, 113, 160
69, 136, 136, 124, 159
70, 147, 102, 107, 187
71, 132, 101, 114, 144
72, 138, 115, 96, 170
73, 118, 114, 97, 144
74, 110, 98, 117, 159
75, 122, 84, 103, 144
76, 143, 95, 88, 142
77, 116, 119, 100, 129
78, 110, 91, 112, 127
79, 119, 103, 95, 137
80, 112, 74, 98, 128
81, 106, 82, 85, 103
82, 120, 101, 88, 126
83, 97, 86, 96, 123
84, 105, 63, 75, 122
85, 125, 90, 90, 131
86, 95, 80, 66, 128
87, 105, 70, 84, 93
88, 99, 74, 66, 111
89, 118, 65, 78, 104
90, 108, 78, 67, 103
91, 90, 77, 73, 106
92, 105, 85, 77, 104
93, 108, 90, 86, 116
94, 114, 71, 71, 94
95, 111, 67, 91, 89
96, 144, 79, 72, 92
97, 141, 84, 61, 89
98, 145, 85, 67, 85
99, 150, 87, 66, 76
100, 150, 66, 55, 78
101, 159, 70, 58, 93
102, 150, 60, 62, 85
103, 161, 55, 71, 100
104, 142, 72, 72, 75
105, 139, 50, 63, 89
106, 99, 62, 56, 68
107, 99, 44, 59, 75
108, 117, 65, 65, 88
109, 105, 63, 57, 85
110, 101, 54, 53, 80
111, 112, 58, 49, 93
112, 137, 50, 65, 79
113, 90, 59, 54, 77
114, 95, 63, 76, 72
115, 83, 59, 55, 72
116, 78, 57, 53, 74
117, 86, 58, 52, 76
118, 74, 56, 48, 57
119, 69, 52, 46, 70
120, 76, 38, 50, 75
121, 69, 51, 40, 88
122, 81, 47, 41, 76
123, 69, 52, 54, 78
124, 66, 49, 53, 54
125, 80, 58, 60, 76
126, 67, 54, 38, 76
127, 62, 64, 39, 73
128, 66, 50, 53, 73
129, 57, 55, 42, 54
130, 58, 51, 48, 73
131, 64, 40, 41, 60
132, 73, 47, 54, 70
133, 63, 33, 43, 58
134, 62, 35, 51, 59
135, 60, 32, 31, 73
136, 72, 47, 45, 51
137, 67, 38, 38, 49
138, 60, 20, 39, 71
139, 75, 37, 41, 63
140, 49, 27, 40, 63
141, 69, 38, 37, 69
142, 66, 41, 40, 66
143, 68, 35, 38, 56
144, 62, 40, 36, 58
145, 49, 42, 34, 69
146, 73, 30, 43, 72
147, 63, 38, 44, 48
148, 70, 30, 33, 57
149, 69, 31, 43, 66
150, 65, 40, 36, 68
151, 59, 27, 35, 56
152, 63, 29, 34, 63
153, 48, 27, 40, 47
154, 52, 33, 36, 55
155, 61, 25, 51, 56
156, 80, 27, 42, 36
157, 57, 25, 28, 54
158, 71, 31, 37, 67
159, 64, 30, 47, 55
160, 54, 34, 39, 69
161, 67, 37, 39, 56
162, 55, 30, 38, 53
163, 61, 33, 36, 56
164, 66, 24, 34, 64
165, 55, 27, 24, 52
166, 72, 21, 30, 53
167, 67, 29, 22, 69
168, 65, 33, 35, 63
169, 73, 26, 32, 45
170, 92, 19, 34, 49
171, 76, 22, 31, 59
172, 84, 27, 26, 50
173, 89, 31, 37, 62
174, 110, 23, 35, 57
175, 128, 33, 29, 62
176, 103, 15, 36, 54
177, 159, 24, 37, 53
178, 136, 30, 29, 50
179, 157, 19, 30, 51
180, 154, 22, 30, 64
181, 132, 15, 32, 52
182, 104, 16, 40, 57
183, 99, 25, 38, 53
184, 116, 19, 33, 51
185, 104, 21, 25, 41
186, 85, 18, 36, 43
187, 87, 21, 41, 50
188, 89, 32, 37, 51
189, 86, 19, 32, 42
190, 79, 20, 38, 48
191, 82, 24, 35, 43
192, 77, 27, 29, 37
193, 67, 30, 29, 42
194, 74, 30, 32, 38
195, 73, 18, 36, 46
196, 74, 24, 33, 56
197, 67, 19, 33, 46
198, 72, 23, 30, 45
199, 78, 21, 36, 35
200, 68, 20, 30, 58
201, 62, 23, 35, 52
202, 82, 28, 34, 47
203, 74, 27, 34, 49
204, 72, 15, 40, 40
205, 75, 22, 31, 41
206, 80, 24, 37, 45
207, 79, 19, 19, 41
208, 76, 27, 37, 43
209, 62, 26, 23, 39
210, 73, 18, 29, 40
211, 91, 35, 36, 51
212, 72, 28, 35, 48
213, 65, 21, 39, 51
214, 63, 22, 28, 50
215, 74, 29, 35, 38
216, 61, 19, 31, 42
217, 58, 16, 41, 46
218, 69, 24, 30, 31
219, 50, 21, 24, 36
220, 64, 32, 30, 46
221, 60, 27, 29, 44
222, 50, 31, 40, 40
223, 64, 26, 52, 24
224, 55, 31, 22, 32
225, 72, 32, 27, 51
226, 68, 30, 27, 55
227, 60, 25, 23, 41
228, 73, 36, 32, 31
229, 53, 28, 37, 39
230, 55, 19, 28, 32
231, 58, 19, 36, 32
232, 41, 22, 39, 43
233, 41, 26, 38, 44
234, 51, 25, 42, 41
235, 53, 28, 34, 38
236, 42, 30, 32, 33
237, 41, 31, 42, 40
238, 33, 29, 35, 44
239, 36, 33, 39, 34
240, 39, 30, 39, 47
241, 30, 31, 49, 32
242, 31, 24, 40, 32
243, 19, 16, 52, 21
244, 20, 24, 42, 30
245, 29, 24, 44, 31
246, 11, 29, 26, 37
247, 27, 32, 41, 40
248, 20, 27, 41, 34
249, 24, 22, 46, 29
250, 24, 24, 41, 44
251, 14, 37, 41, 52
252, 18, 25, 43, 54
253, 14, 41, 61, 49
254, 16, 34, 41, 30
255, 779, 4229, 4861, 3869
