Channel:,Lum, Red, Green, Blue
Means:,1.7630682, 1.7932215, 1.2252488, 3.0291338
Note: Peaks measured from 20% upward
Peaks:,179, 425, 236, 247
PeaksLevels:,255, 255, 255, 255
0, 333, 1863, 9409, 643
1, 2709365, 2553207, 7129194, 4177
2, 5536223, 5667152, 1117850, 1059800
3, 19758, 44395, 13134, 6601488
4, 5661, 6576, 5071, 575896
5, 3140, 3326, 2855, 22130
6, 2089, 2102, 1865, 6641
7, 1578, 1493, 1323, 3528
8, 1304, 1144, 1001, 2317
9, 1053, 970, 813, 1605
10, 845, 781, 642, 1287
11, 721, 629, 538, 1005
12, 635, 553, 489, 841
13, 527, 472, 429, 676
14, 468, 405, 411, 633
15, 389, 324, 342, 540
16, 354, 324, 320, 475
17, 330, 300, 297, 485
18, 299, 274, 277, 399
19, 306, 258, 225, 380
20, 274, 233, 214, 381
21, 257, 225, 194, 317
22, 244, 212, 180, 284
23, 207, 210, 186, 274
24, 215, 196, 147, 281
25, 185, 160, 161, 246
26, 180, 133, 171, 227
27, 169, 161, 144, 233
28, 162, 127, 115, 195
29, 140, 119, 128, 194
30, 144, 118, 106, 198
31, 139, 116, 115, 182
32, 118, 132, 110, 198
33, 120, 114, 107, 188
34, 140, 113, 94, 163
35, 127, 119, 94, 147
36, 112, 99, 115, 129
37, 118, 91, 88, 132
38, 94, 108, 102, 136
39, 92, 99, 91, 140
40, 115, 84, 89, 139
41, 96, 70, 76, 96
42, 75, 77, 73, 120
43, 110, 61, 75, 118
44, 88, 80, 72, 117
45, 93, 59, 71, 109
46, 95, 61, 74, 126
47, 74, 70, 76, 108
48, 84, 54, 50, 102
49, 86, 64, 79, 107
50, 79, 53, 61, 79
51, 69, 55, 60, 106
52, 68, 36, 59, 96
53, 63, 52, 67, 111
54, 74, 49, 66, 93
55, 75, 44, 65, 108
56, 64, 39, 62, 100
57, 45, 33, 47, 89
58, 65, 43, 50, 97
59, 66, 41, 54, 77
60, 48, 45, 57, 91
61, 58, 37, 54, 69
62, 57, 39, 49, 66
63, 56, 32, 49, 89
64, 58, 37, 62, 72
65, 40, 41, 37, 69
66, 62, 37, 53, 55
67, 56, 43, 55, 60
68, 58, 33, 54, 75
69, 55, 28, 45, 38
70, 59, 34, 59, 69
71, 53, 28, 46, 69
72, 46, 34, 48, 55
73, 57, 24, 53, 54
74, 47, 36, 37, 49
75, 56, 25, 44, 63
76, 51, 23, 51, 28
77, 49, 40, 54, 36
78, 55, 25, 61, 50
79, 49, 28, 44, 54
80, 48, 22, 46, 45
81, 55, 30, 55, 32
82, 38, 17, 46, 41
83, 39, 30, 39, 27
84, 52, 29, 39, 37
85, 57, 23, 44, 35
86, 38, 22, 34, 35
87, 41, 22, 47, 26
88, 35, 30, 46, 26
89, 42, 28, 35, 30
90, 53, 21, 33, 21
91, 42, 28, 40, 28
92, 43, 21, 52, 26
93, 52, 30, 31, 18
94, 41, 19, 34, 25
95, 33, 26, 46, 25
96, 53, 30, 32, 21
97, 41, 19, 42, 19
98, 49, 22, 34, 9
99, 41, 22, 34, 13
100, 42, 27, 43, 11
101, 42, 26, 38, 16
102, 51, 17, 37, 17
103, 43, 21, 34, 17
104, 44, 16, 22, 14
105, 53, 14, 24, 17
106, 40, 18, 32, 12
107, 42, 23, 30, 8
108, 41, 22, 33, 18
109, 34, 23, 27, 8
110, 39, 22, 29, 10
111, 44, 19, 32, 7
112, 46, 16, 22, 12
113, 53, 16, 15, 18
114, 37, 17, 16, 7
115, 30, 18, 28, 13
116, 43, 19, 24, 10
117, 35, 24, 23, 13
118, 41, 18, 19, 10
119, 31, 33, 17, 13
120, 46, 21, 12, 16
121, 35, 22, 10, 5
122, 43, 17, 9, 8
123, 37, 22, 8, 12
124, 36, 18, 16, 11
125, 36, 12, 16, 13
126, 37, 17, 11, 7
127, 47, 16, 20, 9
128, 36, 11, 9, 11
129, 42, 17, 13, 6
130, 39, 25, 22, 12
131, 39, 16, 13, 7
132, 37, 16, 19, 10
133, 41, 11, 6, 11
134, 33, 17, 11, 12
135, 44, 11, 17, 6
136, 42, 17, 11, 6
137, 17, 15, 22, 8
138, 33, 16, 12, 8
139, 32, 14, 17, 6
140, 29, 13, 11, 8
141, 25, 20, 11, 8
142, 15, 17, 11, 10
143, 17, 24, 16, 4
144, 20, 19, 13, 8
145, 12, 20, 10, 4
146, 14, 21, 11, 7
147, 11, 11, 12, 8
148, 12, 12, 5, 5
149, 10, 12, 12, 8
150, 8, 13, 15, 6
151, 10, 16, 6, 4
152, 14, 16, 9, 7
153, 12, 25, 16, 6
154, 6, 12, 4, 7
155, 12, 22, 9, 4
156, 10, 22, 7, 6
157, 9, 24, 11, 6
158, 6, 20, 14, 9
159, 4, 14, 10, 8
160, 10, 8, 12, 9
161, 8, 14, 15, 10
162, 8, 26, 12, 9
163, 6, 15, 12, 5
164, 7, 9, 15, 10
165, 5, 9, 11, 7
166, 8, 13, 10, 9
167, 5, 16, 14, 6
168, 8, 11, 14, 5
169, 4, 11, 14, 6
170, 2, 16, 15, 4
171, 5, 10, 11, 6
172, 3, 14, 12, 7
173, 3, 11, 12, 13
174, 4, 17, 13, 3
175, 9, 19, 12, 2
176, 4, 6, 9, 7
177, 3, 10, 13, 7
178, 1, 10, 20, 7
179, 3, 15, 9, 7
180, 2, 13, 13, 8
181, 1, 9, 13, 7
182, 4, 9, 10, 3
183, 2, 15, 8, 10
184, 1, 12, 9, 8
185, 1, 13, 10, 3
186, 2, 9, 10, 6
187, 1, 16, 3, 10
188, 1, 12, 11, 10
189, 2, 10, 5, 9
190, 0, 16, 4, 5
191, 0, 15, 14, 7
192, 2, 18, 11, 9
193, 2, 17, 12, 4
194, 0, 12, 8, 6
195, 2, 14, 8, 2
196, 0, 10, 9, 5
197, 1, 10, 12, 5
198, 0, 19, 6, 4
199, 1, 21, 8, 6
200, 0, 13, 13, 12
201, 0, 13, 13, 2
202, 2, 9, 14, 6
203, 2, 11, 8, 1
204, 2, 22, 6, 4
205, 1, 9, 13, 7
206, 1, 12, 15, 7
207, 1, 15, 10, 6
208, 0, 18, 12, 5
209, 2, 11, 13, 6
210, 2, 5, 8, 6
211, 2, 14, 14, 4
212, 0, 17, 11, 8
213, 0, 8, 8, 4
214, 0, 15, 8, 7
215, 1, 11, 8, 4
216, 3, 14, 13, 5
217, 1, 10, 6, 8
218, 1, 8, 12, 6
219, 0, 16, 10, 12
220, 1, 12, 6, 6
221, 3, 9, 9, 8
222, 0, 12, 7, 4
223, 0, 14, 6, 7
224, 0, 11, 9, 7
225, 2, 11, 6, 4
226, 2, 19, 7, 8
227, 5, 14, 5, 7
228, 1, 15, 10, 4
229, 1, 21, 9, 6
230, 1, 5, 7, 7
231, 1, 21, 8, 8
232, 0, 13, 6, 7
233, 0, 18, 3, 5
234, 1, 14, 8, 3
235, 4, 13, 1, 9
236, 3, 10, 5, 3
237, 2, 14, 5, 5
238, 1, 9, 2, 3
239, 0, 10, 7, 3
240, 0, 10, 4, 3
241, 4, 7, 9, 5
242, 1, 10, 9, 1
243, 2, 12, 5, 7
244, 1, 16, 5, 2
245, 5, 7, 4, 7
246, 3, 6, 3, 0
247, 2, 5, 4, 0
248, 4, 3, 1, 10
249, 1, 10, 5, 4
250, 3, 10, 1, 2
251, 5, 5, 3, 1
252, 1, 6, 4, 3
253, 4, 4, 1, 1
254, 4, 7, 0, 0
255, 179, 425, 236, 247
