Channel:,Lum, Red, Green, Blue
Means:,0.73329437, 0.90970874, 0.6285049, 1.6348196
Note: Peaks measured from 20% upward
Peaks:,267, 976, 1645, 1612
PeaksLevels:,255, 255, 255, 255
0, 3561171, 2221867, 4512903, 374332
1, 4646598, 5681118, 3621571, 4305964
2, 45708, 340958, 118729, 3134159
3, 8496, 18337, 9850, 393051
4, 4183, 6402, 4906, 43385
5, 2651, 3542, 3102, 9851
6, 2033, 2470, 2193, 4774
7, 1607, 1739, 1612, 3124
8, 1245, 1372, 1283, 2186
9, 1089, 1187, 1038, 1671
10, 879, 913, 865, 1280
11, 748, 750, 680, 1102
12, 666, 634, 660, 874
13, 609, 532, 567, 728
14, 566, 509, 501, 658
15, 511, 474, 436, 590
16, 456, 394, 420, 532
17, 469, 369, 370, 483
18, 427, 345, 346, 436
19, 391, 312, 366, 406
20, 334, 276, 301, 374
21, 316, 271, 283, 381
22, 339, 243, 264, 343
23, 282, 268, 248, 333
24, 285, 225, 226, 316
25, 250, 187, 230, 294
26, 257, 190, 221, 264
27, 220, 180, 187, 242
28, 208, 167, 223, 248
29, 221, 152, 186, 214
30, 227, 155, 194, 231
31, 199, 138, 205, 221
32, 175, 133, 168, 186
33, 172, 139, 178, 190
34, 160, 110, 161, 194
35, 173, 125, 133, 174
36, 166, 125, 141, 152
37, 149, 122, 143, 183
38, 160, 93, 130, 140
39, 135, 103, 140, 176
40, 133, 91, 114, 141
41, 122, 91, 140, 135
42, 155, 99, 112, 130
43, 120, 104, 107, 141
44, 112, 89, 125, 136
45, 90, 90, 119, 120
46, 98, 75, 120, 130
47, 112, 75, 112, 129
48, 98, 70, 101, 136
49, 100, 79, 110, 125
50, 93, 68, 91, 108
51, 102, 77, 75, 115
52, 108, 63, 81, 128
53, 97, 58, 91, 124
54, 88, 55, 79, 105
55, 81, 67, 79, 98
56, 93, 65, 85, 98
57, 90, 77, 72, 109
58, 86, 61, 76, 117
59, 97, 62, 81, 115
60, 79, 57, 63, 89
61, 75, 62, 67, 102
62, 74, 51, 55, 95
63, 77, 53, 55, 97
64, 78, 58, 53, 88
65, 75, 61, 65, 90
66, 64, 52, 66, 95
67, 65, 52, 55, 90
68, 61, 50, 52, 85
69, 69, 55, 72, 73
70, 60, 49, 75, 89
71, 87, 47, 55, 102
72, 76, 64, 54, 76
73, 72, 38, 62, 73
74, 65, 45, 67, 86
75, 76, 37, 33, 68
76, 68, 34, 52, 80
77, 78, 45, 44, 80
78, 57, 44, 43, 78
79, 60, 49, 46, 66
80, 56, 59, 48, 71
81, 45, 57, 46, 59
82, 50, 49, 43, 57
83, 62, 48, 37, 66
84, 64, 46, 36, 66
85, 66, 43, 40, 62
86, 65, 48, 47, 59
87, 53, 42, 50, 63
88, 67, 39, 42, 52
89, 64, 46, 36, 44
90, 73, 35, 26, 44
91, 56, 31, 48, 46
92, 58, 29, 39, 43
93, 66, 35, 37, 57
94, 62, 40, 46, 43
95, 69, 36, 39, 37
96, 66, 34, 34, 31
97, 74, 38, 32, 39
98, 70, 43, 45, 41
99, 70, 34, 55, 46
100, 99, 35, 43, 37
101, 89, 32, 25, 42
102, 92, 24, 41, 45
103, 63, 30, 42, 36
104, 89, 22, 41, 34
105, 79, 28, 40, 33
106, 89, 29, 31, 34
107, 67, 36, 37, 23
108, 63, 21, 35, 35
109, 47, 26, 31, 30
110, 55, 27, 34, 20
111, 46, 25, 35, 19
112, 46, 25, 24, 34
113, 49, 22, 44, 38
114, 48, 29, 23, 34
115, 50, 18, 24, 28
116, 37, 15, 21, 33
117, 38, 27, 22, 32
118, 32, 26, 18, 29
119, 39, 26, 35, 23
120, 38, 22, 31, 31
121, 34, 17, 27, 35
122, 34, 26, 27, 29
123, 36, 15, 16, 29
124, 36, 21, 25, 24
125, 42, 35, 23, 15
126, 33, 22, 21, 31
127, 37, 18, 23, 28
128, 42, 15, 16, 28
129, 32, 20, 15, 31
130, 32, 19, 17, 30
131, 40, 16, 29, 26
132, 30, 17, 26, 27
133, 29, 12, 22, 30
134, 36, 25, 22, 24
135, 38, 21, 21, 26
136, 37, 19, 11, 35
137, 37, 14, 26, 21
138, 31, 13, 18, 23
139, 38, 18, 15, 25
140, 41, 23, 10, 24
141, 36, 23, 12, 31
142, 44, 16, 11, 17
143, 42, 12, 14, 21
144, 52, 25, 17, 20
145, 37, 11, 17, 18
146, 47, 15, 18, 21
147, 42, 13, 21, 16
