Channel:,Lum, Red, Green, Blue
Means:,1.7982805, 1.8131601, 1.2613819, 3.0771816
Note: Peaks measured from 20% upward
Peaks:,168, 284, 995, 1680
PeaksLevels:,255, 255, 255, 255
0, 300, 1740, 9116, 694
1, 2702656, 2304703, 7088757, 4801
2, 5534485, 5908541, 1150984, 1295141
3, 20999, 50137, 14651, 6408543
4, 7679, 6846, 5973, 522494
5, 4417, 3371, 3549, 24698
6, 2602, 2127, 2429, 7204
7, 1687, 1535, 1700, 4240
8, 1332, 1214, 1377, 2958
9, 975, 1040, 949, 2318
10, 911, 855, 828, 1818
11, 745, 705, 695, 1386
12, 631, 594, 653, 1170
13, 549, 531, 580, 827
14, 515, 500, 542, 724
15, 487, 414, 420, 610
16, 420, 377, 396, 512
17, 384, 391, 345, 475
18, 373, 323, 303, 386
19, 311, 319, 319, 379
20, 313, 267, 278, 355
21, 298, 249, 253, 302
22, 271, 269, 203, 313
23, 236, 216, 197, 281
24, 242, 217, 234, 250
25, 231, 197, 193, 254
26, 231, 189, 183, 227
27, 209, 194, 184, 211
28, 199, 152, 162, 250
29, 197, 129, 185, 231
30, 176, 141, 144, 200
31, 159, 149, 145, 174
32, 179, 154, 149, 170
33, 180, 136, 117, 185
34, 145, 130, 138, 170
35, 152, 112, 118, 188
36, 166, 112, 119, 186
37, 123, 102, 124, 175
38, 132, 110, 133, 175
39, 147, 88, 133, 158
40, 124, 106, 124, 160
41, 119, 109, 110, 152
42, 115, 103, 100, 153
43, 118, 88, 90, 160
44, 108, 78, 96, 150
45, 116, 97, 94, 125
46, 100, 96, 93, 137
47, 127, 75, 81, 149
48, 99, 94, 91, 130
49, 103, 79, 107, 105
50, 83, 77, 89, 140
51, 89, 101, 87, 107
52, 99, 84, 97, 85
53, 101, 77, 76, 99
54, 74, 62, 92, 86
55, 72, 65, 87, 88
56, 69, 48, 86, 76
57, 77, 61, 107, 83
58, 69, 61, 72, 74
59, 69, 54, 86, 80
60, 55, 54, 92, 64
61, 64, 54, 90, 56
62, 61, 48, 79, 59
63, 64, 49, 76, 63
64, 84, 42, 75, 58
65, 89, 58, 79, 61
66, 89, 55, 77, 69
67, 68, 40, 53, 58
68, 77, 24, 76, 64
69, 54, 38, 44, 62
