Channel:,Lum, Red, Green, Blue
Means:,2.0930777, 2.0830932, 1.6306173, 3.564126
Note: Peaks measured from 20% upward
Peaks:,161, 209, 426, 1136
PeaksLevels:,255, 255, 255, 255
0, 117826, 489813, 918730, 260832
1, 2119665, 2240930, 3627031, 672431
2, 4118998, 3240922, 2648663, 1563690
3, 1623866, 1615637, 749671, 2134102
4, 244025, 482608, 228675, 1765970
5, 33040, 137939, 69454, 1008184
6, 9494, 42957, 21321, 472865
7, 4833, 15322, 7444, 208777
8, 2908, 6827, 3519, 94861
9, 1942, 3686, 2167, 44670
10, 1375, 2506, 1569, 23185
11, 1094, 1815, 1205, 11085
12, 813, 1349, 1027, 6318
13, 727, 1057, 839, 3994
14, 569, 853, 676, 2671
15, 475, 752, 613, 1937
16, 455, 621, 569, 1475
17, 414, 554, 535, 1191
18, 355, 459, 465, 1012
19, 346, 447, 396, 838
20, 325, 403, 375, 766
21, 290, 325, 322, 636
22, 284, 303, 335, 591
23, 245, 281, 300, 505
24, 219, 234, 272, 442
25, 238, 208, 243, 443
26, 227, 191, 230, 352
27, 197, 193, 231, 367
28, 201, 153, 231, 339
29, 180, 156, 221, 286
30, 183, 159, 179, 255
31, 185, 166, 172, 271
32, 163, 129, 164, 222
33, 164, 126, 193, 218
34, 163, 115, 170, 235
35, 131, 118, 162, 208
36, 155, 115, 140, 169
37, 140, 108, 147, 169
38, 136, 103, 158, 173
39, 127, 89, 131, 145
40, 115, 83, 129, 138
41, 118, 74, 115, 147
42, 124, 79, 114, 118
43, 133, 59, 92, 131
44, 103, 69, 91, 123
45, 95, 57, 103, 95
46, 131, 63, 75, 97
47, 105, 60, 97, 91
48, 95, 45, 92, 108
49, 91, 52, 69, 79
50, 104, 48, 75, 90
51, 86, 35, 65, 69
52, 94, 60, 68, 96
53, 85, 46, 57, 88
54, 72, 46, 61, 63
55, 87, 42, 58, 79
56, 88, 40, 57, 80
57, 82, 35, 56, 65
58, 81, 33, 49, 72
59, 84, 44, 47, 71
60, 71, 45, 51, 51
61, 65, 19, 50, 59
62, 70, 35, 50, 67
63, 73, 43, 48, 82
