Channel:,Lum, Red, Green, Blue
Means:,2.933789, 2.6443212, 2.2211604, 4.93602
Note: Peaks measured from 20% upward
Peaks:,267, 776, 1392, 2500
PeaksLevels:,255, 255, 255, 255
0, 34597, 479711, 670749, 213471
1, 753863, 1428667, 2192952, 321761
2, 2679234, 2521576, 2960685, 706748
3, 3034978, 2159891, 1559472, 1262679
4, 1340773, 1026111, 542068, 1564416
5, 323870, 395429, 196209, 1507218
6, 65679, 148392, 87202, 1122581
7, 18440, 59876, 32732, 724066
8, 8331, 27491, 14856, 380985
9, 4980, 11880, 6830, 202695
10, 3330, 6490, 3998, 116675
11, 2270, 4106, 2516, 62557
12, 1702, 2811, 1902, 32049
13, 1306, 2160, 1437, 18687
14, 1085, 1615, 1157, 11582
15, 844, 1361, 1053, 8176
16, 759, 1149, 856, 4775
17, 680, 1008, 813, 3547
18, 589, 856, 691, 2932
19, 485, 747, 603, 1956
20, 447, 652, 568, 1633
21, 385, 563, 517, 1409
22, 342, 485, 467, 1136
23, 348, 454, 421, 913
24, 310, 438, 406, 817
25, 317, 381, 357, 738
26, 293, 351, 367, 731
27, 267, 345, 278, 618
28, 244, 314, 307, 555
29, 255, 290, 291, 600
30, 247, 253, 245, 439
31, 216, 242, 259, 408
32, 213, 237, 212, 375
33, 190, 186, 204, 354
34, 177, 213, 177, 333
35, 184, 178, 205, 312
36, 187, 159, 191, 329
37, 171, 173, 164, 276
38, 176, 160, 183, 242
39, 193, 154, 153, 249
40, 155, 146, 177, 232
41, 164, 146, 145, 230
42, 147, 105, 142, 204
43, 136, 108, 131, 221
44, 158, 111, 164, 209
45, 113, 108, 148, 174
46, 149, 138, 140, 192
47, 143, 115, 143, 170
48, 130, 93, 111, 156
49, 120, 95, 108, 172
50, 135, 86, 97, 172
51, 125, 83, 121, 162
52, 137, 78, 117, 144
53, 105, 87, 110, 136
54, 105, 89, 121, 147
55, 104, 65, 104, 136
56, 99, 91, 101, 108
57, 121, 78, 100, 144
58, 114, 68, 110, 115
59, 102, 66, 95, 122
60, 73, 70, 84, 129
61, 103, 78, 104, 130
62, 109, 75, 83, 93
63, 85, 56, 90, 104
64, 79, 62, 87, 94
65, 98, 56, 93, 94
66, 95, 61, 94, 94
67, 84, 52, 111, 85
68, 93, 62, 95, 102
69, 89, 45, 70, 85
70, 87, 49, 90, 88
71, 87, 60, 69, 76
72, 90, 54, 71, 105
73, 87, 57, 81, 75
74, 76, 46, 89, 81
75, 82, 57, 92, 81
76, 86, 38, 76, 73
77, 76, 55, 60, 74
78, 74, 37, 64, 79
79, 73, 52, 81, 69
80, 83, 47, 71, 69
81, 90, 43, 69, 62
82, 74, 36, 84, 63
83, 87, 35, 57, 76
84, 68, 46, 60, 62
85, 81, 35, 53, 57
86, 81, 35, 45, 61
87, 73, 38, 47, 50
88, 77, 30, 51, 51
89, 63, 31, 54, 44
90, 54, 33, 48, 63
91, 71, 41, 41, 64
92, 82, 33, 50, 57
93, 80, 29, 46, 62
94, 74, 28, 55, 59
95, 83, 31, 44, 41
96, 97, 30, 40, 50
97, 91, 22, 50, 40
98, 107, 20, 43, 53
99, 73, 24, 49, 39
100, 101, 26, 31, 41
101, 89, 33, 38, 40
102, 117, 24, 42, 34
103, 108, 29, 39, 35
104, 118, 26, 36, 36
105, 88, 31, 34, 55
106, 107, 20, 31, 43
107, 91, 22, 30, 44
108, 104, 25, 38, 47
109, 89, 20, 34, 21
110, 100, 25, 29, 52
111, 90, 26, 18, 37
112, 105, 24, 29, 32
113, 96, 20, 26, 25
114, 95, 22, 29, 39
115, 89, 27, 28, 43
116, 86, 25, 37, 37
117, 79, 15, 23, 34
118, 88, 26, 28, 27
119, 80, 24, 24, 39
120, 88, 24, 29, 31
121, 67, 22, 25, 31
122, 93, 17, 27, 30
123, 65, 19, 39, 34
124, 73, 18, 20, 34
125, 68, 19, 32, 34
126, 60, 13, 17, 24
127, 56, 21, 26, 28
128, 63, 22, 19, 25
129, 63, 18, 22, 25
130, 51, 15, 26, 30
131, 46, 18, 30, 22
132, 57, 16, 21, 38
133, 49, 28, 11, 38
134, 53, 12, 27, 30
135, 61, 21, 22, 24
136, 42, 14, 25, 28
137, 49, 17, 16, 29
138, 43, 18, 21, 27
139, 47, 14, 18, 21
140, 47, 9, 23, 28
141, 48, 15, 17, 21
142, 50, 21, 26, 20
143, 49, 10, 24, 23
144, 46, 11, 24, 25
145, 38, 14, 21, 17
146, 49, 16, 25, 21
147, 35, 21, 19, 27
148, 37, 21, 16, 20
149, 40, 19, 22, 23
150, 43, 14, 24, 12
151, 28, 14, 23, 21
152, 51, 16, 18, 20
153, 46, 17, 16, 20
154, 32, 8, 12, 16
155, 41, 15, 20, 21
156, 38, 9, 18, 22
157, 33, 16, 17, 16
158, 22, 7, 16, 19
159, 35, 14, 18, 18
160, 38, 12, 27, 35
161, 29, 13, 13, 11
162, 36, 14, 27, 20
163, 31, 16, 16, 19
164, 33, 14, 12, 16
165, 31, 12, 17, 16
166, 26, 12, 18, 23
167, 27, 15, 15, 21
168, 30, 10, 18, 17
169, 25, 11, 17, 28
170, 35, 12, 16, 21
171, 29, 13, 7, 17
172, 37, 12, 14, 23
173, 43, 11, 20, 22
174, 52, 5, 12, 20
175, 65, 13, 20, 17
176, 77, 15, 10, 19
177, 82, 7, 10, 20
178, 46, 15, 14, 21
179, 62, 8, 15, 15
180, 41, 16, 18, 18
181, 48, 16, 16, 14
182, 31, 15, 13, 18
183, 28, 15, 12, 26
184, 21, 8, 19, 17
185, 25, 15, 12, 17
186, 23, 16, 20, 20
187, 15, 10, 16, 19
188, 21, 12, 11, 12
189, 13, 12, 12, 15
190, 12, 17, 12, 23
191, 12, 12, 13, 14
192, 15, 10, 12, 14
193, 6, 14, 18, 16
194, 7, 12, 15, 18
195, 11, 11, 18, 17
196, 9, 14, 18, 15
197, 12, 20, 10, 15
198, 8, 15, 11, 21
199, 12, 10, 19, 23
200, 11, 11, 24, 20
201, 10, 19, 10, 15
202, 4, 10, 21, 14
203, 6, 9, 13, 11
204, 5, 10, 18, 18
205, 4, 12, 19, 21
206, 5, 13, 20, 24
207, 3, 6, 11, 21
208, 5, 15, 17, 12
209, 8, 16, 18, 22
210, 2, 12, 16, 20
211, 1, 11, 11, 34
212, 0, 23, 12, 15
213, 5, 9, 14, 17
214, 1, 15, 16, 18
215, 1, 14, 19, 16
216, 4, 7, 19, 13
217, 0, 12, 17, 9
218, 0, 12, 12, 11
219, 0, 9, 15, 18
220, 2, 20, 14, 18
221, 4, 19, 20, 18
222, 0, 16, 24, 14
223, 1, 11, 14, 12
224, 3, 12, 20, 17
225, 0, 13, 12, 17
226, 1, 19, 18, 16
227, 3, 11, 15, 20
228, 3, 8, 12, 19
229, 4, 8, 14, 22
230, 2, 9, 10, 25
231, 3, 7, 13, 20
232, 0, 14, 11, 26
233, 1, 21, 14, 23
234, 2, 17, 10, 25
235, 1, 10, 16, 19
236, 4, 11, 21, 16
237, 5, 13, 18, 22
238, 0, 12, 16, 23
239, 5, 6, 21, 17
240, 2, 11, 16, 18
241, 2, 11, 10, 18
242, 1, 11, 23, 28
243, 1, 15, 21, 28
244, 0, 19, 14, 26
245, 3, 6, 25, 31
246, 2, 8, 17, 28
247, 2, 7, 29, 19
248, 5, 17, 15, 19
249, 3, 16, 28, 25
250, 2, 9, 17, 28
251, 10, 11, 18, 21
252, 4, 8, 23, 17
253, 8, 9, 21, 23
254, 9, 11, 8, 23
255, 267, 776, 1392, 2500
