Channel:,Lum, Red, Green, Blue
Means:,0.6390709, 0.89028585, 0.60495573, 1.4845862
Note: Peaks measured from 20% upward
Peaks:,254, 467, 1330, 2444
PeaksLevels:,255, 255, 255, 255
0, 4386303, 2097891, 4706779, 128908
1, 3835795, 6031887, 3487794, 5854651
2, 25582, 121795, 55945, 2129488
3, 9953, 9993, 9400, 122797
4, 5662, 4929, 5289, 14989
5, 3413, 3107, 3466, 6962
6, 2365, 2056, 2331, 4682
7, 1558, 1626, 1682, 3601
8, 1413, 1282, 1219, 2850
9, 1130, 1216, 1061, 2172
10, 1028, 1045, 828, 1754
11, 813, 873, 825, 1373
12, 729, 796, 681, 1066
13, 619, 662, 611, 928
14, 605, 614, 591, 727
15, 507, 585, 547, 635
16, 502, 531, 488, 528
17, 470, 464, 420, 462
18, 395, 497, 363, 444
19, 400, 456, 335, 362
20, 358, 387, 344, 394
21, 302, 376, 302, 337
22, 281, 326, 311, 342
23, 285, 340, 309, 292
24, 260, 316, 255, 323
25, 255, 315, 248, 266
26, 240, 284, 235, 294
27, 248, 233, 206, 265
28, 229, 242, 222, 238
29, 197, 220, 212, 264
30, 191, 207, 224, 215
31, 231, 205, 214, 208
32, 191, 165, 209, 221
33, 194, 203, 186, 220
34, 187, 184, 203, 188
35, 183, 213, 164, 211
36, 178, 161, 197, 216
37, 144, 173, 151, 186
38, 148, 167, 176, 182
39, 137, 163, 165, 178
40, 159, 134, 157, 176
41, 140, 145, 147, 166
42, 141, 151, 143, 200
43, 142, 157, 144, 180
44, 144, 141, 165, 170
45, 137, 138, 140, 197
46, 137, 130, 121, 167
47, 141, 138, 130, 168
48, 124, 146, 130, 175
49, 94, 140, 123, 142
50, 117, 107, 119, 152
51, 105, 154, 130, 114
52, 113, 126, 111, 112
53, 112, 103, 122, 96
54, 117, 119, 129, 89
55, 107, 107, 142, 100
56, 107, 92, 128, 78
57, 128, 94, 132, 99
58, 105, 75, 129, 71
59, 106, 100, 128, 78
60, 107, 78, 137, 58
61, 94, 79, 119, 65
62, 68, 72, 127, 72
63, 65, 68, 86, 70
64, 92, 63, 112, 53
65, 76, 65, 107, 53
66, 79, 55, 106, 66
67, 97, 59, 96, 58
68, 94, 53, 84, 76
69, 99, 61, 99, 42
70, 100, 47, 87, 65
71, 98, 48, 79, 54
72, 105, 63, 78, 60
73, 84, 48, 74, 56
74, 87, 46, 81, 67
75, 69, 49, 68, 74
76, 58, 45, 74, 46
77, 96, 42, 54, 48
78, 79, 30, 69, 48
79, 59, 38, 58, 69
80, 73, 34, 62, 57
81, 70, 40, 63, 51
82, 66, 42, 63, 53
83, 72, 43, 61, 51
84, 86, 45, 48, 44
85, 61, 32, 54, 38
86, 60, 42, 60, 35
87, 73, 40, 35, 32
88, 79, 39, 45, 43
89, 86, 29, 37, 33
90, 67, 35, 34, 34
91, 61, 37, 41, 30
92, 62, 42, 42, 30
93, 68, 26, 39, 45
94, 64, 44, 29, 38
95, 72, 30, 25, 31
96, 74, 33, 29, 33
97, 70, 33, 22, 35
98, 68, 25, 32, 25
99, 93, 40, 21, 43
100, 88, 36, 34, 35
101, 91, 28, 18, 38
102, 77, 33, 28, 28
103, 96, 28, 25, 40
104, 97, 35, 30, 37
105, 100, 31, 31, 23
106, 88, 31, 28, 33
107, 85, 33, 36, 21
108, 100, 28, 25, 19
109, 100, 26, 26, 27
110, 96, 33, 22, 17
111, 112, 30, 25, 33
112, 106, 30, 27, 27
113, 107, 32, 20, 22
114, 114, 25, 22, 29
115, 105, 25, 30, 22
116, 92, 20, 28, 21
117, 90, 21, 26, 14
118, 75, 24, 22, 23
119, 74, 22, 24, 22
120, 73, 21, 19, 22
121, 73, 22, 20, 22
122, 73, 19, 10, 24
123, 77, 20, 23, 22
124, 79, 16, 11, 27
125, 81, 17, 17, 24
126, 60, 13, 19, 31
127, 57, 16, 14, 30
128, 70, 11, 19, 15
129, 81, 22, 20, 21
130, 69, 21, 24, 18
131, 64, 13, 26, 19
132, 63, 14, 14, 25
133, 65, 21, 23, 27
134, 48, 18, 16, 19
135, 44, 15, 25, 23
136, 39, 27, 14, 20
137, 39, 22, 21, 20
138, 48, 16, 16, 21
139, 35, 18, 19, 16
140, 28, 21, 16, 17
141, 42, 18, 17, 20
142, 39, 12, 12, 19
143, 33, 15, 20, 17
144, 27, 13, 18, 25
145, 34, 21, 17, 18
146, 27, 19, 21, 20
147, 27, 21, 21, 18
148, 31, 14, 14, 16
149, 30, 25, 17, 20
150, 28, 19, 21, 11
151, 34, 16, 10, 8
152, 37, 10, 22, 6
153, 27, 12, 13, 17
154, 32, 14, 10, 12
155, 37, 15, 15, 13
156, 33, 10, 19, 15
157, 22, 15, 11, 20
158, 26, 16, 12, 16
159, 19, 16, 19, 10
160, 27, 18, 15, 21
161, 27, 15, 13, 12
162, 32, 10, 7, 22
163, 32, 11, 16, 14
164, 34, 16, 22, 18
165, 29, 13, 13, 11
166, 23, 17, 15, 15
167, 14, 19, 20, 16
168, 14, 20, 11, 8
169, 28, 17, 12, 12
170, 26, 11, 20, 15
171, 22, 13, 16, 18
172, 25, 15, 13, 14
173, 20, 15, 15, 14
174, 26, 9, 18, 13
175, 56, 10, 17, 14
176, 88, 11, 16, 15
177, 137, 14, 19, 12
178, 99, 25, 15, 16
179, 62, 10, 13, 18
180, 52, 12, 22, 14
181, 36, 12, 13, 12
182, 23, 22, 18, 13
183, 17, 13, 10, 18
184, 16, 10, 14, 11
185, 11, 6, 16, 13
186, 1, 7, 9, 13
187, 3, 17, 11, 10
188, 2, 17, 8, 10
189, 1, 27, 14, 19
190, 1, 13, 13, 12
191, 1, 18, 14, 17
192, 5, 13, 10, 22
193, 0, 9, 11, 15
194, 0, 11, 16, 19
195, 0, 12, 9, 14
196, 3, 10, 10, 10
197, 0, 13, 20, 12
198, 1, 10, 11, 13
199, 1, 14, 7, 14
200, 4, 10, 15, 21
201, 0, 9, 7, 10
202, 3, 10, 15, 10
203, 1, 14, 14, 10
204, 3, 17, 18, 17
205, 1, 12, 11, 5
206, 1, 11, 12, 11
207, 1, 12, 7, 10
208, 2, 13, 18, 21
209, 2, 9, 13, 11
210, 0, 17, 13, 13
211, 2, 14, 18, 15
212, 1, 5, 21, 14
213, 1, 12, 11, 24
214, 3, 8, 16, 25
215, 2, 16, 12, 18
216, 2, 5, 16, 11
217, 1, 9, 19, 21
218, 2, 9, 16, 10
219, 1, 9, 12, 21
220, 2, 9, 19, 9
221, 0, 9, 10, 13
222, 1, 10, 19, 20
223, 0, 17, 22, 15
224, 0, 19, 20, 17
225, 3, 10, 15, 15
226, 0, 10, 16, 16
227, 1, 13, 12, 27
228, 1, 13, 19, 10
229, 2, 19, 18, 16
230, 2, 6, 21, 13
231, 2, 17, 16, 12
232, 2, 20, 15, 17
233, 5, 14, 16, 17
234, 2, 10, 11, 27
235, 3, 8, 8, 19
236, 5, 11, 9, 20
237, 2, 14, 10, 25
238, 1, 19, 18, 21
239, 0, 15, 16, 19
240, 1, 8, 13, 23
241, 3, 12, 17, 29
242, 2, 8, 10, 23
243, 3, 15, 13, 13
244, 1, 9, 13, 16
245, 4, 9, 7, 15
246, 3, 9, 15, 32
247, 3, 6, 16, 23
248, 1, 2, 14, 25
249, 4, 11, 11, 11
250, 6, 6, 11, 26
251, 3, 4, 19, 19
252, 7, 8, 8, 20
253, 5, 8, 15, 21
254, 6, 2, 15, 10
255, 254, 467, 1330, 2444
