Channel:,Lum, Red, Green, Blue
Means:,1.4174725, 1.495524, 1.337539, 2.5743942
Note: Peaks measured from 20% upward
Peaks:,1525, 4561, 4833, 3463
PeaksLevels:,255, 255, 255, 255
0, 35609, 77616, 527169, 2386
1, 7793173, 6997842, 7374436, 446220
2, 359730, 1095096, 297793, 5963741
3, 30153, 46685, 26675, 1690706
4, 11704, 17194, 11433, 102717
5, 7240, 8313, 6913, 19517
6, 5304, 5393, 4988, 9327
7, 4365, 3917, 3758, 5849
8, 3553, 3160, 2922, 4548
9, 2867, 2504, 2395, 3469
10, 2373, 2075, 2028, 2885
11, 1955, 1670, 1619, 2403
12, 1621, 1407, 1380, 2098
13, 1296, 1252, 1189, 1747
14, 1205, 1089, 1119, 1537
15, 1045, 937, 918, 1483
16, 939, 903, 846, 1261
17, 902, 820, 887, 1234
18, 816, 767, 793, 1048
19, 716, 681, 703, 904
20, 697, 625, 652, 813
21, 672, 628, 606, 787
22, 591, 564, 582, 663
23, 556, 509, 563, 554
24, 556, 492, 476, 546
25, 513, 468, 488, 551
26, 464, 449, 433, 498
27, 468, 441, 393, 480
28, 458, 409, 387, 472
29, 395, 409, 380, 417
30, 406, 394, 345, 427
31, 368, 371, 349, 388
32, 387, 363, 341, 373
33, 341, 332, 315, 360
34, 337, 313, 319, 349
35, 316, 290, 302, 326
36, 286, 312, 287, 322
37, 294, 276, 324, 289
38, 321, 268, 242, 312
39, 279, 268, 241, 297
40, 265, 240, 251, 280
41, 250, 263, 226, 261
42, 254, 223, 231, 256
43, 237, 252, 209, 243
44, 238, 209, 196, 246
45, 244, 230, 219, 252
46, 242, 230, 165, 244
47, 205, 180, 165, 242
48, 214, 202, 173, 215
49, 221, 185, 168, 191
50, 231, 188, 152, 180
51, 221, 190, 143, 200
52, 202, 162, 126, 212
53, 154, 184, 142, 197
54, 202, 167, 113, 186
55, 204, 170, 136, 210
56, 182, 132, 141, 181
57, 166, 141, 131, 167
58, 143, 141, 120, 172
59, 157, 126, 127, 172
60, 175, 155, 116, 155
61, 132, 112, 104, 140
62, 145, 115, 118, 151
63, 160, 117, 118, 157
64, 150, 103, 110, 166
