Channel:,Lum, Red, Green, Blue
Means:,0.14722463, 0.40664244, 0.2304292, 0.9766757
Note: Peaks measured from 20% upward
Peaks:,165, 217, 188, 454
PeaksLevels:,255, 255, 255, 255
0, 7783975, 5509295, 7073300, 1693001
1, 469706, 2736927, 1177854, 6006534
2, 11372, 20773, 14612, 541452
3, 4976, 6459, 6338, 20422
4, 2900, 3434, 3259, 6766
5, 2048, 2330, 2066, 3875
6, 1598, 1618, 1576, 2384
7, 1371, 1274, 1169, 1707
8, 1018, 1032, 962, 1349
9, 860, 800, 809, 1159
10, 738, 690, 693, 921
11, 607, 562, 634, 809
12, 600, 488, 517, 634
13, 513, 404, 498, 569
14, 489, 346, 423, 540
15, 464, 317, 394, 454
16, 412, 296, 377, 427
17, 347, 262, 351, 445
18, 357, 244, 323, 371
19, 306, 233, 311, 330
20, 283, 228, 292, 347
21, 292, 196, 254, 305
22, 249, 202, 265, 289
23, 268, 191, 179, 307
24, 223, 172, 224, 261
25, 226, 160, 188, 284
26, 204, 123, 195, 252
27, 213, 144, 195, 263
28, 187, 150, 168, 252
29, 195, 154, 176, 231
30, 194, 134, 160, 221
31, 165, 132, 141, 211
32, 147, 111, 149, 197
33, 180, 110, 135, 179
34, 179, 113, 116, 186
35, 154, 79, 127, 182
36, 154, 90, 115, 172
37, 137, 94, 124, 163
38, 128, 78, 107, 155
39, 130, 68, 93, 133
40, 159, 62, 99, 129
41, 118, 71, 98, 125
42, 124, 75, 104, 119
43, 140, 72, 93, 100
44, 114, 54, 96, 100
45, 120, 72, 94, 98
46, 102, 65, 85, 106
47, 113, 60, 91, 102
48, 111, 58, 86, 88
49, 109, 42, 88, 92
50, 115, 64, 81, 79
51, 95, 54, 85, 64
52, 96, 43, 62, 72
53, 81, 61, 59, 91
54, 101, 46, 61, 69
55, 94, 48, 53, 60
56, 87, 52, 44, 66
57, 88, 50, 41, 49
58, 99, 52, 53, 56
59, 94, 59, 47, 55
60, 97, 45, 41, 55
61, 90, 35, 39, 48
62, 70, 43, 42, 45
63, 69, 45, 47, 53
64, 68, 46, 44, 54
65, 84, 46, 39, 48
66, 79, 35, 39, 41
67, 66, 33, 33, 40
68, 80, 42, 29, 36
69, 83, 41, 25, 38
70, 53, 39, 32, 44
71, 82, 31, 33, 46
72, 76, 37, 26, 41
73, 68, 34, 30, 48
74, 76, 40, 28, 34
75, 56, 39, 38, 39
76, 58, 25, 31, 40
77, 62, 27, 25, 24
78, 51, 25, 30, 39
79, 43, 41, 24, 28
80, 65, 30, 28, 33
81, 55, 40, 26, 31
82, 60, 26, 28, 31
83, 69, 26, 26, 26
84, 49, 48, 27, 38
85, 55, 32, 24, 28
86, 62, 23, 28, 27
87, 48, 29, 28, 37
88, 52, 22, 26, 30
89, 56, 25, 29, 29
90, 31, 25, 28, 29
91, 42, 27, 20, 29
92, 48, 22, 12, 22
93, 47, 23, 21, 27
94, 42, 23, 17, 29
95, 58, 20, 26, 28
96, 64, 15, 15, 32
97, 63, 22, 18, 20
98, 39, 15, 26, 30
99, 30, 17, 17, 20
100, 22, 29, 17, 22
101, 34, 21, 21, 20
102, 19, 26, 22, 18
103, 33, 18, 18, 29
104, 31, 19, 22, 22
105, 27, 14, 28, 30
106, 18, 21, 20, 29
107, 34, 17, 22, 19
108, 28, 12, 28, 23
109, 26, 15, 21, 14
110, 29, 15, 16, 32
111, 21, 22, 16, 18
112, 21, 17, 17, 15
113, 22, 14, 24, 15
114, 14, 16, 17, 25
115, 18, 14, 16, 16
116, 22, 15, 23, 16
117, 20, 16, 14, 22
118, 21, 18, 17, 17
119, 16, 20, 12, 20
120, 24, 16, 24, 12
121, 11, 19, 16, 14
122, 23, 14, 22, 15
123, 17, 15, 14, 20
124, 13, 13, 16, 13
125, 15, 12, 15, 26
126, 9, 13, 11, 9
127, 23, 16, 16, 19
128, 9, 22, 20, 19
129, 6, 16, 12, 28
130, 12, 15, 17, 16
131, 7, 14, 21, 20
132, 9, 11, 12, 11
133, 7, 17, 13, 13
134, 10, 21, 19, 10
135, 10, 11, 8, 16
136, 11, 14, 15, 12
