Channel:,Lum, Red, Green, Blue
Means:,3.3118973, 2.863498, 2.5900452, 5.482148
Note: Peaks measured from 20% upward
Peaks:,737, 1486, 3814, 7039
PeaksLevels:,255, 255, 255, 255
0, 28023, 450021, 622544, 201083
1, 646136, 1332598, 2017619, 298029
2, 2439518, 2419287, 2903541, 652447
3, 3018493, 2168230, 1658722, 1178617
4, 1514745, 1099215, 606913, 1488632
5, 427051, 451928, 230900, 1481600
6, 98827, 179739, 109446, 1150768
7, 29615, 76389, 43903, 776322
8, 13408, 36405, 21908, 430074
9, 8282, 17082, 10524, 239860
10, 5849, 9950, 6764, 142930
11, 4617, 6526, 4519, 80544
12, 3569, 4626, 3670, 42838
13, 2922, 3639, 2872, 26154
14, 2431, 2882, 2474, 16535
15, 2071, 2390, 2184, 11886
16, 1876, 2102, 1837, 7527
17, 1601, 1770, 1803, 5594
18, 1451, 1662, 1527, 4656
19, 1255, 1433, 1464, 3360
20, 1106, 1210, 1383, 2700
21, 1063, 1111, 1211, 2450
22, 950, 1017, 1162, 2150
23, 894, 967, 1056, 1712
24, 875, 824, 1044, 1508
25, 863, 760, 894, 1436
26, 848, 718, 908, 1407
27, 755, 647, 849, 1178
28, 679, 589, 809, 1055
29, 759, 539, 745, 1033
30, 676, 559, 704, 885
31, 676, 508, 700, 867
32, 599, 439, 563, 762
33, 611, 452, 612, 641
34, 584, 427, 549, 715
35, 588, 400, 542, 583
36, 539, 364, 472, 645
37, 544, 320, 501, 560
38, 521, 313, 480, 508
39, 480, 294, 442, 502
40, 487, 313, 408, 453
41, 448, 279, 409, 444
42, 473, 284, 391, 453
43, 430, 267, 368, 414
44, 470, 249, 318, 389
45, 444, 246, 323, 383
46, 439, 228, 324, 371
47, 421, 212, 296, 365
48, 350, 222, 274, 351
49, 388, 213, 305, 346
50, 372, 205, 286, 346
51, 390, 188, 277, 312
52, 377, 169, 257, 323
53, 354, 209, 239, 298
54, 310, 146, 235, 308
55, 330, 164, 243, 283
56, 307, 181, 204, 286
57, 322, 141, 217, 273
58, 297, 133, 205, 240
59, 285, 158, 190, 250
60, 284, 165, 233, 257
61, 296, 160, 196, 255
62, 271, 156, 202, 250
63, 238, 128, 204, 232
64, 239, 140, 184, 267
65, 246, 112, 182, 220
66, 222, 116, 149, 215
67, 236, 97, 176, 207
68, 209, 103, 175, 215
69, 221, 146, 184, 200
70, 206, 99, 174, 207
71, 211, 92, 149, 223
72, 201, 99, 145, 192
73, 171, 117, 131, 194
74, 176, 116, 155, 159
75, 183, 102, 143, 188
76, 198, 99, 160, 179
77, 169, 105, 141, 188
78, 189, 94, 151, 175
79, 192, 101, 162, 172
80, 178, 96, 123, 144
81, 149, 94, 148, 172
82, 184, 79, 168, 156
83, 181, 107, 146, 166
84, 180, 96, 137, 172
85, 167, 84, 127, 161
86, 158, 88, 120, 137
87, 179, 97, 129, 158
88, 158, 97, 138, 156
89, 165, 81, 135, 139
90, 180, 102, 125, 147
91, 158, 80, 124, 126
92, 195, 89, 123, 120
93, 187, 78, 105, 145
94, 204, 80, 107, 130
95, 188, 77, 116, 146
96, 224, 72, 95, 137
97, 258, 76, 103, 127
98, 255, 91, 111, 117
99, 272, 73, 100, 119
100, 296, 63, 89, 125
101, 310, 75, 88, 125
102, 252, 65, 95, 133
103, 243, 62, 80, 123
104, 200, 60, 77, 116
105, 199, 69, 81, 109
106, 183, 70, 85, 142
107, 151, 61, 97, 119
108, 172, 67, 94, 98
109, 141, 70, 91, 109
110, 122, 68, 81, 88
111, 150, 60, 66, 102
112, 126, 57, 81, 111
113, 154, 52, 94, 107
114, 143, 51, 87, 94
115, 125, 56, 76, 96
