Channel:,Lum, Red, Green, Blue
Means:,2.7092192, 2.4542868, 2.0076425, 4.665914
Note: Peaks measured from 20% upward
Peaks:,136, 155, 166, 1053
PeaksLevels:,99, 255, 255, 255
0, 45428, 516693, 731290, 225032
1, 902189, 1552060, 2436818, 345925
2, 2968691, 2652208, 3002745, 764292
3, 2982314, 2121800, 1402797, 1356364
4, 1099255, 922284, 457983, 1644509
5, 215314, 325178, 148812, 1521088
6, 39430, 110759, 59570, 1076093
7, 11728, 42136, 20273, 658533
8, 5873, 18679, 8958, 326786
9, 3562, 8132, 4121, 164074
10, 2465, 4590, 2616, 89720
11, 1760, 2921, 1666, 45520
12, 1282, 2131, 1433, 22369
13, 1022, 1715, 1171, 13133
14, 766, 1296, 848, 8387
15, 656, 1064, 821, 5603
16, 537, 960, 658, 3497
17, 521, 776, 642, 2449
18, 445, 731, 565, 2005
19, 361, 631, 528, 1460
20, 350, 460, 437, 1199
21, 315, 370, 397, 1170
22, 281, 422, 381, 970
23, 254, 399, 340, 790
24, 245, 318, 302, 742
25, 255, 309, 330, 628
26, 225, 240, 315, 611
27, 184, 215, 274, 522
28, 181, 207, 251, 432
29, 194, 188, 275, 464
30, 174, 175, 227, 408
31, 164, 175, 217, 372
32, 163, 148, 183, 313
33, 161, 123, 197, 272
34, 145, 120, 184, 243
35, 129, 112, 183, 249
36, 146, 135, 161, 217
37, 143, 106, 142, 220
38, 119, 89, 136, 210
39, 133, 82, 121, 190
40, 121, 77, 138, 192
41, 120, 96, 107, 151
42, 123, 67, 106, 142
43, 115, 70, 83, 129
44, 142, 81, 110, 147
45, 121, 55, 94, 98
46, 104, 58, 67, 117
47, 111, 62, 81, 107
48, 95, 58, 78, 112
49, 97, 48, 73, 113
50, 106, 57, 72, 87
51, 94, 49, 50, 97
52, 87, 35, 64, 89
53, 100, 39, 49, 94
54, 95, 46, 48, 61
55, 85, 50, 42, 85
56, 92, 35, 56, 55
57, 97, 42, 56, 81
58, 89, 39, 41, 59
59, 80, 37, 42, 58
60, 84, 39, 59, 70
61, 81, 31, 43, 61
62, 79, 36, 32, 40
63, 76, 24, 47, 69
64, 74, 31, 47, 59
65, 81, 34, 49, 45
66, 86, 37, 39, 42
67, 81, 37, 40, 45
68, 67, 30, 29, 54
69, 65, 30, 34, 41
70, 90, 27, 32, 41
71, 84, 28, 30, 40
72, 68, 31, 37, 49
73, 70, 23, 40, 42
74, 68, 23, 34, 47
75, 59, 28, 35, 31
76, 82, 27, 32, 36
77, 72, 31, 33, 45
78, 67, 20, 35, 33
79, 60, 24, 23, 42
80, 73, 32, 22, 26
81, 62, 25, 35, 39
82, 65, 24, 32, 38
83, 61, 15, 29, 42
84, 68, 23, 39, 44
85, 60, 23, 30, 37
86, 68, 25, 31, 30
87, 62, 19, 23, 35
88, 67, 19, 25, 25
89, 76, 26, 47, 40
90, 73, 16, 24, 32
91, 62, 27, 30, 34
92, 45, 27, 22, 35
93, 74, 30, 29, 20
94, 91, 13, 21, 31
95, 80, 25, 20, 25
96, 75, 13, 30, 19
97, 112, 26, 28, 24
98, 114, 22, 23, 24
99, 136, 7, 31, 25
100, 113, 15, 30, 29
101, 95, 18, 21, 30
102, 84, 19, 30, 20
103, 79, 20, 27, 28
104, 73, 23, 27, 29
105, 57, 19, 32, 25
106, 50, 26, 24, 26
107, 39, 14, 19, 21
108, 32, 19, 23, 18
109, 34, 12, 27, 27
110, 27, 18, 18, 22
111, 28, 8, 28, 24
112, 31, 16, 19, 20
113, 26, 14, 30, 17
114, 21, 16, 18, 19
115, 24, 12, 20, 26
116, 24, 13, 22, 26
117, 26, 14, 20, 24
118, 27, 14, 12, 20
119, 34, 11, 24, 13
120, 22, 16, 19, 23
121, 11, 16, 25, 17
122, 19, 16, 11, 29
123, 22, 13, 19, 17
124, 14, 16, 24, 19
125, 17, 13, 14, 21
126, 21, 16, 23, 19
127, 17, 9, 27, 24
128, 10, 14, 22, 13
129, 24, 18, 17, 20
130, 14, 15, 14, 17
131, 17, 11, 15, 11
132, 20, 12, 21, 19
133, 12, 10, 17, 22
134, 20, 11, 25, 13
135, 21, 9, 18, 12
136, 19, 11, 22, 14
137, 23, 9, 22, 17
138, 18, 11, 20, 14
139, 18, 17, 22, 14
140, 15, 9, 35, 17
141, 7, 18, 21, 15
142, 12, 11, 19, 18
143, 15, 13, 24, 19
144, 16, 6, 27, 22
145, 11, 11, 15, 16
146, 13, 9, 19, 15
147, 11, 10, 14, 10
148, 8, 11, 21, 19
149, 10, 13, 17, 7
150, 7, 9, 19, 18
151, 10, 9, 30, 10
152, 11, 11, 11, 23
153, 6, 8, 15, 14
154, 6, 9, 21, 18
155, 6, 8, 15, 13
156, 7, 9, 16, 12
157, 9, 6, 10, 11
158, 5, 5, 12, 8
159, 5, 4, 14, 16
160, 7, 9, 9, 11
161, 7, 4, 16, 17
162, 1, 6, 13, 15
163, 7, 10, 7, 19
164, 3, 3, 21, 16
165, 3, 11, 16, 12
166, 2, 9, 22, 15
167, 3, 3, 9, 20
168, 4, 4, 18, 17
169, 3, 7, 22, 21
170, 3, 8, 9, 15
171, 1, 1, 12, 20
172, 4, 3, 7, 15
173, 0, 3, 16, 16
174, 2, 4, 14, 10
175, 0, 5, 17, 20
176, 0, 5, 9, 13
