Channel:,Lum, Red, Green, Blue
Means:,1.3893045, 1.4662702, 1.2425764, 2.408188
Note: Peaks measured from 20% upward
Peaks:,3239, 5978, 6689, 7194
PeaksLevels:,255, 255, 255, 255
0, 1470579, 1368153, 2743672, 309968
1, 6118236, 5484803, 4705880, 2662289
2, 569312, 1197981, 668365, 3622646
3, 39174, 134706, 79879, 1238483
4, 16561, 28785, 18813, 283283
5, 10338, 13784, 10379, 71182
6, 7155, 8841, 7206, 23772
7, 5223, 5965, 5339, 11572
8, 3907, 4332, 3985, 7235
9, 3024, 3336, 3177, 5088
10, 2478, 2645, 2567, 4136
11, 2170, 2038, 2152, 3228
12, 1887, 1685, 1879, 2490
13, 1725, 1550, 1679, 2133
14, 1527, 1300, 1472, 1789
15, 1350, 1117, 1362, 1567
16, 1275, 1044, 1296, 1404
17, 1184, 958, 1157, 1232
18, 1099, 860, 1049, 1140
19, 1044, 791, 995, 1018
20, 978, 731, 931, 965
21, 916, 675, 866, 955
22, 849, 711, 825, 888
23, 817, 595, 736, 822
24, 738, 542, 684, 783
25, 687, 555, 628, 688
26, 643, 503, 608, 709
27, 539, 474, 563, 664
28, 585, 472, 585, 606
29, 495, 462, 517, 590
30, 508, 452, 513, 533
31, 446, 385, 480, 562
32, 411, 406, 425, 517
33, 417, 367, 461, 533
34, 396, 346, 410, 492
35, 357, 340, 428, 462
36, 351, 334, 403, 458
37, 338, 322, 369, 418
38, 352, 294, 336, 417
39, 297, 299, 359, 412
40, 318, 276, 296, 395
41, 302, 274, 309, 404
42, 309, 241, 263, 376
43, 279, 264, 256, 352
44, 257, 251, 268, 351
45, 235, 200, 249, 309
46, 266, 229, 231, 306
47, 263, 249, 203, 283
48, 228, 213, 205, 297
49, 200, 215, 204, 282
50, 229, 194, 220, 264
51, 213, 195, 183, 268
52, 195, 181, 180, 280
53, 188, 200, 184, 269
54, 186, 176, 177, 235
55, 217, 189, 169, 220
56, 177, 175, 154, 215
57, 189, 151, 179, 203
58, 179, 147, 164, 202
59, 170, 149, 156, 196
60, 149, 160, 149, 194
61, 178, 139, 172, 187
62, 160, 132, 148, 168
63, 162, 166, 139, 190
64, 142, 132, 139, 170
65, 174, 139, 136, 172
66, 158, 139, 129, 159
67, 131, 137, 133, 170
68, 138, 118, 127, 165
69, 133, 115, 131, 150
70, 117, 142, 116, 137
71, 161, 123, 107, 144
72, 148, 111, 110, 129
73, 170, 106, 107, 148
74, 95, 116, 112, 130
75, 122, 104, 101, 132
76, 116, 94, 82, 152
77, 132, 118, 96, 143
78, 123, 114, 86, 118
79, 123, 105, 95, 129
80, 109, 110, 77, 100
81, 132, 109, 89, 114
82, 117, 103, 108, 96
83, 114, 81, 90, 113
84, 108, 95, 84, 102
85, 108, 89, 81, 119
86, 120, 91, 89, 112
87, 112, 79, 70, 108
88, 105, 82, 80, 96
89, 119, 86, 86, 112
90, 106, 67, 87, 101
91, 114, 76, 66, 90
92, 85, 90, 77, 91
93, 106, 84, 65, 98
94, 95, 72, 64, 97
95, 110, 84, 63, 95
96, 118, 60, 73, 94
97, 130, 71, 79, 93
98, 119, 68, 72, 93
99, 127, 56, 65, 96
100, 131, 64, 72, 78
101, 97, 60, 75, 70
102, 137, 86, 71, 94
103, 121, 67, 61, 83
104, 114, 54, 65, 89
105, 91, 60, 67, 89
106, 95, 71, 62, 79
107, 135, 58, 58, 71
108, 107, 61, 50, 82
109, 100, 72, 56, 82
110, 93, 54, 56, 72
111, 105, 56, 66, 80
112, 101, 67, 66, 92
113, 85, 53, 57, 66
114, 93, 52, 45, 74
115, 90, 60, 58, 60
116, 95, 52, 49, 67
