Channel:,Lum, Red, Green, Blue
Means:,1.1966819, 1.2354212, 1.1105175, 2.1693172
Note: Peaks measured from 20% upward
Peaks:,923, 1147, 1013, 3987
PeaksLevels:,255, 255, 255, 255
0, 1313321, 1272742, 2336864, 202242
1, 6485420, 5887645, 5160718, 2832536
2, 409167, 992643, 672001, 3860251
3, 21593, 75594, 57432, 1085872
4, 8035, 12070, 12558, 199650
5, 4844, 6045, 6159, 42017
6, 3750, 4259, 3784, 13327
7, 2727, 3068, 2622, 6758
8, 2135, 2577, 2127, 4409
9, 1777, 2201, 1717, 3345
10, 1548, 1970, 1461, 2779
11, 1470, 1652, 1311, 2268
12, 1222, 1453, 1151, 1817
13, 1040, 1229, 1036, 1583
14, 905, 1084, 971, 1380
15, 858, 985, 908, 1217
16, 813, 949, 866, 1064
17, 810, 838, 823, 964
18, 778, 776, 784, 914
19, 674, 738, 690, 795
20, 692, 672, 672, 717
21, 615, 660, 612, 690
22, 583, 568, 668, 680
23, 565, 607, 670, 654
24, 500, 640, 570, 614
25, 511, 647, 598, 650
26, 462, 581, 551, 573
27, 490, 578, 596, 607
28, 455, 493, 567, 568
29, 435, 459, 581, 619
30, 462, 403, 543, 589
31, 412, 446, 526, 559
32, 415, 427, 528, 516
33, 437, 365, 516, 522
34, 394, 403, 499, 507
35, 385, 353, 514, 467
36, 401, 324, 502, 484
37, 391, 293, 480, 429
38, 351, 266, 485, 453
39, 347, 268, 427, 416
40, 389, 248, 443, 389
41, 342, 213, 404, 381
42, 394, 215, 372, 389
43, 319, 196, 389, 367
44, 325, 204, 339, 348
45, 390, 192, 352, 353
46, 349, 196, 344, 278
47, 326, 171, 348, 255
48, 292, 173, 347, 248
49, 279, 188, 345, 238
50, 285, 184, 287, 215
51, 294, 183, 303, 198
52, 288, 160, 274, 218
53, 269, 159, 222, 172
54, 246, 174, 221, 178
55, 264, 169, 198, 197
56, 261, 153, 211, 155
57, 268, 140, 176, 133
58, 282, 132, 147, 141
59, 284, 138, 153, 152
60, 243, 142, 146, 150
61, 268, 149, 130, 141
62, 261, 155, 129, 128
63, 270, 179, 115, 144
64, 263, 170, 128, 139
65, 279, 139, 121, 114
66, 262, 147, 113, 103
67, 236, 126, 112, 105
68, 212, 138, 106, 92
69, 240, 123, 107, 86
70, 216, 142, 121, 93
