Channel:,Lum, Red, Green, Blue
Means:,1.4743578, 1.511897, 1.3301109, 2.5279577
Note: Peaks measured from 20% upward
Peaks:,4014, 6663, 8480, 9906
PeaksLevels:,255, 255, 255, 255
0, 1558003, 1442260, 2834251, 314112
1, 6047293, 5492693, 4626958, 2691307
2, 530253, 1117068, 642550, 3606557
3, 44206, 125422, 79112, 1207730
4, 20271, 29288, 21251, 276122
5, 12175, 14166, 12146, 71768
6, 8276, 9102, 8048, 26330
7, 6076, 6454, 6015, 13491
8, 4812, 4508, 4743, 8711
9, 3899, 3566, 3847, 6525
10, 3073, 2874, 3102, 5129
11, 2567, 2268, 2517, 3935
12, 2127, 1931, 2171, 3233
13, 1817, 1687, 1879, 2830
14, 1634, 1463, 1558, 2489
15, 1442, 1322, 1398, 2165
16, 1300, 1159, 1310, 1942
17, 1246, 1084, 1180, 1653
18, 1151, 954, 1103, 1453
19, 1076, 901, 1008, 1332
20, 1009, 804, 988, 1144
21, 949, 763, 910, 1107
22, 853, 684, 862, 974
23, 865, 677, 807, 864
24, 825, 626, 747, 847
25, 815, 584, 704, 759
26, 752, 522, 656, 710
27, 693, 578, 654, 681
28, 733, 531, 643, 672
29, 673, 487, 587, 610
30, 664, 490, 590, 599
31, 596, 457, 517, 609
32, 625, 447, 495, 531
33, 556, 371, 509, 544
34, 523, 387, 464, 487
35, 529, 400, 424, 524
36, 482, 379, 428, 489
37, 427, 335, 425, 437
38, 440, 344, 403, 444
39, 396, 366, 365, 423
40, 384, 320, 390, 399
41, 364, 323, 360, 382
42, 353, 311, 330, 394
43, 280, 318, 277, 382
44, 338, 288, 297, 381
45, 289, 295, 304, 349
46, 239, 282, 289, 359
47, 247, 258, 290, 347
48, 310, 240, 289, 315
49, 238, 274, 279, 365
50, 256, 234, 289, 316
51, 253, 212, 288, 324
52, 212, 230, 262, 317
53, 216, 198, 285, 313
54, 197, 228, 252, 343
55, 208, 235, 258, 296
56, 203, 203, 213, 301
57, 177, 198, 242, 274
58, 215, 195, 207, 265
59, 191, 226, 200, 236
60, 185, 191, 201, 265
61, 187, 187, 168, 276
62, 163, 158, 182, 242
63, 176, 163, 170, 257
64, 188, 173, 194, 253
65, 165, 186, 166, 230
66, 149, 147, 175, 221
67, 184, 147, 146, 221
68, 205, 142, 148, 211
69, 164, 160, 154, 200
70, 141, 136, 147, 201
71, 154, 156, 146, 215
72, 124, 134, 127, 221
73, 146, 122, 116, 198
74, 120, 128, 124, 187
75, 154, 120, 130, 168
76, 124, 126, 122, 186
77, 142, 110, 124, 185
78, 154, 107, 113, 158
79, 154, 118, 119, 167
80, 141, 96, 121, 152
81, 134, 119, 117, 161
82, 138, 99, 127, 167
83, 104, 115, 102, 110
84, 143, 111, 92, 139
85, 110, 99, 109, 133
86, 108, 111, 116, 125
87, 124, 96, 107, 118
88, 128, 113, 84, 122
89, 108, 94, 87, 120
90, 120, 92, 90, 101
91, 114, 96, 90, 97
92, 104, 77, 95, 101
93, 103, 74, 81, 106
94, 111, 75, 102, 120
95, 107, 82, 91, 116
96, 107, 98, 97, 111
97, 113, 86, 81, 86
98, 107, 73, 68, 103
99, 128, 76, 78, 88
100, 118, 70, 84, 94
101, 122, 66, 67, 102
102, 119, 75, 91, 97
103, 123, 87, 82, 94
104, 122, 70, 79, 84
105, 123, 86, 80, 111
106, 121, 61, 72, 77
107, 118, 73, 85, 85
108, 129, 73, 79, 87
109, 116, 58, 84, 95
110, 116, 81, 84, 74
111, 118, 61, 69, 97
112, 109, 77, 62, 83
113, 95, 58, 75, 77
114, 113, 75, 70, 78
115, 114, 65, 85, 108
116, 94, 58, 71, 61
117, 124, 48, 56, 87
118, 119, 67, 57, 72
119, 101, 70, 59, 63
120, 121, 61, 62, 84
121, 88, 74, 67, 76
122, 93, 66, 58, 76
123, 92, 59, 70, 85
124, 97, 61, 48, 73
125, 94, 57, 71, 81
126, 93, 51, 52, 78
127, 88, 64, 49, 77
128, 101, 67, 45, 69
129, 82, 54, 64, 69
130, 93, 59, 46, 65
131, 98, 62, 52, 67
132, 77, 56, 49, 56
133, 94, 57, 45, 75
134, 108, 49, 46, 67
135, 89, 49, 53, 53
136, 80, 61, 52, 54
137, 83, 54, 48, 53
138, 86, 59, 36, 73
139, 89, 52, 50, 54
140, 95, 57, 30, 70
141, 97, 54, 37, 58
142, 91, 57, 53, 53
143, 83, 47, 55, 52
144, 84, 57, 50, 50
145, 103, 47, 50, 55
