Channel:,Lum, Red, Green, Blue
Means:,0.8997437, 1.0370778, 0.806247, 1.828927
Note: Peaks measured from 20% upward
Peaks:,516, 2004, 3702, 5280
PeaksLevels:,255, 255, 255, 255
0, 3505977, 2172201, 4429016, 336859
1, 4653204, 5712969, 3654608, 4344759
2, 62921, 337421, 142614, 3086848
3, 15127, 21694, 15543, 395789
4, 7507, 7884, 7534, 53152
5, 5087, 4591, 4903, 15706
6, 3921, 3121, 3412, 8480
7, 3172, 2355, 2563, 5413
8, 2442, 1799, 2103, 3910
9, 1921, 1444, 1599, 2963
10, 1509, 1185, 1364, 2537
11, 1279, 1055, 1202, 2158
12, 1100, 951, 989, 1895
13, 894, 859, 843, 1719
14, 787, 820, 797, 1476
15, 764, 747, 719, 1433
16, 720, 669, 630, 1279
17, 659, 622, 672, 1121
18, 572, 594, 531, 948
19, 570, 545, 441, 795
20, 489, 473, 489, 757
21, 447, 455, 424, 660
22, 438, 448, 434, 569
23, 427, 438, 414, 542
24, 367, 378, 403, 485
25, 373, 395, 377, 503
26, 354, 357, 355, 453
27, 343, 362, 315, 395
28, 315, 366, 335, 373
29, 302, 311, 281, 324
30, 318, 339, 285, 329
31, 335, 293, 291, 314
32, 295, 309, 273, 304
33, 261, 280, 239, 299
34, 237, 255, 226, 264
35, 213, 280, 241, 245
36, 213, 293, 222, 224
37, 218, 245, 217, 233
38, 224, 245, 204, 237
39, 198, 260, 197, 239
40, 210, 252, 192, 213
41, 188, 242, 183, 218
42, 187, 234, 183, 217
43, 171, 249, 188, 195
44, 176, 230, 166, 171
45, 187, 196, 144, 205
46, 162, 200, 164, 173
47, 147, 199, 173, 201
48, 158, 185, 170, 213
49, 153, 182, 161, 155
50, 150, 189, 157, 151
51, 152, 150, 131, 160
52, 151, 150, 143, 171
53, 142, 136, 110, 177
54, 131, 143, 138, 130
55, 138, 135, 141, 139
56, 114, 136, 139, 132
57, 123, 110, 125, 141
58, 127, 139, 136, 135
59, 129, 124, 145, 136
60, 138, 118, 123, 121
61, 104, 145, 145, 121
62, 120, 108, 108, 124
63, 122, 114, 111, 133
64, 118, 123, 103, 110
65, 118, 108, 110, 118
66, 112, 98, 136, 123
67, 113, 116, 113, 107
68, 117, 79, 108, 120
69, 110, 103, 94, 97
70, 119, 87, 97, 112
71, 113, 103, 94, 107
72, 110, 101, 102, 103
73, 109, 92, 88, 129
74, 87, 97, 101, 109
75, 90, 89, 91, 113
76, 119, 83, 91, 94
77, 89, 92, 94, 107
78, 94, 100, 92, 106
79, 94, 94, 81, 100
80, 90, 85, 72, 101
81, 81, 96, 81, 113
82, 97, 81, 89, 109
83, 86, 75, 65, 89
84, 103, 76, 77, 124
85, 92, 86, 77, 104
86, 99, 77, 86, 98
87, 97, 83, 93, 118
88, 89, 79, 62, 99
89, 93, 76, 69, 99
90, 89, 89, 73, 92
91, 98, 71, 78, 87
92, 90, 85, 83, 85
93, 68, 80, 63, 83
94, 84, 72, 65, 69
95, 76, 78, 85, 74
96, 81, 99, 75, 83
97, 94, 76, 72, 61
98, 92, 72, 78, 75
99, 84, 73, 71, 67
100, 99, 64, 75, 63
101, 86, 88, 88, 63
102, 124, 74, 73, 66
103, 118, 71, 63, 70
104, 99, 67, 72, 53
105, 105, 76, 64, 54
106, 98, 79, 50, 49
107, 96, 69, 70, 54
108, 89, 76, 72, 45
109, 87, 74, 61, 34
110, 98, 60, 82, 34
111, 92, 58, 75, 42
112, 73, 58, 73, 50
113, 102, 76, 64, 39
114, 112, 60, 62, 30
115, 88, 58, 83, 37
116, 70, 62, 68, 34
117, 92, 56, 63, 38
118, 82, 61, 61, 46
119, 81, 60, 70, 37
120, 88, 47, 72, 32
121, 90, 51, 53, 48
122, 90, 53, 58, 40
123, 67, 39, 45, 43
124, 80, 30, 44, 32
125, 102, 39, 58, 32
126, 72, 47, 43, 38
127, 91, 51, 57, 41
128, 94, 50, 43, 37
129, 91, 52, 45, 37
130, 102, 39, 48, 32
131, 91, 42, 51, 32
132, 92, 34, 53, 32
133, 94, 45, 48, 33
134, 87, 43, 42, 32
135, 105, 45, 37, 30
136, 86, 41, 48, 36
137, 101, 50, 40, 28
138, 95, 40, 44, 35
139, 79, 48, 43, 35
140, 61, 39, 41, 36
141, 97, 47, 43, 40
142, 90, 27, 46, 35
143, 88, 42, 34, 34
144, 98, 36, 47, 32
145, 92, 36, 25, 31
146, 101, 43, 36, 32
147, 81, 30, 33, 22
148, 111, 41, 33, 29
149, 96, 29, 29, 32
150, 96, 30, 42, 40
151, 98, 34, 30, 28
152, 127, 26, 31, 38
153, 90, 34, 46, 27
154, 104, 28, 26, 23
155, 83, 26, 37, 34
156, 106, 24, 32, 19
157, 114, 30, 38, 41
158, 106, 28, 46, 38
159, 90, 25, 32, 25
160, 76, 26, 33, 21
161, 86, 25, 44, 25
162, 91, 36, 47, 29
163, 83, 36, 31, 32
164, 81, 23, 36, 33
165, 76, 29, 30, 23
166, 75, 25, 47, 22
167, 78, 18, 43, 22
168, 75, 23, 38, 29
169, 74, 20, 41, 20
170, 66, 22, 31, 19
171, 70, 20, 28, 30
172, 59, 19, 39, 33
173, 69, 21, 24, 35
174, 61, 23, 30, 27
175, 68, 16, 38, 29
176, 98, 27, 29, 29
177, 117, 13, 32, 30
178, 134, 20, 26, 20
179, 132, 25, 28, 18
180, 153, 20, 35, 30
181, 154, 22, 23, 18
182, 139, 20, 23, 20
183, 152, 16, 25, 21
184, 160, 19, 31, 22
185, 138, 18, 31, 22
186, 131, 19, 28, 19
187, 93, 19, 25, 20
188, 82, 35, 22, 22
189, 75, 26, 37, 20
190, 75, 25, 20, 12
191, 58, 29, 27, 18
192, 66, 21, 25, 24
193, 60, 31, 19, 11
194, 59, 15, 29, 18
195, 54, 29, 36, 21
196, 65, 25, 25, 14
197, 67, 26, 25, 21
198, 39, 20, 37, 16
199, 49, 27, 20, 20
200, 42, 19, 25, 20
201, 49, 16, 37, 18
202, 50, 23, 23, 24
203, 67, 24, 36, 26
204, 49, 13, 28, 21
205, 58, 18, 24, 14
206, 53, 12, 30, 30
207, 62, 12, 39, 22
208, 43, 14, 25, 30
209, 56, 17, 27, 13
210, 41, 12, 19, 19
211, 42, 21, 24, 31
212, 44, 21, 25, 28
213, 56, 17, 26, 32
214, 41, 17, 25, 33
215, 41, 18, 18, 19
216, 28, 22, 33, 28
217, 31, 17, 34, 19
218, 28, 24, 17, 29
219, 26, 15, 24, 33
