Channel:,Lum, Red, Green, Blue
Means:,0.8043619, 0.9465191, 0.66811055, 1.7521186
Note: Peaks measured from 20% upward
Peaks:,227, 656, 1478, 2540
PeaksLevels:,255, 255, 255, 255
0, 3160607, 2114880, 4363980, 456827
1, 4995375, 5590433, 3699722, 3807236
2, 85468, 520773, 178058, 3308864
3, 14072, 30007, 14475, 581311
4, 6972, 8441, 6703, 77209
5, 3951, 4560, 4212, 17598
6, 2555, 3037, 2930, 7964
7, 1747, 2121, 2052, 5012
8, 1443, 1583, 1580, 3651
9, 1093, 1236, 1179, 2748
10, 883, 1050, 957, 2069
11, 777, 832, 809, 1567
12, 736, 760, 662, 1212
13, 605, 675, 626, 1016
14, 527, 565, 553, 876
15, 438, 530, 550, 730
16, 425, 415, 463, 659
17, 429, 432, 442, 551
18, 402, 380, 396, 498
19, 333, 345, 430, 449
20, 356, 338, 377, 425
21, 320, 315, 386, 435
22, 309, 298, 320, 363
23, 309, 294, 331, 346
24, 291, 238, 266, 305
25, 266, 248, 249, 302
26, 257, 223, 262, 297
27, 229, 231, 241, 259
28, 242, 202, 269, 255
29, 206, 204, 231, 245
30, 181, 190, 219, 241
31, 213, 181, 222, 224
32, 184, 195, 185, 224
33, 218, 172, 202, 199
34, 175, 166, 175, 187
35, 183, 155, 198, 183
36, 151, 135, 174, 192
37, 173, 151, 185, 183
38, 165, 140, 156, 178
39, 142, 141, 124, 148
40, 153, 144, 148, 150
41, 143, 137, 132, 142
42, 171, 110, 138, 147
43, 150, 109, 115, 154
44, 147, 96, 133, 152
45, 126, 97, 112, 134
46, 131, 134, 145, 168
47, 109, 101, 134, 134
48, 115, 105, 114, 121
49, 125, 95, 88, 127
50, 126, 87, 85, 97
51, 106, 99, 96, 124
52, 101, 86, 86, 115
53, 118, 93, 98, 108
54, 120, 96, 97, 109
55, 111, 65, 81, 106
56, 99, 84, 86, 110
57, 99, 81, 99, 107
58, 114, 70, 76, 97
59, 86, 63, 81, 86
60, 107, 70, 84, 108
61, 86, 88, 82, 102
62, 109, 69, 73, 78
63, 94, 67, 78, 97
64, 99, 51, 83, 85
65, 97, 68, 75, 82
66, 97, 68, 56, 74
67, 81, 74, 68, 99
68, 73, 70, 72, 87
69, 75, 64, 45, 79
70, 86, 58, 59, 68
71, 73, 55, 56, 82
72, 75, 53, 55, 101
73, 99, 55, 55, 70
74, 92, 58, 63, 85
75, 67, 60, 50, 82
76, 89, 49, 58, 72
77, 67, 49, 61, 72
78, 90, 46, 56, 67
79, 71, 58, 50, 64
80, 79, 56, 80, 65
81, 76, 46, 60, 65
82, 74, 47, 58, 62
83, 72, 40, 54, 69
84, 68, 35, 48, 49
85, 67, 48, 49, 64
86, 66, 45, 47, 51
87, 64, 36, 37, 57
88, 87, 41, 49, 50
89, 70, 45, 58, 48
90, 65, 35, 48, 46
91, 66, 38, 43, 47
92, 83, 44, 48, 29
93, 62, 41, 56, 38
94, 62, 32, 46, 44
95, 73, 43, 45, 43
96, 110, 54, 53, 50
97, 96, 38, 52, 39
98, 71, 27, 49, 27
99, 108, 31, 46, 39
100, 95, 22, 52, 27
101, 87, 39, 42, 37
102, 75, 43, 60, 43
103, 94, 21, 46, 45
104, 80, 24, 37, 32
105, 94, 36, 39, 35
106, 95, 25, 53, 33
107, 91, 23, 48, 30
108, 68, 29, 48, 36
109, 58, 28, 47, 32
110, 70, 29, 42, 32
111, 77, 22, 34, 30
112, 69, 27, 40, 35
113, 69, 36, 43, 33
114, 60, 36, 42, 26
115, 73, 30, 30, 39
116, 52, 23, 43, 33
117, 60, 23, 40, 31
118, 67, 17, 28, 31
119, 46, 24, 35, 30
120, 68, 32, 27, 25
121, 52, 27, 29, 27
122, 73, 27, 31, 24
123, 61, 28, 29, 45
124, 61, 23, 25, 36
125, 64, 23, 22, 31
126, 68, 24, 19, 26
127, 60, 25, 23, 23
128, 57, 16, 22, 33
129, 55, 24, 27, 31
130, 55, 20, 24, 26
131, 56, 24, 20, 21
132, 60, 20, 15, 25
133, 63, 17, 17, 27
134, 58, 14, 26, 26
135, 52, 15, 21, 16
136, 39, 15, 26, 23
137, 47, 22, 14, 30
138, 47, 25, 29, 27
139, 46, 14, 23, 33
140, 59, 23, 18, 24
141, 40, 22, 23, 25
142, 47, 19, 25, 25
143, 38, 12, 13, 24
144, 52, 21, 16, 20
145, 49, 28, 22, 19
146, 41, 19, 17, 24
147, 41, 13, 17, 27
148, 46, 14, 23, 25
149, 34, 15, 12, 26
150, 46, 22, 12, 28
151, 45, 14, 17, 19
152, 45, 23, 18, 23
153, 38, 14, 17, 17
154, 38, 18, 11, 12
155, 36, 17, 13, 25
156, 31, 13, 14, 18
157, 34, 19, 16, 26
158, 31, 14, 13, 14
159, 30, 20, 19, 20
160, 48, 16, 16, 26
161, 34, 18, 21, 24
162, 30, 18, 11, 25
163, 23, 18, 11, 21
164, 31, 10, 16, 22
165, 32, 15, 13, 24
166, 30, 5, 17, 31
167, 22, 15, 10, 16
168, 22, 21, 11, 17
169, 35, 19, 12, 17
170, 33, 7, 9, 20
171, 23, 14, 10, 13
172, 31, 16, 15, 18
173, 37, 12, 16, 12
174, 25, 9, 10, 14
175, 34, 11, 17, 14
176, 44, 9, 6, 12
177, 64, 14, 9, 18
178, 79, 15, 10, 17
179, 86, 13, 10, 22
180, 78, 11, 14, 13
181, 67, 8, 7, 10
182, 61, 15, 14, 18
183, 47, 8, 16, 20
184, 33, 12, 15, 15
185, 35, 15, 8, 22
186, 29, 10, 9, 8
187, 25, 8, 14, 14
188, 27, 18, 17, 22
189, 26, 15, 11, 19
190, 21, 11, 15, 18
191, 26, 14, 12, 16
192, 15, 8, 20, 23
193, 19, 14, 14, 19
194, 17, 11, 14, 15
195, 23, 10, 17, 16
196, 7, 14, 14, 25
197, 10, 16, 17, 20
198, 12, 9, 13, 25
199, 12, 12, 14, 13
200, 10, 13, 18, 16
201, 12, 6, 20, 25
202, 15, 15, 8, 29
203, 7, 13, 13, 24
204, 11, 14, 18, 27
205, 15, 18, 14, 26
206, 15, 11, 17, 24
207, 17, 17, 14, 19
208, 15, 17, 12, 25
209, 8, 7, 14, 16
210, 9, 8, 11, 16
211, 14, 9, 13, 14
212, 11, 8, 19, 15
213, 5, 14, 13, 22
214, 5, 13, 17, 18
215, 4, 9, 20, 18
216, 4, 16, 16, 18
217, 1, 15, 15, 28
218, 5, 13, 13, 22
219, 2, 8, 14, 12
220, 4, 14, 11, 15
221, 3, 14, 9, 10
222, 1, 8, 9, 25
223, 4, 13, 15, 17
224, 0, 11, 11, 19
225, 1, 8, 12, 25
226, 1, 15, 16, 24
227, 1, 12, 15, 19
228, 4, 12, 10, 21
229, 1, 15, 12, 24
230, 0, 12, 10, 20
231, 1, 20, 14, 21
232, 1, 10, 11, 23
233, 3, 10, 18, 20
234, 0, 16, 18, 24
235, 0, 11, 17, 23
236, 1, 13, 20, 33
237, 3, 7, 7, 14
238, 4, 12, 10, 16
239, 4, 7, 9, 11
240, 3, 10, 11, 28
241, 3, 11, 25, 13
242, 1, 8, 10, 19
243, 1, 14, 12, 23
244, 0, 11, 12, 20
245, 2, 12, 12, 20
246, 3, 6, 10, 11
247, 7, 4, 16, 27
248, 4, 7, 7, 15
249, 4, 10, 7, 17
250, 1, 9, 13, 14
251, 8, 4, 13, 25
252, 4, 2, 14, 15
253, 5, 3, 12, 13
254, 5, 7, 16, 20
255, 227, 656, 1478, 2540
