Channel:,Lum, Red, Green, Blue
Means:,1.5398619, 1.6291022, 1.3587292, 2.6280227
Note: Peaks measured from 20% upward
Peaks:,1809, 4714, 6087, 6259
PeaksLevels:,255, 255, 255, 255
0, 818221, 972752, 2092668, 308832
1, 5880341, 4853469, 4957717, 1894648
2, 1425525, 2030497, 981081, 3422364
3, 73163, 305981, 158104, 1833785
4, 19904, 54750, 29063, 540128
5, 10783, 16413, 11493, 150842
6, 6974, 8252, 7036, 48198
7, 5065, 5189, 5087, 19472
8, 3877, 3636, 3710, 10279
9, 3074, 2764, 3019, 6585
10, 2588, 2219, 2629, 5014
11, 2348, 1878, 2276, 3628
12, 2030, 1562, 1978, 2953
13, 1784, 1320, 1684, 2486
14, 1574, 1227, 1530, 2096
15, 1423, 1046, 1389, 1841
16, 1252, 953, 1236, 1649
17, 1105, 846, 1141, 1403
18, 967, 762, 1025, 1318
19, 901, 766, 922, 1234
20, 797, 678, 848, 1108
21, 766, 604, 847, 1076
22, 631, 599, 752, 1004
23, 603, 576, 722, 866
24, 636, 556, 747, 830
25, 532, 525, 612, 795
26, 502, 502, 605, 717
27, 486, 473, 537, 683
28, 499, 418, 460, 641
29, 492, 441, 454, 560
30, 445, 365, 398, 540
31, 415, 382, 408, 581
32, 405, 365, 346, 512
33, 394, 365, 351, 493
34, 365, 306, 335, 441
35, 364, 344, 297, 411
36, 353, 323, 283, 364
37, 319, 299, 301, 389
38, 294, 279, 245, 380
39, 296, 244, 271, 358
40, 266, 252, 270, 340
41, 251, 231, 243, 272
42, 280, 274, 217, 331
43, 218, 250, 230, 284
44, 232, 244, 203, 318
45, 265, 211, 207, 285
46, 233, 208, 212, 268
47, 190, 228, 179, 250
48, 181, 193, 198, 257
49, 179, 208, 208, 258
50, 180, 188, 184, 236
51, 194, 181, 167, 206
52, 195, 177, 185, 240
53, 184, 173, 171, 218
54, 164, 173, 151, 203
55, 181, 184, 159, 201
56, 165, 164, 152, 189
57, 176, 166, 145, 195
58, 162, 144, 134, 189
59, 116, 144, 150, 170
60, 153, 149, 120, 169
61, 153, 165, 131, 188
62, 138, 137, 154, 158
63, 154, 153, 134, 163
64, 147, 147, 123, 174
65, 139, 136, 124, 141
66, 126, 123, 120, 140
67, 129, 118, 108, 134
68, 139, 109, 118, 140
69, 124, 138, 117, 170
70, 148, 135, 124, 127
71, 123, 117, 104, 116
72, 115, 105, 93, 131
73, 131, 116, 101, 127
74, 112, 127, 92, 117
75, 100, 116, 78, 117
76, 97, 107, 92, 127
