Channel:,Lum, Red, Green, Blue
Means:,4.741614, 4.1911073, 3.4807847, 7.552961
Note: Peaks measured from 20% upward
Peaks:,284, 1639, 2048, 2376
PeaksLevels:,255, 255, 255, 255
0, 6073, 394505, 541210, 222685
1, 125616, 575888, 807096, 161541
2, 618184, 1097395, 1578661, 266194
3, 1434995, 1525979, 2042204, 443190
4, 2063725, 1574746, 1487183, 659764
5, 1911114, 1256304, 893473, 853171
6, 1193928, 816673, 410230, 937170
7, 553595, 469411, 234149, 1014903
8, 216604, 251141, 113762, 943890
9, 79975, 133395, 73700, 790260
10, 31122, 77153, 36428, 606848
11, 14239, 38538, 23319, 437118
12, 7846, 22796, 11690, 283211
13, 5145, 13984, 7370, 210721
14, 3709, 8868, 5214, 140446
15, 2782, 5799, 3104, 84513
16, 2140, 4161, 2500, 65136
17, 1687, 3008, 1657, 44342
18, 1432, 2397, 1406, 30599
19, 1154, 1817, 1081, 18211
20, 927, 1592, 962, 15562
21, 797, 1292, 740, 11150
22, 824, 1149, 784, 8101
23, 623, 1006, 630, 6003
24, 535, 828, 573, 4467
25, 520, 755, 515, 2950
26, 459, 661, 527, 2807
27, 408, 639, 445, 2238
28, 363, 544, 432, 1837
29, 347, 464, 392, 1387
30, 347, 436, 385, 1361
31, 309, 393, 298, 1169
32, 274, 349, 318, 995
33, 226, 331, 276, 865
34, 232, 308, 298, 759
35, 195, 281, 233, 678
36, 190, 303, 252, 678
37, 182, 226, 247, 609
38, 193, 237, 238, 557
39, 160, 184, 194, 493
40, 161, 214, 232, 478
41, 132, 179, 201, 442
42, 140, 198, 199, 394
43, 154, 165, 167, 377
44, 124, 154, 181, 337
45, 140, 133, 168, 342
46, 144, 128, 146, 323
47, 132, 133, 138, 301
48, 118, 130, 144, 225
49, 108, 108, 125, 298
50, 119, 127, 142, 250
51, 118, 89, 105, 228
52, 102, 90, 124, 213
53, 122, 100, 102, 215
54, 113, 99, 106, 188
55, 79, 81, 120, 190
56, 88, 89, 91, 170
57, 102, 83, 98, 186
58, 81, 113, 104, 118
59, 97, 75, 82, 158
60, 75, 73, 82, 151
61, 75, 73, 90, 152
62, 82, 62, 82, 116
63, 83, 60, 69, 184
64, 78, 66, 64, 111
65, 64, 61, 68, 126
66, 73, 70, 63, 111
67, 70, 72, 64, 116
68, 75, 61, 80, 105
69, 56, 70, 60, 100
70, 58, 57, 65, 109
71, 75, 58, 55, 94
72, 64, 55, 58, 104
73, 67, 50, 53, 101
74, 65, 58, 55, 95
75, 53, 58, 65, 89
76, 64, 60, 69, 79
77, 54, 47, 48, 64
78, 71, 43, 63, 90
79, 57, 43, 54, 95
80, 47, 48, 48, 95
81, 50, 50, 54, 75
82, 59, 44, 41, 83
83, 51, 52, 50, 73
84, 52, 48, 41, 85
85, 57, 39, 48, 82
86, 54, 45, 54, 73
87, 64, 34, 34, 63
88, 75, 42, 36, 72
89, 70, 32, 31, 90
90, 64, 36, 49, 76
91, 77, 45, 33, 74
92, 70, 42, 36, 63
93, 65, 34, 42, 75
94, 70, 42, 27, 74
95, 76, 31, 41, 65
96, 81, 46, 40, 82
97, 71, 43, 36, 55
98, 85, 41, 45, 56
99, 83, 35, 29, 50
100, 85, 34, 44, 53
101, 93, 25, 36, 66
102, 79, 33, 33, 56
103, 78, 36, 35, 52
104, 92, 36, 34, 42
105, 86, 27, 32, 57
106, 87, 30, 34, 60
107, 87, 21, 35, 63
108, 89, 34, 28, 67
109, 92, 28, 38, 61
110, 77, 33, 26, 64
111, 82, 42, 27, 45
112, 101, 17, 37, 59
113, 79, 13, 31, 50
114, 71, 23, 32, 43
115, 67, 26, 29, 53
116, 71, 18, 37, 41
117, 50, 20, 35, 47
118, 49, 17, 25, 36
119, 53, 18, 26, 45
120, 46, 23, 33, 48
121, 32, 25, 22, 40
122, 32, 24, 30, 47
123, 40, 19, 27, 39
124, 42, 18, 35, 32
125, 40, 19, 28, 50
126, 35, 16, 33, 35
127, 31, 14, 27, 43
128, 40, 20, 19, 37
129, 23, 24, 26, 31
130, 31, 12, 18, 51
131, 44, 22, 25, 32
132, 42, 18, 23, 35
133, 43, 22, 29, 38
134, 25, 20, 24, 27
135, 40, 16, 23, 23
136, 40, 10, 26, 38
137, 34, 21, 17, 33
138, 38, 12, 21, 36
139, 36, 17, 21, 24
140, 27, 15, 23, 32
141, 40, 22, 24, 28
142, 43, 15, 16, 38
143, 32, 9, 29, 34
144, 52, 18, 28, 37
145, 36, 12, 19, 25
146, 44, 13, 19, 26
147, 45, 9, 27, 33
148, 29, 17, 14, 23
149, 37, 17, 19, 24
150, 26, 16, 13, 33
151, 36, 22, 26, 40
152, 44, 18, 27, 30
153, 39, 13, 26, 26
154, 36, 14, 21, 20
155, 36, 13, 19, 27
156, 39, 18, 29, 24
157, 32, 6, 20, 22
158, 37, 11, 14, 35
159, 43, 10, 27, 27
160, 35, 14, 21, 17
161, 48, 10, 31, 30
162, 38, 13, 22, 16
163, 55, 9, 19, 23
164, 43, 9, 22, 25
165, 37, 17, 26, 25
166, 45, 10, 14, 21
167, 51, 12, 27, 33
168, 56, 11, 26, 26
169, 53, 12, 21, 17
170, 40, 11, 33, 20
171, 48, 13, 22, 36
172, 50, 13, 25, 23
173, 51, 11, 19, 26
174, 63, 15, 26, 25
175, 63, 21, 18, 28
176, 88, 17, 12, 13
177, 82, 20, 18, 28
178, 84, 16, 15, 29
179, 93, 15, 23, 17
180, 74, 11, 26, 31
181, 69, 17, 14, 25
182, 75, 21, 15, 21
183, 74, 12, 12, 16
184, 68, 8, 18, 25
185, 66, 11, 18, 26
186, 60, 16, 32, 14
187, 61, 14, 22, 20
188, 51, 13, 18, 20
189, 53, 14, 21, 20
190, 49, 13, 13, 42
191, 40, 10, 13, 25
192, 44, 10, 19, 24
193, 36, 13, 18, 16
194, 40, 17, 20, 22
195, 38, 9, 15, 19
196, 28, 12, 12, 18
197, 40, 10, 16, 19
198, 34, 17, 18, 20
199, 27, 8, 10, 20
200, 35, 13, 21, 25
201, 24, 19, 11, 23
202, 32, 20, 21, 31
203, 22, 20, 11, 16
204, 23, 16, 7, 26
205, 22, 14, 15, 21
206, 33, 12, 14, 27
207, 24, 12, 7, 18
208, 19, 14, 12, 14
209, 28, 13, 14, 20
210, 17, 14, 11, 21
211, 17, 9, 9, 21
212, 11, 9, 21, 19
213, 19, 12, 8, 25
214, 20, 15, 12, 22
215, 14, 11, 17, 24
216, 13, 22, 10, 18
217, 15, 8, 12, 19
218, 12, 13, 9, 11
219, 15, 8, 13, 12
220, 18, 15, 13, 12
221, 15, 11, 23, 20
222, 8, 13, 17, 27
223, 17, 8, 16, 17
224, 7, 13, 7, 20
225, 10, 10, 12, 14
226, 11, 11, 20, 26
227, 10, 14, 18, 27
228, 12, 17, 10, 15
229, 14, 9, 24, 20
230, 10, 12, 22, 21
231, 10, 12, 22, 12
232, 7, 11, 17, 18
233, 8, 12, 19, 22
234, 4, 7, 27, 11
235, 10, 14, 13, 20
236, 5, 7, 21, 11
237, 8, 8, 21, 15
238, 7, 9, 20, 17
239, 5, 11, 17, 20
240, 4, 5, 18, 21
241, 6, 11, 26, 16
242, 6, 7, 19, 17
243, 4, 9, 16, 11
244, 6, 10, 17, 16
245, 3, 5, 14, 14
246, 4, 9, 23, 22
247, 3, 5, 18, 31
248, 1, 6, 18, 26
249, 6, 10, 17, 11
250, 4, 4, 15, 16
251, 3, 3, 17, 34
252, 11, 2, 21, 13
253, 6, 4, 17, 20
254, 3, 7, 18, 9
255, 284, 1639, 2048, 2376
