Channel:,Lum, Red, Green, Blue
Means:,1.2351143, 1.3163804, 1.1602311, 2.1891232
Note: Peaks measured from 20% upward
Peaks:,448, 1352, 2242, 3343
PeaksLevels:,255, 255, 255, 255
0, 854309, 901935, 1793396, 176735
1, 6598800, 5661114, 5434901, 2503446
2, 759843, 1523641, 914541, 3897276
3, 25742, 147424, 92278, 1321345
4, 9838, 17922, 13265, 272508
5, 5929, 6099, 6632, 58003
6, 3701, 3651, 4518, 16119
7, 2615, 2749, 3290, 7181
8, 2115, 2091, 2445, 4508
9, 1782, 1719, 1805, 3329
10, 1485, 1381, 1396, 2687
11, 1207, 1263, 1164, 2018
12, 1044, 1046, 988, 1763
13, 904, 932, 886, 1367
14, 807, 879, 788, 1216
15, 778, 777, 684, 1034
16, 758, 727, 629, 918
17, 630, 661, 608, 782
18, 588, 596, 568, 733
19, 565, 578, 532, 630
20, 474, 537, 477, 628
21, 487, 481, 452, 525
22, 421, 425, 447, 487
23, 399, 437, 423, 439
24, 431, 397, 405, 411
25, 370, 405, 326, 365
26, 328, 344, 353, 340
27, 344, 383, 373, 322
28, 326, 304, 304, 326
29, 329, 308, 276, 302
30, 306, 319, 293, 263
31, 288, 240, 270, 258
32, 282, 292, 279, 254
33, 227, 252, 224, 277
34, 245, 264, 209, 233
35, 227, 235, 215, 236
36, 217, 215, 208, 232
37, 222, 215, 203, 221
38, 223, 203, 205, 197
39, 182, 210, 190, 225
40, 176, 204, 192, 183
41, 194, 187, 215, 216
42, 175, 176, 169, 191
43, 157, 175, 183, 190
44, 184, 191, 203, 197
45, 164, 179, 169, 181
46, 170, 145, 152, 177
47, 173, 162, 158, 172
48, 154, 150, 158, 183
49, 137, 162, 168, 156
50, 148, 135, 140, 147
51, 138, 128, 132, 143
52, 161, 135, 119, 182
53, 146, 125, 128, 148
54, 115, 119, 142, 153
55, 136, 113, 126, 146
56, 117, 138, 143, 147
57, 138, 129, 126, 135
58, 132, 112, 142, 139
59, 127, 121, 121, 115
60, 125, 113, 114, 117
61, 113, 96, 139, 134
