Channel:,Lum, Red, Green, Blue
Means:,0.103424355, 0.11967665, 0.101290144, 0.10208671
Note: Peaks measured from 20% upward
Peaks:,265, 581, 351, 325
PeaksLevels:,255, 255, 255, 255
0, 8253457, 8244554, 8247668, 8226771
1, 11244, 18774, 16046, 29543
2, 4133, 5938, 6071, 8359
3, 2562, 3169, 3341, 4385
4, 1906, 2160, 2166, 2714
5, 1581, 1683, 1680, 1921
6, 1310, 1327, 1276, 1488
7, 1169, 1156, 1098, 1219
8, 999, 939, 931, 1119
9, 831, 746, 792, 981
10, 811, 721, 716, 854
11, 667, 605, 633, 737
12, 663, 558, 608, 632
13, 556, 529, 453, 603
14, 549, 451, 386, 583
15, 472, 440, 387, 528
16, 433, 358, 316, 468
17, 360, 342, 300, 488
18, 372, 289, 304, 392
19, 305, 281, 289, 416
20, 277, 249, 247, 381
21, 256, 259, 251, 351
22, 237, 237, 248, 351
23, 249, 237, 221, 312
24, 223, 219, 204, 315
25, 196, 193, 205, 252
26, 205, 169, 173, 237
27, 184, 178, 175, 257
28, 211, 186, 167, 225
29, 201, 157, 151, 192
30, 168, 175, 158, 205
31, 159, 165, 136, 187
32, 183, 143, 137, 200
33, 174, 162, 129, 184
34, 175, 147, 133, 151
35, 133, 117, 128, 179
36, 120, 123, 109, 149
37, 130, 101, 106, 162
38, 114, 87, 111, 157
39, 127, 95, 118, 154
40, 120, 98, 93, 132
41, 120, 110, 87, 118
42, 99, 93, 86, 131
43, 122, 80, 90, 108
44, 115, 88, 80, 125
45, 84, 84, 90, 112
46, 115, 58, 80, 119
47, 103, 71, 74, 91
48, 108, 68, 102, 101
49, 95, 80, 78, 92
50, 91, 60, 76, 93
51, 102, 54, 77, 80
52, 105, 66, 69, 89
53, 84, 59, 74, 92
54, 83, 68, 60, 74
55, 98, 63, 50, 89
56, 80, 65, 56, 94
57, 85, 62, 54, 67
58, 73, 53, 50, 81
59, 80, 46, 45, 76
60, 88, 58, 50, 80
61, 68, 53, 51, 87
62, 55, 57, 41, 68
63, 56, 59, 46, 74
64, 59, 45, 46, 71
65, 49, 45, 53, 59
66, 56, 52, 50, 92
67, 48, 71, 47, 51
68, 53, 43, 51, 63
69, 60, 44, 52, 55
70, 46, 36, 58, 73
71, 49, 49, 44, 62
72, 41, 30, 51, 57
73, 52, 48, 42, 70
74, 50, 53, 49, 58
75, 57, 51, 46, 52
76, 49, 47, 45, 52
77, 45, 47, 43, 53
78, 37, 44, 50, 58
79, 40, 37, 48, 64
80, 45, 48, 48, 53
81, 47, 38, 42, 58
82, 37, 37, 46, 50
83, 51, 34, 44, 48
84, 40, 39, 46, 46
85, 47, 25, 35, 41
86, 46, 38, 40, 52
87, 50, 28, 41, 36
88, 42, 27, 41, 46
89, 34, 37, 48, 31
90, 52, 22, 41, 32
91, 36, 20, 56, 35
92, 39, 17, 41, 30
93, 37, 30, 44, 40
94, 34, 20, 40, 30
