Channel:,Lum, Red, Green, Blue
Means:,4.0672216, 3.5936086, 3.0889845, 6.5188417
Note: Peaks measured from 20% upward
Peaks:,408, 497, 933, 2168
PeaksLevels:,255, 255, 255, 255
0, 10012, 404693, 580603, 204375
1, 226277, 764778, 1051082, 208687
2, 1048880, 1525209, 2045764, 395609
3, 2132121, 1852074, 2069683, 630977
4, 2341489, 1616330, 1266228, 936569
5, 1511605, 997330, 640883, 1104701
6, 651002, 553851, 282551, 1192550
7, 224988, 264558, 151381, 1070939
8, 70797, 139590, 82947, 807850
9, 24246, 66587, 44316, 603031
10, 10544, 38483, 25498, 402059
11, 5858, 19050, 12185, 257136
12, 3937, 12058, 7002, 151634
13, 2884, 6871, 4184, 105185
14, 2162, 4475, 2646, 61290
15, 1634, 3384, 2157, 45106
16, 1480, 2295, 1499, 29675
17, 1165, 1963, 1256, 17265
18, 1056, 1475, 1071, 13887
19, 855, 1331, 938, 9402
20, 774, 1124, 877, 5847
21, 704, 1014, 740, 4992
22, 581, 860, 675, 3692
23, 533, 809, 665, 2510
24, 523, 660, 613, 2254
25, 466, 655, 614, 1840
26, 417, 547, 531, 1437
27, 424, 519, 493, 1297
28, 393, 461, 478, 1096
29, 374, 426, 420, 1025
30, 355, 443, 469, 878
31, 338, 364, 422, 783
32, 311, 395, 403, 737
33, 294, 333, 363, 661
34, 278, 308, 406, 603
35, 262, 286, 333, 501
36, 280, 279, 311, 556
37, 270, 280, 298, 468
38, 247, 259, 293, 435
39, 230, 213, 294, 436
40, 208, 214, 311, 336
41, 225, 207, 249, 321
42, 228, 188, 197, 370
43, 206, 219, 222, 307
44, 230, 176, 249, 264
45, 201, 181, 218, 242
46, 192, 160, 207, 262
47, 197, 146, 189, 291
48, 185, 134, 185, 259
49, 191, 107, 185, 200
50, 184, 106, 170, 222
51, 185, 115, 159, 180
52, 203, 115, 174, 219
53, 196, 96, 127, 149
54, 188, 87, 138, 171
55, 182, 126, 149, 149
56, 174, 93, 131, 152
57, 187, 104, 93, 135
58, 171, 95, 143, 107
59, 175, 111, 135, 148
60, 183, 79, 92, 134
61, 158, 66, 104, 117
62, 163, 89, 90, 112
63, 149, 82, 82, 117
64, 143, 64, 104, 99
65, 143, 76, 72, 112
66, 157, 67, 87, 77
67, 158, 58, 72, 87
68, 162, 55, 79, 113
69, 119, 62, 91, 80
70, 159, 45, 85, 87
71, 135, 63, 64, 90
72, 139, 57, 59, 74
73, 128, 52, 73, 74
74, 128, 60, 67, 76
75, 135, 51, 68, 72
76, 147, 57, 67, 69
77, 116, 55, 68, 88
78, 135, 46, 53, 74
79, 123, 54, 58, 64
80, 121, 42, 61, 77
81, 131, 46, 54, 83
82, 121, 50, 45, 69
83, 114, 50, 57, 54
84, 115, 43, 73, 60
85, 90, 46, 50, 66
86, 121, 39, 58, 71
87, 126, 48, 56, 60
88, 102, 49, 43, 62
89, 113, 48, 49, 57
90, 107, 44, 52, 47
91, 86, 53, 58, 62
92, 104, 45, 46, 58
93, 96, 40, 61, 62
94, 108, 38, 41, 67
95, 119, 52, 64, 60
96, 133, 40, 50, 43
97, 146, 43, 40, 72
98, 143, 45, 47, 63
99, 155, 42, 43, 49
100, 136, 41, 53, 57
101, 157, 41, 35, 45
102, 134, 44, 43, 43
103, 133, 38, 40, 46
104, 113, 46, 48, 58
105, 109, 42, 30, 51
106, 92, 49, 38, 43
107, 93, 45, 37, 43
108, 84, 34, 44, 34
109, 63, 36, 28, 49
110, 64, 41, 40, 32
111, 63, 46, 29, 48
112, 49, 40, 29, 45
113, 71, 30, 45, 41
114, 53, 40, 36, 35
115, 47, 34, 28, 43
116, 55, 45, 30, 43
117, 36, 35, 36, 39
118, 34, 38, 38, 50
119, 45, 42, 29, 34
120, 45, 35, 29, 37
121, 41, 37, 22, 56
122, 40, 34, 32, 40
123, 38, 30, 32, 41
124, 37, 36, 39, 27
125, 42, 38, 37, 46
126, 40, 40, 28, 50
127, 38, 28, 26, 38
128, 34, 30, 29, 39
129, 39, 29, 29, 33
130, 47, 31, 28, 40
131, 34, 35, 26, 36
132, 49, 35, 20, 47
133, 49, 35, 26, 28
134, 59, 43, 19, 30
135, 33, 27, 24, 23
136, 34, 29, 19, 45
137, 31, 29, 24, 38
138, 37, 27, 20, 37
139, 48, 24, 31, 27
140, 35, 17, 20, 27
141, 39, 24, 18, 37
142, 45, 18, 31, 25
143, 34, 35, 26, 38
144, 47, 23, 26, 28
145, 43, 27, 22, 32
146, 29, 19, 22, 36
147, 33, 11, 23, 27
148, 35, 24, 32, 32
149, 47, 22, 23, 34
150, 40, 19, 23, 40
151, 33, 22, 23, 21
152, 48, 20, 26, 29
153, 28, 22, 18, 31
154, 20, 24, 20, 32
155, 28, 17, 20, 25
156, 33, 19, 24, 31
157, 25, 17, 22, 29
158, 33, 11, 16, 22
159, 32, 8, 25, 34
160, 18, 15, 25, 26
161, 24, 20, 27, 30
162, 25, 19, 24, 35
163, 19, 14, 14, 15
164, 23, 11, 21, 27
165, 30, 11, 16, 26
166, 14, 16, 20, 24
167, 18, 15, 24, 24
168, 25, 15, 21, 30
169, 19, 10, 20, 29
170, 20, 10, 16, 21
171, 20, 12, 17, 26
172, 26, 10, 17, 21
173, 29, 11, 12, 25
174, 24, 6, 14, 22
175, 24, 6, 35, 27
176, 18, 6, 21, 19
177, 17, 8, 18, 29
178, 5, 7, 27, 25
179, 3, 6, 29, 23
180, 7, 14, 27, 28
181, 2, 6, 21, 32
182, 3, 4, 17, 38
183, 5, 7, 25, 26
184, 0, 5, 20, 27
185, 1, 6, 13, 26
186, 3, 9, 22, 22
187, 4, 4, 23, 17
188, 1, 4, 12, 22
189, 2, 6, 20, 23
190, 3, 3, 13, 23
191, 3, 4, 17, 21
192, 3, 6, 13, 39
193, 1, 2, 17, 29
194, 4, 7, 13, 18
195, 0, 3, 16, 23
196, 1, 3, 20, 28
197, 1, 3, 22, 18
198, 1, 2, 19, 23
199, 3, 2, 27, 27
200, 2, 3, 26, 30
201, 3, 3, 19, 28
202, 4, 6, 18, 28
203, 1, 1, 13, 36
204, 4, 0, 14, 18
205, 1, 5, 18, 33
206, 3, 5, 14, 27
207, 2, 4, 20, 22
