Channel:,Lum, Red, Green, Blue
Means:,1.5884405, 1.5705729, 1.4489276, 2.6830022
Note: Peaks measured from 20% upward
Peaks:,6174, 9020, 12724, 15030
PeaksLevels:,255, 255, 255, 255
0, 2080782, 1682875, 3402721, 351469
1, 5698515, 5552509, 4252738, 3012199
2, 331012, 847253, 448617, 3536603
3, 42940, 87278, 55314, 980682
4, 21426, 26058, 21643, 204747
5, 13887, 14615, 13821, 56466
6, 10106, 9517, 9780, 23842
7, 7794, 6906, 7360, 13928
8, 6141, 5250, 5674, 9850
9, 4973, 3992, 4633, 7839
10, 4150, 3240, 3807, 6642
11, 3451, 2645, 3381, 5354
12, 3042, 2253, 2811, 4497
13, 2681, 1861, 2454, 3839
14, 2302, 1694, 2104, 3251
15, 2013, 1422, 1881, 2967
16, 1872, 1244, 1763, 2637
17, 1626, 1153, 1486, 2328
18, 1456, 1056, 1375, 2131
19, 1251, 971, 1221, 1922
20, 1088, 917, 1030, 1806
21, 1096, 793, 1040, 1733
22, 1034, 796, 947, 1492
23, 912, 736, 915, 1425
24, 880, 704, 869, 1279
25, 870, 664, 813, 1194
26, 760, 605, 786, 1074
27, 726, 637, 766, 1067
28, 738, 528, 716, 997
29, 693, 575, 698, 934
30, 676, 527, 693, 823
31, 609, 498, 568, 777
32, 594, 476, 607, 711
33, 572, 450, 566, 666
34, 589, 441, 517, 664
35, 552, 412, 532, 594
36, 545, 399, 482, 565
37, 543, 380, 480, 604
38, 530, 396, 419, 502
39, 494, 358, 409, 531
40, 518, 354, 378, 449
41, 473, 348, 413, 486
42, 490, 363, 408, 479
43, 463, 342, 400, 385
44, 416, 332, 386, 406
45, 437, 303, 345, 413
46, 438, 291, 323, 379
47, 442, 267, 355, 322
48, 425, 269, 333, 382
49, 425, 253, 349, 340
50, 405, 275, 328, 306
51, 360, 264, 333, 333
52, 394, 254, 306, 336
53, 390, 208, 282, 340
54, 352, 221, 268, 302
55, 351, 220, 270, 329
56, 340, 230, 261, 275
57, 309, 214, 275, 300
58, 296, 216, 255, 255
59, 313, 222, 262, 253
60, 275, 210, 253, 242
61, 243, 155, 267, 264
62, 288, 181, 248, 260
63, 263, 182, 229, 244
64, 238, 173, 246, 252
65, 234, 180, 239, 232
66, 222, 171, 234, 223
67, 211, 179, 217, 225
68, 240, 161, 197, 220
69, 206, 157, 187, 247
70, 196, 189, 194, 191
71, 216, 152, 215, 187
72, 215, 153, 188, 216
73, 175, 169, 216, 189
74, 180, 126, 196, 180
75, 174, 148, 220, 204
76, 171, 147, 213, 208
77, 146, 121, 195, 187
78, 172, 126, 201, 213
79, 146, 124, 206, 195
80, 159, 129, 209, 195
81, 154, 120, 189, 207
82, 154, 99, 184, 190
83, 143, 106, 154, 194
84, 145, 123, 168, 177
85, 135, 129, 174, 190
86, 125, 112, 177, 169
87, 132, 123, 172, 150
88, 131, 114, 159, 165
89, 128, 115, 178, 167
90, 134, 112, 165, 180
91, 132, 114, 182, 165
92, 126, 102, 163, 180
93, 129, 101, 182, 173
94, 126, 104, 166, 158
95, 119, 79, 159, 162
96, 115, 110, 171, 159
97, 118, 93, 151, 151
98, 105, 90, 140, 136
99, 136, 97, 161, 153
100, 116, 90, 148, 150
101, 164, 91, 129, 158
102, 137, 99, 138, 155
103, 137, 94, 144, 159
104, 143, 100, 129, 153
105, 147, 86, 107, 151
106, 116, 86, 102, 120
107, 130, 88, 90, 156
108, 138, 102, 110, 123
109, 134, 79, 89, 126
110, 152, 96, 85, 139
111, 130, 79, 104, 127
112, 128, 75, 74, 151
113, 141, 74, 81, 130
114, 125, 89, 91, 122
115, 132, 73, 95, 119
116, 114, 78, 108, 129
117, 130, 70, 85, 116
118, 113, 75, 97, 111
119, 114, 81, 65, 128
120, 129, 69, 84, 111
121, 113, 70, 54, 124
122, 115, 71, 61, 118
123, 116, 86, 66, 104
124, 120, 76, 60, 107
125, 114, 63, 86, 114
126, 118, 61, 62, 110
127, 109, 73, 77, 113
