Channel:,Lum, Red, Green, Blue
Means:,3.1328108, 2.8123014, 2.4017453, 5.183868
Note: Peaks measured from 20% upward
Peaks:,680, 1299, 2327, 5099
PeaksLevels:,255, 255, 255, 255
0, 31214, 463603, 649583, 208908
1, 695157, 1364594, 2098134, 312725
2, 2543785, 2444055, 2925621, 682320
3, 3023255, 2163935, 1615711, 1223870
4, 1449164, 1080146, 577511, 1524447
5, 382671, 437146, 216031, 1486201
6, 81941, 171135, 100047, 1131028
7, 22864, 70911, 38365, 750949
8, 10310, 32875, 18076, 408088
9, 6214, 14373, 8482, 223136
10, 4296, 8210, 4877, 130995
11, 3112, 5171, 3151, 72192
12, 2496, 3544, 2563, 37808
13, 1961, 2937, 1990, 22509
14, 1533, 2265, 1596, 14232
15, 1349, 1954, 1434, 9999
16, 1054, 1617, 1219, 6179
17, 1010, 1396, 1126, 4375
18, 943, 1273, 979, 3574
19, 796, 1087, 846, 2534
20, 688, 990, 822, 2029
21, 695, 923, 686, 1883
22, 599, 780, 698, 1630
23, 565, 712, 585, 1293
24, 517, 624, 613, 1200
25, 504, 526, 527, 1013
26, 484, 567, 563, 992
27, 481, 494, 493, 813
28, 427, 490, 454, 746
29, 414, 464, 459, 776
30, 388, 441, 376, 674
31, 391, 424, 403, 605
32, 372, 377, 352, 556
33, 350, 358, 346, 538
34, 320, 309, 330, 559
35, 363, 308, 333, 459
36, 303, 321, 341, 406
37, 304, 308, 327, 461
38, 281, 285, 294, 423
39, 259, 254, 299, 368
40, 308, 277, 289, 358
41, 261, 241, 291, 381
42, 245, 253, 270, 324
43, 224, 246, 268, 351
44, 261, 211, 244, 291
45, 242, 207, 237, 316
46, 218, 203, 270, 310
47, 235, 206, 240, 292
48, 215, 189, 223, 283
49, 216, 193, 264, 323
50, 201, 164, 230, 291
51, 207, 149, 226, 253
52, 199, 142, 230, 276
53, 201, 143, 225, 235
54, 181, 151, 225, 235
55, 191, 145, 228, 239
56, 189, 109, 196, 263
57, 175, 122, 243, 253
58, 190, 99, 223, 199
59, 155, 115, 213, 200
60, 161, 95, 200, 230
61, 157, 107, 199, 207
62, 177, 114, 180, 174
63, 156, 93, 198, 181
64, 168, 91, 176, 191
65, 145, 99, 221, 179
66, 145, 86, 196, 171
67, 156, 101, 175, 154
68, 140, 80, 183, 166
69, 124, 82, 172, 155
70, 138, 77, 155, 137
71, 161, 73, 143, 132
72, 169, 83, 145, 147
73, 140, 78, 125, 138
74, 126, 68, 153, 125
75, 147, 64, 151, 117
76, 137, 50, 104, 117
77, 130, 72, 123, 116
78, 137, 65, 110, 106
79, 138, 64, 110, 94
80, 131, 73, 128, 88
81, 119, 61, 123, 107
82, 121, 67, 88, 94
83, 128, 57, 110, 100
84, 136, 62, 99, 92
85, 126, 55, 91, 74
86, 140, 49, 90, 94
87, 128, 56, 120, 86
88, 122, 51, 95, 82
89, 113, 51, 73, 74
90, 124, 52, 92, 69
91, 122, 54, 83, 77
92, 103, 50, 80, 68
93, 164, 64, 65, 77
94, 140, 58, 72, 73
95, 127, 52, 79, 72
96, 172, 50, 68, 71
97, 175, 36, 73, 69
98, 179, 42, 75, 59
99, 199, 50, 66, 60
100, 175, 47, 77, 62
101, 172, 59, 67, 54
102, 170, 49, 62, 59
103, 187, 50, 62, 56
104, 238, 58, 63, 63
105, 223, 46, 57, 59
106, 244, 46, 59, 57
107, 274, 45, 64, 57
108, 263, 36, 61, 44
109, 264, 41, 75, 61
110, 268, 41, 40, 52
111, 238, 41, 66, 48
112, 243, 43, 54, 47
113, 212, 39, 51, 50
114, 222, 31, 57, 48
115, 194, 36, 50, 54
116, 189, 40, 58, 51
117, 199, 38, 62, 53
118, 161, 37, 55, 57
119, 166, 35, 53, 48
120, 147, 39, 67, 40
121, 136, 26, 55, 54
122, 137, 27, 51, 43
123, 136, 30, 61, 40
124, 116, 43, 50, 44
125, 124, 26, 54, 48
126, 137, 43, 63, 52
127, 125, 30, 43, 48
128, 116, 35, 49, 54
129, 112, 39, 64, 42
130, 116, 29, 39, 49
131, 115, 29, 43, 41
132, 94, 31, 52, 32
133, 116, 25, 31, 43
134, 101, 24, 43, 38
135, 115, 31, 33, 42
136, 79, 22, 43, 41
137, 105, 35, 43, 45
138, 93, 34, 39, 34
139, 102, 25, 43, 44
140, 88, 24, 31, 32
141, 119, 29, 44, 36
142, 87, 29, 43, 34
143, 77, 25, 31, 31
144, 84, 21, 42, 23
145, 72, 29, 56, 38
146, 77, 21, 45, 43
147, 82, 28, 39, 42
148, 68, 24, 47, 25
149, 72, 22, 35, 37
150, 67, 20, 37, 23
151, 76, 24, 43, 34
152, 53, 24, 49, 45
153, 64, 25, 33, 36
154, 48, 25, 39, 41
155, 52, 28, 40, 32
156, 59, 28, 33, 37
157, 47, 20, 36, 41
158, 55, 27, 28, 31
159, 46, 22, 40, 35
160, 52, 31, 34, 31
161, 51, 31, 31, 35
162, 50, 31, 34, 30
163, 35, 22, 30, 40
164, 37, 19, 22, 24
165, 41, 24, 25, 30
166, 40, 22, 39, 21
167, 43, 24, 29, 33
168, 39, 20, 26, 42
169, 32, 17, 27, 28
170, 47, 23, 40, 26
171, 46, 33, 30, 27
172, 43, 30, 24, 26
173, 67, 28, 34, 24
174, 73, 23, 26, 32
175, 104, 29, 29, 39
176, 121, 26, 38, 26
177, 139, 24, 30, 28
178, 98, 36, 26, 31
179, 92, 27, 36, 35
180, 68, 28, 20, 19
181, 59, 17, 32, 27
182, 52, 25, 30, 30
183, 34, 29, 34, 29
184, 22, 28, 37, 23
185, 20, 24, 28, 30
186, 21, 25, 28, 26
187, 4, 23, 37, 24
188, 7, 17, 29, 26
189, 6, 25, 29, 24
190, 2, 19, 28, 27
