Channel:,Lum, Red, Green, Blue
Means:,9.750558, 8.432856, 7.806545, 14.012489
Note: Peaks measured from 20% upward
Peaks:,306, 987, 2373, 3048
PeaksLevels:,255, 255, 255, 255
0, 0, 333, 479, 279
1, 0, 134, 266, 69
2, 0, 303, 757, 88
3, 0, 1770, 11913, 100
4, 101, 21916, 116830, 336
5, 485, 189124, 448615, 1018
6, 11903, 747928, 1340028, 3721
7, 230958, 1729606, 2340479, 18870
8, 1307301, 2233742, 2035311, 71107
9, 2646657, 1707995, 1069147, 192773
10, 2396471, 913217, 483008, 451936
11, 1162703, 410295, 226696, 788726
12, 369581, 174978, 105404, 1159918
13, 95984, 74750, 48396, 1366204
14, 27979, 33435, 21983, 1303928
15, 10686, 16076, 10615, 1039076
16, 5141, 8370, 5702, 723883
17, 2959, 4917, 3523, 461288
18, 1800, 3108, 2456, 278806
19, 1335, 2285, 1664, 164097
20, 998, 1682, 1304, 96388
21, 895, 1327, 1077, 60272
22, 714, 1106, 911, 33194
23, 643, 864, 755, 20078
24, 532, 809, 603, 12537
25, 479, 674, 495, 8276
26, 430, 589, 450, 5557
27, 380, 541, 422, 3725
28, 327, 436, 388, 2629
29, 343, 413, 368, 2028
30, 291, 388, 332, 1546
31, 316, 332, 337, 1359
32, 283, 332, 289, 1031
33, 243, 271, 296, 882
34, 257, 228, 273, 732
35, 240, 215, 238, 698
36, 232, 221, 256, 561
37, 230, 214, 212, 510
38, 218, 185, 215, 412
39, 209, 173, 236, 422
40, 214, 172, 210, 384
41, 208, 156, 180, 346
42, 179, 177, 189, 352
43, 180, 162, 198, 286
44, 177, 152, 193, 276
45, 187, 142, 200, 269
46, 190, 152, 186, 250
47, 172, 116, 174, 242
48, 161, 111, 181, 263
49, 157, 125, 199, 228
50, 156, 128, 164, 218
51, 143, 115, 168, 216
52, 147, 100, 160, 188
53, 178, 116, 159, 179
54, 152, 108, 144, 163
55, 142, 105, 143, 162
56, 134, 92, 128, 166
57, 128, 109, 141, 155
58, 143, 106, 117, 134
59, 117, 93, 108, 161
60, 116, 102, 100, 143
61, 132, 90, 88, 157
62, 110, 98, 100, 128
63, 121, 106, 109, 137
64, 93, 87, 108, 118
65, 108, 102, 99, 131
66, 102, 89, 94, 117
67, 100, 104, 103, 121
68, 113, 89, 84, 108
69, 102, 96, 85, 130
70, 107, 79, 91, 109
71, 88, 82, 110, 100
72, 103, 81, 88, 103
73, 100, 81, 86, 119
74, 105, 68, 79, 97
75, 94, 85, 77, 98
76, 73, 85, 65, 112
77, 94, 72, 87, 85
78, 81, 68, 79, 79
79, 89, 69, 66, 82
80, 85, 79, 73, 76
81, 80, 64, 61, 82
82, 84, 55, 59, 59
83, 93, 71, 59, 73
84, 91, 64, 78, 63
85, 85, 55, 67, 69
86, 88, 60, 57, 71
87, 80, 46, 57, 55
88, 89, 42, 43, 62
89, 71, 56, 50, 62
90, 88, 44, 47, 70
91, 97, 38, 47, 59
92, 80, 37, 46, 58
93, 91, 47, 43, 71
94, 80, 37, 48, 71
95, 66, 40, 50, 69
96, 81, 35, 49, 64
97, 88, 42, 38, 65
98, 74, 42, 35, 39
99, 91, 45, 39, 60
100, 107, 35, 22, 52
101, 96, 37, 39, 47
102, 115, 33, 24, 41
103, 110, 33, 30, 54
104, 135, 25, 34, 38
105, 150, 48, 31, 54
106, 131, 35, 22, 58
107, 123, 44, 34, 53
108, 151, 38, 33, 65
109, 157, 35, 35, 58
110, 143, 27, 37, 43
111, 126, 34, 33, 38
112, 154, 37, 36, 53
113, 136, 32, 29, 44
114, 134, 25, 44, 44
115, 107, 27, 26, 31
116, 93, 29, 26, 36
117, 89, 22, 29, 44
118, 68, 34, 17, 39
119, 75, 28, 27, 42
120, 62, 25, 31, 41
121, 48, 22, 27, 40
122, 55, 30, 23, 49
123, 39, 23, 26, 49
124, 43, 32, 29, 47
125, 45, 18, 24, 47
126, 52, 22, 21, 33
127, 48, 21, 23, 42
128, 48, 23, 24, 41
129, 50, 41, 15, 27
130, 58, 21, 16, 28
131, 55, 26, 18, 32
132, 52, 28, 28, 28
133, 55, 22, 25, 35
134, 43, 24, 25, 28
135, 51, 22, 22, 33
136, 61, 25, 25, 27
137, 55, 26, 14, 22
138, 64, 24, 20, 33
139, 54, 24, 30, 25
140, 65, 26, 13, 26
141, 58, 23, 25, 25
