Channel:,Lum, Red, Green, Blue
Means:,0.87278986, 0.9280758, 0.71062064, 1.9016491
Note: Peaks measured from 20% upward
Peaks:,263, 899, 1964, 3013
PeaksLevels:,255, 255, 255, 255
0, 2811797, 2278197, 4193027, 264262
1, 5353087, 5554118, 3903474, 3347267
2, 79876, 404867, 149646, 3865889
3, 11151, 21287, 11665, 678746
4, 5052, 6803, 5358, 77886
5, 3066, 3837, 3256, 15848
6, 2246, 2485, 2278, 6823
7, 1757, 1909, 1838, 4243
8, 1465, 1513, 1368, 2784
9, 1162, 1170, 1106, 2170
10, 979, 973, 917, 1707
11, 880, 853, 774, 1389
12, 739, 816, 674, 1160
13, 633, 659, 682, 1002
14, 599, 585, 582, 818
15, 492, 547, 524, 782
16, 494, 460, 528, 722
17, 457, 428, 486, 633
18, 419, 369, 415, 623
19, 372, 368, 445, 548
20, 366, 314, 374, 487
21, 371, 305, 419, 474
22, 316, 300, 344, 408
23, 284, 310, 343, 395
24, 299, 250, 346, 351
25, 264, 271, 288, 318
26, 230, 228, 254, 300
27, 231, 207, 212, 268
28, 220, 205, 236, 299
29, 214, 200, 234, 261
30, 211, 201, 231, 233
31, 232, 149, 220, 242
32, 213, 170, 199, 239
33, 209, 180, 181, 213
34, 176, 167, 170, 217
35, 178, 168, 174, 185
36, 157, 151, 142, 185
37, 184, 148, 169, 208
38, 147, 129, 139, 197
39, 169, 123, 156, 194
40, 168, 128, 137, 188
41, 151, 116, 169, 176
42, 168, 121, 137, 189
43, 142, 116, 122, 186
44, 135, 113, 103, 169
45, 143, 117, 147, 146
46, 97, 124, 146, 182
47, 138, 116, 100, 168
48, 121, 106, 132, 165
49, 147, 80, 119, 185
50, 134, 109, 102, 183
51, 122, 91, 124, 161
52, 105, 89, 119, 146
53, 135, 79, 108, 150
54, 111, 89, 101, 160
55, 102, 100, 116, 145
56, 144, 78, 126, 143
57, 120, 80, 127, 138
58, 109, 83, 99, 124
59, 121, 78, 123, 127
60, 131, 104, 101, 119
61, 94, 81, 96, 129
62, 104, 83, 98, 141
63, 103, 77, 106, 112
64, 106, 78, 98, 105
65, 100, 68, 90, 113
66, 94, 74, 103, 96
67, 70, 73, 86, 93
68, 105, 68, 91, 98
69, 99, 98, 100, 88
70, 90, 58, 76, 92
71, 93, 73, 101, 75
72, 109, 64, 78, 88
73, 94, 85, 81, 88
74, 95, 58, 83, 66
75, 88, 52, 74, 59
76, 100, 53, 79, 70
77, 99, 47, 81, 65
78, 81, 38, 73, 72
79, 90, 66, 76, 62
80, 95, 60, 77, 71
81, 95, 45, 72, 55
82, 86, 55, 79, 63
83, 93, 42, 77, 52
84, 94, 41, 67, 61
85, 90, 42, 69, 60
86, 90, 35, 55, 60
87, 101, 41, 72, 58
88, 106, 37, 70, 44
89, 100, 34, 61, 53
90, 86, 41, 58, 50
91, 89, 31, 53, 45
92, 92, 40, 64, 62
93, 102, 41, 40, 50
94, 107, 34, 53, 54
95, 126, 34, 51, 66
96, 126, 33, 43, 62
97, 119, 30, 60, 64
98, 90, 35, 43, 44
99, 96, 23, 48, 47
100, 98, 24, 66, 50
101, 105, 37, 55, 50
102, 114, 28, 50, 50
103, 98, 40, 37, 38
104, 114, 28, 42, 44
105, 89, 40, 48, 35
106, 89, 35, 34, 39
107, 88, 27, 38, 50
108, 86, 29, 44, 40
109, 97, 29, 36, 47
110, 81, 27, 40, 41
111, 103, 35, 38, 38
112, 83, 23, 36, 38
113, 72, 24, 31, 39
114, 78, 24, 33, 42
115, 80, 19, 33, 37
116, 73, 30, 25, 40
117, 85, 24, 33, 40
118, 81, 26, 26, 34
119, 59, 17, 24, 33
120, 81, 33, 31, 42
121, 67, 29, 29, 36
122, 71, 25, 31, 30
123, 71, 26, 25, 36
124, 76, 24, 29, 43
125, 51, 28, 25, 43
126, 67, 29, 22, 29
127, 80, 25, 32, 32
128, 76, 19, 31, 28
129, 60, 16, 26, 27
130, 82, 15, 29, 32
131, 73, 17, 20, 25
132, 58, 26, 28, 35
133, 72, 21, 22, 33
134, 76, 21, 31, 38
135, 87, 18, 21, 30
136, 77, 21, 24, 30
137, 79, 22, 30, 18
138, 67, 18, 18, 21
139, 78, 27, 21, 33
140, 62, 26, 29, 35
141, 79, 23, 25, 28
142, 67, 32, 25, 27
143, 58, 22, 26, 26
144, 82, 16, 16, 31
145, 77, 28, 17, 22
146, 62, 13, 26, 35
147, 69, 11, 21, 30
148, 58, 22, 18, 24
149, 72, 28, 20, 30
150, 66, 15, 14, 20
151, 42, 22, 18, 29
152, 54, 19, 20, 21
153, 40, 18, 18, 35
154, 54, 20, 19, 27
155, 40, 21, 25, 28
156, 41, 25, 21, 24
157, 39, 22, 14, 18
158, 50, 20, 29, 28
159, 51, 21, 17, 25
160, 46, 18, 21, 20
161, 33, 19, 13, 18
162, 36, 21, 14, 26
163, 28, 20, 17, 26
164, 27, 26, 18, 19
165, 35, 19, 19, 19
166, 28, 14, 19, 23
167, 36, 18, 14, 34
168, 33, 13, 14, 26
169, 23, 18, 18, 14
170, 38, 12, 13, 13
171, 20, 17, 17, 11
172, 27, 24, 14, 18
173, 22, 14, 14, 22
174, 34, 22, 17, 22
175, 46, 14, 16, 16
176, 46, 10, 12, 25
177, 56, 13, 13, 18
178, 76, 15, 15, 25
179, 67, 14, 6, 28
180, 81, 18, 19, 20
181, 86, 21, 9, 30
182, 75, 17, 11, 24
183, 67, 8, 16, 25
184, 61, 10, 10, 22
185, 63, 7, 14, 17
186, 43, 17, 19, 23
187, 45, 10, 11, 19
188, 25, 16, 17, 32
189, 26, 14, 15, 24
190, 29, 13, 17, 20
191, 28, 17, 14, 19
192, 21, 11, 18, 10
193, 30, 12, 14, 19
194, 24, 16, 16, 14
195, 16, 19, 18, 22
196, 32, 19, 22, 19
197, 29, 12, 12, 24
198, 27, 19, 13, 16
199, 20, 17, 16, 17
200, 18, 10, 17, 23
201, 19, 8, 16, 20
202, 26, 9, 12, 16
203, 22, 17, 18, 27
204, 11, 10, 15, 16
205, 11, 21, 12, 23
206, 9, 18, 19, 24
207, 6, 11, 16, 18
208, 2, 16, 10, 16
209, 4, 9, 11, 17
210, 2, 18, 15, 20
211, 1, 11, 9, 35
212, 1, 6, 10, 16
213, 2, 18, 19, 15
214, 1, 15, 15, 36
215, 0, 10, 21, 21
216, 0, 17, 21, 22
217, 0, 14, 17, 29
218, 0, 7, 21, 27
219, 2, 20, 12, 26
220, 1, 17, 20, 21
221, 1, 13, 17, 29
222, 2, 15, 27, 28
223, 1, 17, 17, 19
224, 1, 18, 16, 32
225, 2, 12, 14, 26
226, 1, 9, 22, 17
227, 2, 18, 14, 22
228, 2, 19, 15, 21
229, 1, 17, 13, 23
230, 1, 16, 17, 28
231, 3, 22, 12, 22
232, 5, 8, 10, 21
233, 4, 4, 18, 33
234, 1, 13, 15, 29
235, 2, 10, 13, 27
236, 2, 17, 18, 28
237, 4, 19, 11, 24
238, 2, 16, 15, 33
239, 6, 22, 12, 26
240, 2, 13, 11, 29
241, 3, 23, 12, 22
242, 1, 17, 10, 34
243, 1, 12, 11, 22
244, 5, 16, 11, 38
245, 3, 12, 8, 30
246, 3, 16, 12, 22
247, 5, 24, 16, 34
248, 3, 16, 13, 23
249, 7, 15, 11, 33
250, 6, 15, 18, 27
251, 1, 23, 7, 25
252, 6, 11, 10, 30
253, 2, 16, 21, 30
254, 3, 16, 12, 25
255, 263, 899, 1964, 3013
