Channel:,Lum, Red, Green, Blue
Means:,0.80030346, 0.9403712, 0.69835854, 1.7386949
Note: Peaks measured from 20% upward
Peaks:,609, 735, 660, 3687
PeaksLevels:,255, 255, 255, 255
0, 3545380, 2208939, 4447473, 353518
1, 4633944, 5676346, 3643336, 4377297
2, 55624, 341057, 145373, 3050144
3, 11507, 20510, 12256, 398511
4, 5522, 7011, 5632, 51706
5, 3334, 4160, 3508, 13430
6, 2457, 3143, 2439, 7324
7, 1902, 2423, 1946, 4702
8, 1554, 2031, 1569, 3377
9, 1370, 1766, 1269, 2528
10, 1193, 1418, 1201, 2134
11, 1077, 1273, 1059, 1564
12, 920, 1120, 924, 1317
13, 835, 1014, 896, 1127
14, 818, 903, 796, 1006
15, 755, 818, 779, 877
16, 657, 708, 707, 830
17, 645, 720, 693, 819
18, 633, 652, 716, 721
19, 591, 651, 644, 740
20, 546, 587, 610, 651
21, 519, 531, 564, 656
22, 497, 558, 569, 610
23, 513, 542, 516, 554
24, 482, 531, 507, 562
25, 474, 527, 443, 531
26, 443, 490, 486, 478
27, 425, 506, 423, 468
28, 413, 461, 434, 414
29, 392, 516, 416, 394
30, 411, 362, 439, 328
31, 379, 388, 445, 312
32, 355, 404, 426, 281
33, 322, 323, 413, 230
34, 325, 286, 383, 233
35, 305, 308, 383, 239
36, 328, 254, 345, 210
37, 293, 238, 328, 190
38, 291, 235, 300, 197
39, 291, 240, 339, 212
40, 317, 248, 246, 189
41, 310, 210, 265, 175
42, 279, 237, 242, 174
43, 242, 214, 243, 160
44, 261, 209, 228, 167
45, 281, 176, 220, 154
46, 212, 177, 203, 157
47, 202, 196, 211, 140
48, 220, 167, 199, 146
49, 256, 144, 162, 108
50, 252, 167, 174, 100
51, 221, 136, 192, 139
52, 209, 140, 173, 116
53, 188, 122, 122, 107
54, 186, 120, 135, 104
55, 179, 133, 149, 129
56, 174, 131, 141, 106
57, 169, 99, 125, 86
58, 184, 131, 137, 88
59, 167, 109, 128, 93
60, 183, 126, 109, 92
61, 180, 132, 114, 83
62, 172, 124, 118, 89
63, 142, 109, 129, 96
64, 188, 100, 90, 73
65, 163, 98, 95, 79
66, 140, 90, 91, 88
67, 156, 100, 98, 70
68, 157, 75, 96, 82
69, 159, 76, 69, 73
70, 180, 86, 88, 72
71, 175, 76, 65, 73
72, 146, 76, 72, 74
73, 142, 69, 82, 73
74, 150, 87, 69, 57
75, 151, 70, 72, 59
76, 132, 64, 87, 59
77, 146, 71, 86, 70
78, 137, 85, 75, 51
79, 128, 73, 71, 55
80, 103, 53, 66, 65
81, 112, 51, 73, 65
82, 142, 78, 70, 58
83, 124, 67, 89, 50
84, 122, 72, 64, 54
85, 111, 70, 75, 47
86, 131, 64, 63, 46
87, 136, 57, 57, 46
88, 103, 73, 57, 37
89, 116, 67, 69, 56
90, 99, 74, 51, 48
91, 110, 60, 77, 37
92, 104, 60, 62, 39
93, 113, 65, 56, 51
94, 118, 60, 51, 46
95, 171, 80, 73, 51
96, 191, 57, 53, 44
97, 218, 55, 74, 35
98, 236, 54, 61, 44
99, 208, 43, 68, 47
100, 252, 53, 61, 36
101, 274, 54, 64, 27
102, 246, 58, 40, 44
103, 210, 37, 50, 47
104, 201, 44, 56, 43
105, 142, 35, 45, 39
106, 147, 49, 43, 32
107, 119, 49, 46, 39
108, 112, 58, 41, 34
109, 125, 39, 54, 42
110, 113, 54, 47, 34
111, 97, 43, 53, 37
112, 84, 42, 46, 34
113, 89, 46, 53, 43
114, 76, 50, 57, 31
115, 78, 47, 49, 48
116, 80, 36, 47, 26
117, 72, 51, 49, 26
118, 65, 42, 53, 36
119, 71, 40, 59, 30
120, 66, 42, 65, 36
121, 54, 43, 57, 32
122, 59, 43, 42, 31
123, 53, 33, 50, 33
124, 59, 43, 47, 26
125, 41, 35, 48, 32
126, 54, 43, 33, 31
127, 52, 41, 46, 24
128, 40, 32, 34, 27
129, 48, 30, 46, 36
130, 39, 35, 50, 28
131, 38, 44, 46, 29
132, 53, 35, 49, 32
133, 28, 28, 42, 27
134, 47, 32, 46, 29
135, 39, 29, 45, 28
136, 49, 29, 45, 27
137, 33, 25, 35, 26
138, 40, 32, 53, 23
139, 39, 25, 42, 17
140, 37, 31, 63, 36
141, 39, 27, 48, 26
142, 42, 22, 44, 27
143, 43, 20, 41, 27
144, 43, 27, 49, 28
145, 34, 21, 34, 31
146, 45, 25, 44, 25
147, 41, 26, 41, 37
148, 43, 18, 41, 30
149, 32, 21, 34, 30
150, 33, 29, 43, 26
151, 27, 26, 32, 31
152, 36, 19, 41, 27
153, 27, 21, 45, 29
154, 24, 24, 55, 22
155, 30, 15, 34, 28
156, 23, 10, 51, 17
157, 25, 20, 32, 22
158, 18, 11, 44, 26
159, 22, 16, 39, 26
160, 17, 9, 34, 23
161, 26, 13, 37, 24
162, 23, 10, 37, 29
163, 14, 7, 47, 22
164, 9, 9, 42, 23
165, 13, 8, 36, 19
166, 8, 3, 37, 28
167, 6, 8, 40, 20
168, 1, 2, 36, 21
169, 2, 8, 35, 28
170, 2, 5, 46, 20
171, 1, 7, 42, 19
172, 4, 3, 42, 30
173, 2, 3, 41, 13
174, 2, 0, 40, 28
175, 3, 5, 33, 24
176, 3, 0, 34, 22
177, 1, 2, 55, 27
178, 2, 3, 30, 24
179, 2, 3, 26, 26
180, 5, 1, 35, 20
181, 1, 6, 39, 23
182, 8, 5, 33, 24
183, 4, 0, 27, 25
184, 1, 1, 36, 29
185, 3, 5, 32, 20
186, 4, 3, 31, 31
187, 3, 1, 29, 27
188, 2, 2, 28, 18
189, 0, 5, 34, 17
190, 3, 7, 32, 18
191, 4, 3, 30, 25
192, 4, 0, 37, 20
193, 2, 1, 28, 24
194, 4, 4, 28, 20
195, 3, 0, 32, 28
196, 2, 3, 27, 27
197, 3, 4, 38, 30
198, 1, 5, 30, 19
199, 4, 3, 33, 13
200, 2, 3, 32, 23
201, 0, 4, 30, 14
202, 2, 4, 24, 21
203, 2, 2, 30, 12
204, 3, 3, 35, 20
205, 4, 2, 26, 16
206, 1, 0, 33, 23
207, 2, 1, 24, 17
208, 5, 3, 18, 32
209, 2, 3, 20, 18
210, 2, 5, 18, 15
211, 3, 2, 35, 20
212, 2, 1, 26, 21
213, 4, 1, 23, 29
214, 4, 0, 21, 28
215, 4, 2, 23, 25
216, 4, 3, 26, 25
217, 3, 1, 25, 20
218, 4, 11, 23, 26
219, 1, 1, 20, 25
220, 3, 5, 22, 27
221, 1, 2, 19, 23
222, 1, 2, 20, 19
223, 7, 3, 10, 23
224, 1, 1, 15, 26
225, 3, 1, 11, 31
226, 3, 6, 9, 16
227, 4, 6, 14, 18
228, 4, 5, 11, 30
