Channel:,Lum, Red, Green, Blue
Means:,0.7371429, 0.8859895, 0.60087913, 1.6762748
Note: Peaks measured from 20% upward
Peaks:,163, 195, 350, 1390
PeaksLevels:,255, 255, 255, 255
0, 3116778, 2113875, 4332361, 463578
1, 5053195, 5585820, 3731396, 3770105
2, 86920, 536551, 190361, 3328647
3, 10985, 29252, 12940, 601854
4, 4458, 6928, 5254, 79977
5, 2266, 3576, 2990, 17029
6, 1563, 2398, 2041, 6757
7, 1142, 1622, 1439, 3957
8, 932, 1270, 1098, 2567
9, 814, 1039, 823, 1837
10, 663, 829, 689, 1372
11, 553, 679, 578, 1032
12, 526, 605, 532, 816
13, 445, 525, 442, 752
14, 418, 504, 409, 667
15, 388, 421, 400, 551
16, 350, 410, 344, 549
17, 337, 356, 345, 521
18, 331, 337, 333, 443
19, 289, 275, 352, 418
20, 296, 253, 309, 400
21, 274, 242, 302, 341
22, 248, 224, 274, 330
23, 243, 208, 235, 308
24, 258, 223, 262, 307
25, 249, 194, 251, 255
26, 234, 182, 255, 260
27, 222, 161, 235, 229
28, 224, 171, 195, 214
29, 207, 163, 185, 182
30, 209, 165, 177, 198
31, 165, 150, 196, 188
32, 152, 137, 182, 173
33, 164, 147, 183, 142
34, 167, 139, 153, 133
35, 150, 135, 132, 115
36, 137, 116, 158, 140
37, 162, 115, 140, 115
38, 129, 103, 128, 112
39, 164, 117, 116, 106
40, 151, 90, 98, 103
41, 140, 87, 105, 101
42, 124, 79, 106, 100
43, 114, 81, 107, 91
44, 132, 83, 82, 84
45, 128, 78, 104, 90
46, 132, 93, 89, 75
47, 116, 59, 75, 76
48, 117, 58, 82, 88
49, 100, 56, 73, 90
50, 116, 71, 73, 71
51, 98, 53, 65, 62
52, 101, 58, 66, 63
53, 98, 75, 68, 59
54, 95, 57, 56, 69
55, 99, 60, 55, 59
56, 105, 65, 58, 60
57, 92, 36, 52, 47
58, 81, 53, 52, 65
59, 73, 62, 61, 55
60, 82, 53, 44, 49
61, 85, 34, 48, 49
62, 62, 51, 50, 55
63, 76, 34, 52, 50
64, 66, 33, 54, 38
65, 69, 43, 37, 57
66, 80, 33, 51, 33
67, 67, 41, 45, 47
68, 66, 36, 35, 52
69, 70, 34, 33, 40
70, 72, 39, 31, 30
71, 76, 36, 40, 38
72, 62, 40, 27, 43
73, 56, 37, 37, 41
74, 58, 36, 27, 32
75, 66, 30, 23, 41
76, 52, 25, 35, 37
77, 69, 30, 36, 36
78, 45, 25, 31, 39
79, 51, 32, 24, 35
80, 54, 37, 28, 43
81, 38, 29, 31, 39
82, 45, 31, 25, 29
83, 56, 32, 21, 23
84, 45, 41, 32, 33
85, 58, 27, 26, 30
86, 58, 35, 31, 35
87, 36, 28, 31, 31
88, 45, 24, 39, 29
89, 48, 21, 19, 32
90, 61, 27, 25, 31
91, 43, 27, 34, 31
92, 55, 21, 27, 37
93, 41, 34, 26, 29
94, 72, 32, 22, 39
95, 76, 37, 19, 22
96, 103, 25, 26, 16
97, 98, 25, 25, 26
98, 86, 32, 22, 13
99, 120, 19, 26, 21
100, 93, 18, 29, 27
101, 79, 25, 33, 34
102, 88, 21, 27, 20
103, 75, 24, 22, 23
104, 69, 16, 17, 31
105, 69, 19, 15, 28
106, 68, 15, 19, 24
107, 60, 17, 18, 21
108, 67, 15, 15, 24
109, 60, 16, 20, 17
110, 45, 15, 17, 15
111, 37, 11, 12, 26
112, 26, 14, 27, 21
113, 37, 11, 21, 22
114, 37, 8, 28, 20
115, 36, 13, 25, 16
116, 45, 7, 24, 17
117, 31, 8, 16, 16
118, 47, 8, 29, 20
119, 30, 15, 21, 16
120, 37, 10, 12, 15
121, 30, 9, 18, 12
122, 32, 10, 19, 10
123, 30, 12, 22, 22
124, 27, 6, 19, 21
125, 23, 18, 20, 19
126, 17, 17, 16, 21
127, 17, 14, 19, 18
128, 17, 13, 22, 11
129, 20, 16, 22, 16
130, 14, 11, 14, 17
131, 11, 11, 22, 19
132, 18, 15, 25, 19
133, 11, 9, 17, 11
134, 13, 6, 24, 9
135, 11, 10, 21, 17
136, 13, 8, 26, 11
137, 13, 6, 27, 16
138, 18, 8, 35, 18
139, 9, 10, 26, 18
140, 8, 9, 24, 10
141, 13, 7, 18, 15
142, 10, 7, 18, 16
143, 13, 11, 21, 18
144, 11, 11, 16, 14
145, 13, 6, 15, 14
146, 15, 5, 20, 14
147, 10, 11, 12, 8
148, 7, 5, 19, 11
149, 13, 9, 19, 15
150, 13, 7, 18, 19
151, 8, 7, 11, 25
152, 10, 5, 16, 14
153, 10, 7, 14, 14
154, 15, 5, 17, 14
155, 6, 6, 17, 14
156, 12, 7, 15, 16
157, 15, 4, 11, 17
158, 7, 10, 17, 11
159, 12, 11, 12, 16
160, 16, 8, 10, 16
161, 8, 9, 13, 14
162, 10, 8, 22, 9
163, 18, 6, 10, 14
164, 8, 2, 9, 13
165, 12, 9, 9, 15
166, 10, 6, 10, 16
167, 9, 8, 9, 13
168, 5, 3, 15, 15
169, 9, 4, 11, 12
170, 7, 4, 12, 12
171, 5, 6, 19, 14
172, 6, 4, 13, 19
173, 16, 6, 12, 11
174, 21, 6, 11, 15
175, 26, 2, 4, 13
176, 20, 3, 15, 14
177, 10, 3, 10, 14
178, 7, 3, 10, 8
179, 4, 3, 9, 12
180, 3, 4, 13, 10
181, 1, 6, 17, 15
182, 0, 4, 9, 9
183, 0, 2, 10, 19
184, 0, 1, 10, 17
185, 1, 4, 9, 17
186, 1, 1, 9, 13
187, 0, 9, 10, 19
188, 0, 2, 9, 12
189, 2, 7, 10, 13
190, 0, 1, 5, 10
191, 0, 2, 9, 7
192, 2, 4, 14, 14
193, 1, 0, 9, 11
194, 1, 5, 19, 11
195, 1, 1, 4, 9
196, 0, 1, 11, 11
197, 2, 3, 9, 12
198, 2, 3, 9, 25
199, 2, 11, 6, 14
200, 3, 3, 8, 13
201, 1, 1, 6, 8
202, 4, 0, 3, 20
203, 0, 1, 8, 13
204, 0, 1, 8, 7
205, 1, 3, 12, 20
206, 1, 1, 4, 18
207, 1, 2, 11, 21
208, 2, 5, 7, 11
209, 0, 2, 12, 15
210, 0, 0, 6, 17
211, 1, 9, 12, 16
212, 2, 1, 8, 6
213, 1, 3, 8, 12
214, 1, 3, 6, 18
215, 1, 1, 10, 20
216, 0, 1, 12, 14
217, 0, 2, 7, 15
218, 1, 5, 12, 12
219, 2, 1, 8, 17
220, 3, 0, 11, 12
221, 1, 3, 10, 22
222, 3, 0, 12, 13
223, 1, 2, 10, 19
224, 1, 3, 12, 13
225, 0, 0, 9, 7
226, 0, 2, 13, 28
227, 5, 3, 5, 20
228, 1, 0, 3, 9
229, 3, 2, 5, 13
230, 4, 2, 10, 22
231, 0, 3, 7, 21
232, 1, 0, 5, 15
233, 3, 2, 11, 12
234, 3, 3, 8, 19
235, 2, 0, 6, 12
236, 0, 2, 10, 18
237, 1, 0, 4, 13
238, 4, 0, 3, 14
239, 2, 2, 7, 17
240, 2, 0, 6, 16
241, 3, 0, 6, 16
242, 1, 5, 4, 15
243, 5, 0, 5, 21
244, 3, 2, 8, 10
245, 3, 0, 3, 6
246, 4, 1, 5, 11
247, 1, 0, 4, 15
248, 1, 2, 6, 12
249, 3, 0, 4, 17
250, 2, 2, 4, 10
251, 4, 0, 5, 14
252, 3, 1, 5, 11
253, 4, 0, 7, 12
254, 4, 2, 7, 6
255, 163, 195, 350, 1390
