Channel:,Lum, Red, Green, Blue
Means:,0.82881737, 0.9223172, 0.67605335, 1.823447
Note: Peaks measured from 20% upward
Peaks:,282, 908, 1142, 1153
PeaksLevels:,255, 255, 255, 255
0, 2762740, 2373031, 4138570, 317232
1, 5368262, 5355857, 3883085, 3238902
2, 114371, 496445, 221859, 3774129
3, 14363, 32008, 16451, 792946
4, 6074, 8282, 6848, 108041
5, 3418, 4578, 4102, 21478
6, 2328, 2989, 2672, 8287
7, 1698, 2089, 1949, 4767
8, 1361, 1544, 1392, 3275
9, 1152, 1218, 1055, 2390
10, 921, 1000, 769, 1915
11, 782, 801, 702, 1455
12, 660, 652, 601, 1128
13, 592, 616, 560, 979
14, 519, 511, 475, 862
15, 467, 440, 427, 750
16, 420, 390, 335, 699
17, 374, 386, 314, 606
18, 375, 348, 353, 492
19, 308, 322, 309, 496
20, 297, 312, 281, 468
21, 292, 238, 264, 436
22, 260, 249, 243, 359
23, 242, 212, 252, 340
24, 224, 205, 230, 304
25, 223, 203, 222, 312
26, 199, 192, 205, 286
27, 241, 168, 242, 260
28, 181, 174, 217, 282
29, 211, 144, 222, 245
30, 173, 129, 199, 250
31, 187, 151, 211, 246
32, 179, 129, 174, 236
33, 171, 143, 169, 186
34, 197, 130, 165, 177
35, 173, 105, 185, 183
36, 171, 121, 158, 161
37, 183, 116, 150, 157
38, 169, 115, 123, 150
39, 156, 91, 141, 141
40, 142, 108, 131, 156
41, 155, 114, 118, 125
42, 124, 117, 110, 141
43, 145, 103, 126, 118
44, 142, 94, 94, 143
45, 125, 101, 95, 113
46, 145, 95, 85, 86
47, 124, 105, 96, 108
48, 114, 96, 96, 113
49, 115, 77, 75, 103
50, 150, 87, 78, 100
51, 116, 68, 98, 98
52, 109, 85, 79, 92
53, 124, 76, 96, 103
54, 113, 86, 73, 83
55, 92, 88, 67, 93
56, 94, 81, 69, 91
57, 105, 91, 68, 84
58, 82, 74, 73, 88
59, 79, 73, 71, 85
60, 88, 76, 58, 75
61, 82, 73, 74, 67
62, 71, 70, 60, 79
63, 71, 70, 51, 91
64, 92, 78, 58, 72
65, 82, 63, 52, 76
66, 83, 68, 63, 68
67, 79, 66, 54, 76
68, 68, 72, 38, 81
69, 69, 63, 57, 58
70, 60, 58, 41, 63
71, 74, 67, 45, 53
72, 74, 87, 54, 63
73, 59, 62, 58, 60
74, 65, 65, 45, 68
75, 58, 67, 46, 60
76, 71, 62, 45, 59
77, 67, 52, 50, 59
78, 61, 63, 54, 56
79, 57, 48, 56, 39
80, 75, 56, 50, 59
81, 52, 44, 54, 57
82, 62, 57, 49, 42
83, 47, 50, 44, 54
84, 39, 42, 49, 65
85, 54, 46, 32, 43
86, 60, 48, 52, 55
87, 74, 41, 48, 59
88, 74, 52, 43, 59
89, 46, 46, 29, 52
90, 44, 47, 43, 54
91, 70, 43, 40, 56
92, 56, 47, 42, 45
93, 63, 33, 25, 55
94, 73, 30, 38, 46
95, 54, 44, 40, 53
96, 65, 31, 49, 47
97, 62, 47, 22, 37
98, 73, 43, 30, 39
99, 72, 37, 37, 39
100, 64, 34, 36, 46
101, 60, 41, 34, 49
102, 59, 25, 30, 47
103, 55, 33, 29, 39
104, 59, 31, 36, 44
105, 49, 34, 30, 39
106, 67, 20, 24, 32
107, 49, 26, 44, 46
108, 37, 28, 37, 30
109, 43, 26, 36, 41
110, 45, 19, 23, 42
111, 44, 23, 42, 34
112, 37, 28, 28, 37
113, 43, 28, 21, 42
114, 39, 14, 28, 32
115, 33, 27, 32, 33
116, 41, 25, 27, 31
117, 47, 32, 24, 27
118, 24, 21, 22, 29
119, 34, 27, 36, 29
120, 42, 26, 28, 34
121, 29, 32, 28, 27
122, 44, 16, 23, 25
123, 34, 21, 30, 27
124, 33, 22, 30, 34
125, 31, 31, 36, 23
126, 34, 21, 36, 14
127, 24, 15, 24, 26
128, 18, 16, 24, 23
129, 29, 24, 31, 25
130, 31, 18, 22, 16
131, 32, 18, 26, 26
132, 28, 18, 28, 22
133, 33, 22, 28, 21
134, 43, 22, 22, 24
135, 31, 22, 30, 26
136, 37, 19, 25, 16
137, 37, 14, 30, 20
138, 33, 18, 19, 23
139, 26, 15, 24, 17
140, 40, 14, 24, 26
141, 32, 16, 23, 17
142, 27, 18, 30, 25
143, 30, 23, 29, 18
144, 32, 12, 26, 19
145, 36, 20, 26, 15
146, 32, 18, 16, 14
147, 42, 19, 20, 14
148, 38, 21, 20, 20
149, 35, 14, 22, 17
150, 30, 22, 19, 22
151, 31, 11, 15, 20
152, 34, 20, 23, 15
153, 38, 21, 18, 19
154, 53, 15, 18, 16
155, 40, 25, 22, 17
156, 47, 14, 17, 18
157, 51, 18, 15, 14
158, 43, 13, 16, 10
159, 45, 14, 20, 12
160, 40, 9, 25, 15
161, 36, 16, 15, 13
162, 52, 15, 11, 13
163, 42, 15, 11, 12
164, 61, 11, 13, 14
165, 44, 14, 11, 21
166, 43, 14, 8, 15
167, 48, 12, 17, 14
168, 48, 14, 18, 12
169, 40, 17, 10, 8
170, 43, 10, 13, 13
171, 28, 6, 16, 13
172, 29, 19, 18, 16
173, 28, 6, 3, 17
174, 30, 7, 11, 12
175, 51, 12, 9, 15
176, 56, 21, 12, 10
177, 70, 24, 11, 14
178, 54, 11, 23, 5
179, 46, 9, 6, 4
180, 35, 8, 17, 12
181, 25, 18, 13, 10
182, 32, 15, 12, 8
183, 20, 21, 10, 13
184, 20, 14, 11, 19
185, 15, 10, 14, 12
