Channel:,Lum, Red, Green, Blue
Means:,0.8664519, 1.0137725, 0.7277972, 1.8031502
Note: Peaks measured from 20% upward
Peaks:,296, 1472, 1987, 2382
PeaksLevels:,255, 255, 255, 255
0, 2936715, 2028009, 4182134, 444800
1, 5185950, 5593437, 3824272, 3664154
2, 111735, 590503, 227005, 3371636
3, 15541, 37776, 17811, 648652
4, 7492, 9887, 7554, 93919
5, 4696, 5210, 4801, 21095
6, 3173, 3330, 3459, 8748
7, 2256, 2495, 2478, 5242
8, 1701, 1817, 1959, 3902
9, 1436, 1495, 1496, 2814
10, 1185, 1288, 1142, 2353
11, 915, 1033, 949, 1802
12, 862, 858, 844, 1503
13, 745, 770, 724, 1222
14, 669, 645, 650, 1016
15, 586, 635, 644, 893
16, 531, 507, 523, 770
17, 482, 485, 478, 682
18, 449, 426, 410, 628
19, 431, 434, 433, 518
20, 385, 387, 391, 467
21, 366, 339, 348, 482
22, 353, 350, 331, 424
23, 344, 306, 319, 403
24, 340, 266, 265, 368
25, 291, 279, 236, 345
26, 286, 259, 269, 323
27, 272, 273, 248, 300
28, 235, 242, 219, 287
29, 222, 212, 232, 277
30, 259, 224, 217, 247
31, 198, 191, 194, 240
32, 202, 154, 177, 196
33, 207, 184, 181, 258
34, 198, 175, 178, 213
35, 191, 163, 161, 199
36, 167, 165, 151, 204
37, 163, 147, 161, 216
38, 151, 141, 138, 177
39, 159, 142, 150, 166
40, 159, 128, 134, 152
41, 151, 121, 120, 148
42, 161, 134, 141, 183
43, 156, 127, 121, 149
44, 151, 105, 124, 158
45, 139, 120, 112, 159
46, 119, 112, 115, 107
47, 121, 96, 105, 142
48, 120, 114, 106, 137
49, 112, 103, 96, 124
50, 119, 103, 94, 118
51, 114, 83, 102, 127
52, 117, 106, 96, 107
53, 107, 85, 107, 107
54, 119, 89, 89, 113
55, 109, 93, 81, 114
56, 98, 85, 98, 100
57, 85, 89, 71, 99
58, 95, 82, 86, 113
59, 78, 85, 85, 107
60, 96, 84, 76, 90
61, 99, 78, 73, 97
62, 86, 83, 88, 107
63, 82, 76, 68, 102
64, 74, 61, 71, 75
65, 78, 82, 81, 103
66, 74, 64, 78, 75
67, 68, 57, 72, 94
68, 82, 67, 70, 90
69, 91, 56, 69, 88
70, 80, 60, 66, 75
71, 75, 48, 78, 78
72, 73, 43, 69, 79
73, 73, 59, 60, 86
74, 67, 58, 65, 80
75, 58, 63, 69, 68
76, 70, 49, 59, 76
77, 66, 34, 59, 80
78, 54, 55, 54, 75
79, 68, 65, 74, 73
80, 62, 46, 63, 61
81, 65, 58, 58, 59
82, 69, 42, 56, 71
83, 75, 50, 65, 67
84, 64, 33, 48, 68
85, 72, 49, 60, 71
86, 73, 29, 64, 68
87, 71, 37, 53, 81
88, 57, 38, 49, 73
89, 56, 32, 47, 52
90, 63, 40, 42, 66
91, 67, 38, 51, 66
92, 68, 42, 48, 60
93, 70, 31, 43, 49
94, 60, 40, 44, 57
95, 72, 44, 50, 59
96, 79, 30, 58, 48
97, 72, 46, 59, 54
98, 80, 36, 55, 54
99, 73, 43, 49, 58
100, 77, 38, 60, 58
101, 78, 38, 47, 49
102, 80, 42, 54, 59
103, 51, 35, 44, 59
104, 87, 34, 45, 73
105, 68, 43, 43, 57
106, 85, 28, 48, 55
107, 83, 19, 38, 44
108, 73, 34, 45, 60
109, 51, 36, 32, 53
110, 71, 41, 42, 49
111, 76, 26, 32, 57
112, 70, 40, 27, 55
113, 71, 22, 49, 54
114, 69, 27, 43, 53
115, 72, 24, 30, 56
116, 53, 35, 39, 43
117, 64, 35, 31, 61
118, 70, 25, 36, 49
119, 63, 25, 47, 40
120, 58, 35, 25, 42
121, 55, 31, 43, 43
122, 50, 34, 33, 44
123, 46, 22, 36, 45
124, 57, 40, 34, 50
125, 58, 27, 32, 37
126, 47, 26, 27, 42
127, 62, 25, 26, 38
128, 89, 21, 29, 31
129, 66, 15, 46, 40
130, 52, 25, 33, 39
131, 73, 27, 33, 49
132, 62, 20, 36, 38
133, 50, 23, 27, 27
134, 63, 18, 36, 41
135, 47, 26, 24, 31
136, 53, 18, 25, 36
137, 65, 19, 39, 41
138, 55, 31, 32, 33
139, 67, 28, 16, 31
140, 34, 19, 26, 33
141, 40, 15, 23, 34
142, 61, 32, 23, 26
143, 53, 26, 25, 40
144, 52, 24, 19, 40
145, 50, 28, 26, 29
146, 44, 26, 23, 29
147, 47, 20, 32, 30
148, 39, 19, 27, 22
149, 48, 19, 29, 33
150, 42, 14, 28, 21
151, 53, 20, 27, 26
152, 50, 14, 21, 28
153, 50, 12, 21, 31
154, 33, 16, 26, 32
155, 46, 18, 28, 24
156, 44, 20, 22, 20
157, 46, 15, 19, 28
158, 44, 17, 16, 20
159, 40, 16, 27, 24
160, 42, 13, 19, 20
161, 42, 15, 23, 17
162, 30, 24, 32, 12
163, 34, 17, 16, 28
164, 42, 16, 14, 20
165, 32, 16, 23, 23
166, 31, 14, 13, 24
167, 28, 16, 20, 19
168, 37, 18, 21, 28
169, 48, 8, 22, 15
170, 24, 12, 17, 20
171, 44, 14, 25, 24
172, 38, 23, 24, 29
173, 46, 12, 23, 18
174, 50, 16, 28, 20
175, 69, 12, 31, 28
176, 57, 18, 16, 20
177, 80, 22, 16, 27
178, 75, 20, 19, 24
179, 106, 16, 15, 22
180, 82, 13, 14, 12
181, 92, 20, 22, 11
182, 78, 16, 26, 23
183, 81, 16, 21, 25
184, 71, 14, 25, 24
185, 57, 16, 28, 20
186, 60, 13, 21, 17
187, 57, 16, 18, 20
188, 56, 16, 19, 14
189, 47, 12, 16, 28
190, 64, 15, 20, 18
191, 45, 17, 14, 25
192, 45, 17, 14, 26
193, 40, 21, 19, 17
194, 34, 15, 14, 19
195, 42, 12, 19, 17
196, 49, 15, 23, 22
197, 45, 16, 18, 19
198, 23, 15, 14, 18
199, 39, 22, 22, 28
200, 32, 17, 18, 18
201, 30, 20, 23, 13
202, 18, 15, 21, 23
203, 30, 21, 16, 22
204, 29, 16, 12, 23
205, 27, 26, 13, 19
206, 28, 20, 20, 15
207, 16, 13, 15, 12
208, 25, 27, 19, 16
209, 31, 17, 18, 21
210, 20, 14, 15, 22
211, 17, 17, 16, 19
212, 15, 9, 21, 13
213, 34, 9, 18, 30
214, 22, 21, 17, 18
215, 19, 16, 12, 21
216, 21, 16, 12, 12
217, 24, 22, 5, 15
218, 17, 22, 15, 21
219, 17, 12, 17, 32
220, 10, 23, 19, 24
221, 18, 13, 18, 16
222, 15, 24, 10, 20
223, 6, 21, 7, 25
224, 5, 28, 12, 19
225, 12, 15, 8, 16
226, 9, 17, 16, 14
227, 8, 20, 16, 27
228, 7, 21, 12, 16
229, 10, 15, 14, 18
230, 12, 30, 11, 19
231, 8, 28, 16, 19
232, 5, 23, 9, 31
233, 6, 13, 16, 18
234, 4, 29, 11, 19
235, 6, 14, 8, 21
236, 6, 22, 10, 28
237, 4, 14, 15, 27
238, 4, 23, 11, 17
239, 6, 22, 15, 26
240, 1, 17, 15, 22
241, 2, 14, 9, 30
242, 0, 19, 19, 24
243, 2, 24, 10, 28
244, 3, 21, 12, 18
245, 4, 20, 19, 29
246, 1, 15, 7, 19
247, 6, 11, 15, 26
248, 4, 14, 15, 20
249, 1, 24, 11, 18
250, 3, 21, 16, 24
251, 3, 6, 11, 15
252, 7, 15, 16, 12
253, 9, 7, 14, 9
254, 9, 3, 15, 8
255, 296, 1472, 1987, 2382
